"EndorsementNumber","EndIssueDate","EndExpireDate","EndCity","EndCountry","EndLine1","EndLine2","EndState","EndZipOut","LicenseNumber","BusinessName","Status","IssueDate","RenewDate","ExpireDate","PhysicalCity","PhysicalCountry","PhysicalLine1","PhysicalLine2","PhysicalState","PhysicalZipOut","MailingCity","MailingCountry","MailingLine1","MailingLine2","MailingState","MailingZipOut"
1,10/8/2012,12/31/2014,"SEWARD","UNITED STATES","402 FIFTH AVENUE",,"AK","99664",531,"AMERICAN LEGION POST #5","Active",12/21/1990,10/3/2022,12/31/2024,"Seward","UNITED STATES","402 Fifth Ave",,"AK","99664","SEWARD","UNITED STATES","PO BOX 306",,"AK","99664"
1,10/17/2016,12/31/2018,"FAIRBANKS","UNITED STATES","129 FIRST AVENUE",,"AK","99701",549,"AMERICAN LEGION POST 11","Active",11/4/1996,11/13/2022,12/31/2024,"FAIRBANKS","UNITED STATES","129 FIRST AVE",,"AK","99701","FAIRBANKS","UNITED STATES","129 FIRST AVE",,"AK","99701"
2,1/14/2022,12/31/2024,"FAIRBANKS","UNITED STATES","129 FIRST AVE",,"AK","99701",549,"AMERICAN LEGION POST 11","Active",11/4/1996,11/13/2022,12/31/2024,"FAIRBANKS","UNITED STATES","129 FIRST AVE",,"AK","99701","FAIRBANKS","UNITED STATES","129 FIRST AVE",,"AK","99701"
1,12/2/2005,12/31/2006,"PETERSBURG","UNITED STATES","301 N FIRST STREET",,"AK","99833",980,"ELKS BPO 1615 PETERSBURG","Active",1/11/1991,12/20/2022,12/31/2024,"PETERSBURG","UNITED STATES","301 North First Street",,"AK","99833","PETERSBURG","UNITED STATES","PO BOX 609",,"AK","99833"
1,11/9/2018,12/31/2023,"RUSSIAN MISSION","UNITED STATES","48 MID ST SOUTH",,"AK","99657",1352,"RUSSIAN MISSION NATIVE CORPORATION","Active",1/11/1990,1/27/2023,12/31/2023,"Russian Mission","UNITED STATES","48 Mid Street South",,"AK","99657","RUSSIAN MISSION","UNITED STATES","PO BOX 48",,"AK","99657-0048"
1,10/25/2018 2:07:14 PM,12/31/2024,"WRANGELL","UNITED STATES","423 FRONT ST",,"AK","99929",2702,"CITY MARKET, INC","Active",12/12/1990,12/12/2022,12/31/2024,"WRANGELL","UNITED STATES","423 FRONT ST",,"AK","99929","WRANGELL","UNITED STATES","PO BOX 140",,"AK","99929"
1,12/1/2006,12/31/2008,"ANCHORAGE","UNITED STATES","3717 MINNESOTA DR",,"AK","99503",2711,"CLAPPER ENTEPRISES, INC.","Active",,10/11/2022,12/31/2024,"ANCHORAGE","UNITED STATES","3717 MINNESOTA DR",,"AK","99503","ANCHORAGE","UNITED STATES","3717 MINNESOTA DR",,"AK","99503"
1,10/13/2005,12/31/2006,"KETCHIKAN","UNITED STATES","301 FRONT STREET",,"AK","99901",3125,"SOURDOUGH BAR AND LIQUOR STORE","Active",,11/21/2022,12/31/2024,"Ketchikan","UNITED STATES","301 Front St",,"AK","99901","KETCHIKAN","UNITED STATES","301 FRONT",,"AK","99901"
2,10/2/2018 7:32:58 AM,12/31/2024,"KETCHIKAN","UNITED STATES","301 FRONT STREET",,"AK","99901",3125,"SOURDOUGH BAR AND LIQUOR STORE","Active",,11/21/2022,12/31/2024,"Ketchikan","UNITED STATES","301 Front St",,"AK","99901","KETCHIKAN","UNITED STATES","301 FRONT",,"AK","99901"
1,10/11/2016 3:33:25 PM,12/31/2018,"VALDEZ","UNITED STATES","339 FAIRBANKS STREET",,"AK","99686",3644,"VALDEZ ELKS LODGE #2537","Active",,10/21/2022,12/31/2024,"VALDEZ","UNITED STATES","339 Fairbanks","9078352537","AK","99686-8537","VALDEZ","UNITED STATES","PO BOX 1607",,"AK","99686"
1,11/13/2018,12/31/2024,"SKAGWAY","UNITED STATES","560 STATE STREET",,"AK","99840",4085,"SKAGWAY LDGE 431","Active",,10/19/2022,12/31/2024,"Skagway","UNITED STATES","560 State St","9076120692","AK","99840","SKAGWAY","UNITED STATES","PO BOX 416",,"AK","99840"
1,10/4/2006,12/31/2007,"SITKA","UNITED STATES","412 SAWMILL CREEK RD.",,"AK","99835",4086,"SITKA LODGE 1662","Active",,10/11/2021,12/31/2023,"SITKA","UNITED STATES","412 SAWMILL CREEK ROAD",,"AK","99835-7446","SITKA","UNITED STATES","412 SAWMILL CREEK ROAD",,"AK","99835-7446"
1,12/29/2008,12/31/2010,"WRANGELL","UNITED STATES","103 FRONT STREET",,"AK","99929",4088,"WRANGELL LODGE 1595","Active",,10/21/2022,12/31/2024,"WRANGELL","UNITED STATES","103 Front Street",,"AK","99929","WRANGELL","UNITED STATES","BOX 377",,"AK","99929"
1,11/15/2018,12/31/2024,"MOOSE PASS","UNITED STATES","MI 29.5 SEWARD HWY",,"AK","99631",4229,"ESTES BROTHERS, INC.","Active",,10/26/2022,12/31/2024,"MOOSE PASS","UNITED STATES","MI 29.5 SEWARD HWY",,"AK","99631","MOOSE PASS","UNITED STATES","PO BOX 26",,"AK","99631"
1,10/11/2016,12/31/2018,"VALDEZ","UNITED STATES","121 HAZELET",,"AK","99686",4610,"EAGLES FRATERNAL ORDER #1971","Active",,11/25/2022,12/31/2024,"VALDEZ","UNITED STATES","121 HAZELET AVE.",,"AK","99686","VALDEZ","UNITED STATES","PO BOX 324",,"AK","99686"
3,11/28/2018,12/31/2024,"PETERSBURG","UNITED STATES","1300 HOWKAN",,"AK","99883",5671,"HAMMER & WIKAN INCORPORATED","Active",12/28/1990,11/15/2022,12/31/2024,"PETERSBURG","UNITED STATES","1300 HOWKAN","218 N NORDIC DR","AK","99833","PETERSBURG","UNITED STATES","PO BOX 249",,"AK","99833"
1,11/22/2004,12/31/2006,"PETERSBURG","UNITED STATES","1300 HOWKAN",,"AK","99833",5671,"HAMMER & WIKAN INCORPORATED","Active",12/28/1990,11/15/2022,12/31/2024,"PETERSBURG","UNITED STATES","1300 HOWKAN","218 N NORDIC DR","AK","99833","PETERSBURG","UNITED STATES","PO BOX 249",,"AK","99833"
2,11/22/2004,12/31/2006,"PETERSBURG","UNITED STATES","218 N NORDIC",,"AK","99833",5671,"HAMMER & WIKAN INCORPORATED","Active",12/28/1990,11/15/2022,12/31/2024,"PETERSBURG","UNITED STATES","1300 HOWKAN","218 N NORDIC DR","AK","99833","PETERSBURG","UNITED STATES","PO BOX 249",,"AK","99833"
4,11/28/2018,12/31/2024,"PETERSBURG","UNITED STATES","218 NORDIC",,"AK","99883",5671,"HAMMER & WIKAN INCORPORATED","Active",12/28/1990,11/15/2022,12/31/2024,"PETERSBURG","UNITED STATES","1300 HOWKAN","218 N NORDIC DR","AK","99833","PETERSBURG","UNITED STATES","PO BOX 249",,"AK","99833"
1,10/19/2018,12/31/2020,"FAIRBANKS","UNITED STATES","1634 CUSHMAN STREET",,"AK","99701",6044,"AMERICAN LEGION POST #57","Active",,10/5/2022,12/31/2024,"Fairbanks","UNITED STATES","1634 South Cushman","9074525757","AK","99701","FAIRBANKS","UNITED STATES","1634 CUSHMAN ST.",,"AK","99701"
1,11/17/2017,12/31/2023,"FAIRBANKS","UNITED STATES","660 OLD STEESE HWY NORTH",,"AK","99712",6077,"PJ ALASKA","Active",,10/11/2021,12/31/2023,"FAIRBANKS","UNITED STATES","660 STEESE HWY NORTH",,"AK","99710","FAIRBANKS","UNITED STATES","PO BOX 10065",,"AK","99710-0065"
1,10/4/2017 7:20:11 PM,12/31/2023,"HOONAH","UNITED STATES","FRONT STREET",,"AK","99829",6365,"HOONAH LIQUOR, INC.","Active",,10/13/2021,12/31/2023,"HOONAH","UNITED STATES","FRONT STREET",,"AK","99829","HOONAH","UNITED STATES","PO BOX 258",,"AK","99829-0258"
1,10/30/2017,12/31/2023,"TOK","UNITED STATES","MILEPOST 1314 ALASKA HWY",,"AK","99780",7654,"YOUNG'S SERVICE","Active",,12/6/2021,12/31/2023,"TOK","UNITED STATES","MILE 1314 AK HWY",,"AK","99780","TOK","UNITED STATES","PO BOX 167",,"AK","99780"
1,10/1/2018,12/31/2024,"CLEAR","UNITED STATES","MILE 276.6 PARKS HWY",,"AK","99704",7957,"DALE SERVICES","Active",11/18/1991,1/19/2023,12/31/2024,"CLEAR","UNITED STATES","MILE 276.6 PARKS HWY",,"AK","99704","ANDERSON","UNITED STATES","PO BOX 3117",,"AK","99744-3117"
1,10/30/2018 12:00:23 PM,12/31/2024,"RUSSIAN MISSION","UNITED STATES","1ST HOUSING ROAD",,"AK","99657",8456,"RUSSIAN MISSION NATIVE STORE","Active",,12/14/2022,12/31/2024,"RUSSIAN MISSION","UNITED STATES","1ST HOUSING ROAD",,"AK","99657","SEATTLE","UNITED STATES","4025 DELRIDGE WAY SW","STE 300","WA","98106-0000"
1,6/26/2009,12/31/2010,"KODIAK","UNITED STATES","302 MARINE WAY",,"AK","99615",9010,"MECCA, INC","Active",,12/4/2022,12/31/2024,"Kodiak","UNITED STATES","402 W Marine Way","ste 300","AK","99615","KODIAK","UNITED STATES","402 W MARINE Way","STE 300","AK","99615"
2,11/1/2018 11:24:09 AM,12/31/2024,"CRAIG","UNITED STATES","601 WATER ST",,"AK","99921",9418,"CRAIG MOOSE LODGE #1206","Active",,12/3/2022,12/31/2024,"Craig","UNITED STATES","601 Water St","PO Box 113","AK","99921-9216","CRAIG","UNITED STATES","601 Water St","PO Box 113","AK","99921-0113"
1,1/9/2018,12/31/2024,"KETCHIKAN","UNITED STATES","744 WATER STREET",,"AK","99901",9419,"MOOSE LODGE #224","Active",,12/29/2022,12/31/2024,"KETCHIKAN","UNITED STATES","744 WATER  ST AVE.",,"AK","99901","KETCHIKAN","UNITED STATES","PO BOX 5224",,"AK","99901"
1,10/14/2016,12/31/2018,"HOMER","UNITED STATES","41984 SLAVIN DR",,"AK","99603",10540,"AMERICAN LEGION POST 16","Active",12/21/1990,10/5/2022,12/31/2024,"HOMER","UNITED STATES","41984 SLAVIN DR",,"AK","99603","HOMER","UNITED STATES","PO BOX 858",,"AK","99603"
1,11/30/2016,12/31/2018,"ANCHORAGE","UNITED STATES","939 W 5TH AVE",,"AK","99501",11223,"CAPTAIN COOK HOTEL","Active",12/16/1996,12/28/2022,12/31/2024,"ANCHORAGE","UNITED STATES","939 WEST 5TH AVE",,"AK","99501","ANCHORAGE","UNITED STATES","939 WEST 5TH AVE",,"AK","99501"
1,12/28/2018,12/31/2023,"SOLDOTNA","UNITED STATES","36185 KENAI SPUR HWY RIDGEWAY",,"AK","99669",12067,"FOUR ROYLE PARKERS","Active",,12/6/2021,12/31/2023,"SOLDOTNA","UNITED STATES","36185 KENAI SPUR HWY RIDGEWAY",,"AK","99669","SOLDOTNA","UNITED STATES","PO BOX 3069",,"AK","99669"
2,10/16/2018,12/31/2024,"POINT BAKER","UNITED STATES","STATE FLOAT - POINT BAKER",,"AK","99927",12595,"POINT BAKER TRADING POST INC","Active",1/5/1990,12/21/2020,12/31/2024,"POINT BAKER","UNITED STATES","STATE FLOAT",,"AK","99927","POINT BAKER","UNITED STATES","PO BOX 130",,"AK","99927"
1,3/27/2019,12/31/2023,"KOLIGANEK","UNITED STATES","1/2 MILE WEST OF TOWN ON AIRPORT ROAD",,"AK","99576",12756,"M AND H VARIETY STORE","Active",,12/5/2022,12/31/2023,"KOLIGANEK","UNITED STATES","1/2 MILE WEST OF TOWN ON AIRPORT ROAD",,"AK","99576","KOLIGANEK","UNITED STATES","GEN DEL",,"AK","99576"
1,10/19/2018,12/31/2024,"KWETHLUK","UNITED STATES","1ST AIRPORT ROAD",,"AK","99621",12941,"KWETHLUK SPORTS STORE","Active",,12/14/2022,12/31/2024,"KWETHLUK","UNITED STATES","1ST AIRPORT ROAD",,"AK","99621","KWETHLUK","UNITED STATES","BOX 110",,"AK","99621"
4,10/10/2017,12/31/2021,"KETCHIKAN","UNITED STATES","633 STEDMAN STREET",,"AK","99901",13350,"TATSUDA'S SUPERMARKET, INC","Active",12/2/1999,10/5/2021,12/31/2023,"KETCHIKAN","UNITED STATES","633 STEDMAN ST",,"AK","99901","KETCHIKAN","UNITED STATES","PO BOX 8820",,"AK","99901-3820"
1,2/21/2019,12/31/2024,"ANCHORAGE","UNITED STATES","7820 SCHOON ST",,"AK","99518",13474,"BILL'S DISTRIBUTING, INC.","Active",1/14/1999,2/16/2023,12/31/2024,"ANCHORAGE","UNITED STATES","12650 Schooner Dr Anchorage AK 99515-3634",,"AK","99515","ANCHORAGE","UNITED STATES","7820 SCHOON ST",,"AK","99518"
1,12/10/2019,12/31/2020,"Wales","UNITED STATES","529 Mountain View, Lot 65",,"AK","99783",14008,"WALES NATIVE CORPORATION","Active",,12/12/2022,12/31/2024,"WALES","UNITED STATES","529 MOUNTAIN VIEW, LOT 65",,"AK","99783-0529","WALES","UNITED STATES","P.O. BOX 529",,"AK","99783-0529"
1,11/7/2018 3:43:18 PM,12/31/2019,"WALES","UNITED STATES","529 OCEAN VIEW RD",,"AK","99783",14009,"WALES NATIVE CORPORATION","Active",,12/12/2022,12/31/2024,"WALES","UNITED STATES","529 MOUNTAIN VIEW",,"AK","99783-0529","WALES","UNITED STATES","PO BOX 529",,"AK","99783-0529"
2,12/10/2019,12/31/2024,"Wales","UNITED STATES","529 Ocean View Rd",,"AK","99783",14009,"WALES NATIVE CORPORATION","Active",,12/12/2022,12/31/2024,"WALES","UNITED STATES","529 MOUNTAIN VIEW",,"AK","99783-0529","WALES","UNITED STATES","PO BOX 529",,"AK","99783-0529"
1,10/30/2018 12:33:17 PM,12/31/2024,"WAINWRIGHT","UNITED STATES","1101 NUVIVIEVIK ROAD",,"AK","99782",14153,"WAINWRIGHT COOPERATIVE ASSOCIATION","Active",,12/14/2022,12/31/2024,"WAINWRIGHT","UNITED STATES","1101 NUVIVIEVIK ROAD",,"AK","99782","SEATTLE","UNITED STATES","4025 DELRIDGE WAY SW, SUITE 300",,"WA","98106"
1,10/20/2018 10:46:35 AM,12/31/2024,"FAIRBANKS","UNITED STATES","1003 PIONEER RD",,"AK","99701",14402,"ELKS BPO #1551","Active",,10/17/2022,12/31/2024,"FAIRBANKS","UNITED STATES","1003 PIONEER ROAD",,"AK","99701","FAIRBANKS","UNITED STATES","1003 PIONEER ROAD",,"AK","99701"
1,10/9/2017,12/31/2023,"ANCHORAGE","UNITED STATES","855 E 38TH AVENUE",,"AK","99503",16734,"AMVETS POST TWO, INC.","Active",,12/11/2021,12/31/2023,"ANCHORAGE","UNITED STATES","855 E 38TH AVE",,"AK","99503","ANCHORAGE","UNITED STATES","855 E 38TH AVE",,"AK","99503"
1,11/13/2017,12/31/2022,"GLENNALLEN","UNITED STATES","MILE 111 RICHARDSON HWY",,"AK","99588",17656,"TAZLINA RIVER TRADING POST","Active",,1/3/2023,12/31/2024,"Glennallen","UNITED STATES","Mile 111 Richardson Highway","PO Box 364","AK","99588","GLENNALLEN","UNITED STATES","PO BOX 364",,"AK","99588-0364"
