code;name
111302;corn cultivation
111303;wheat cultivation
111399;Cultivation of other cereals not previously specified
112101;Cultivation of herbaceous cotton
112102;jute cultivation
112199;Cultivation of other temporary crop fibers not otherwise specified
113000;Sugar cane cultivation
114800;tobacco cultivation
115600;soybean cultivation
116401;peanut cultivation
116402;sunflower cultivation
116403;Castor bean cultivation
116499;Cultivation of other temporary crop oilseeds not previously specified
119901;pineapple cultivation
119902;garlic cultivation
119903;Potato cultivation
119904;onion cultivation
119905;bean cultivation
119906;cassava cultivation
119907;melon cultivation
119908;watermelon cultivation
119909;Ground tomato cultivation
119999;Cultivation of other temporary crop plants not otherwise specified
121101;Horticulture, except strawberry
121102;strawberry cultivation
122900;Cultivation of flowers and ornamental plants
131800;orange cultivation
132600;grape growing
133401;Acai cultivation
133402;banana cultivation
133403;cashew cultivation
133404;Citrus cultivation, except orange
133405;coconut cultivation
133406;guarana cultivation
133407;apple growing
133408;papaya cultivation
133409;passion fruit cultivation
133410;mango cultivation
133411;peach cultivation
133499;Cultivation of permanent crop fruits not otherwise specified
134200;coffee growing
135100;cacao cultivation
139301;Indian tea cultivation
139302;yerba mate cultivation
139303;Cultivation of black pepper
139304;Cultivation of spice plants other than black pepper
139305;oil palm cultivation
139306;rubber tree cultivation
139399;Cultivation of other permanent crop plants not previously specified
141501;Production of certified seeds, except forage for pasture
141501;Production of certified seeds, except forage for pasture
141501;Production of certified seeds, except forage for pasture
141502;Production of certified forage seeds for pasture formation
142300;Production of seedlings and other forms of plant propagation, certified
142300;Production of seedlings and other forms of plant propagation, certified
142300;Production of seedlings and other forms of plant propagation, certified
151201;Beef cattle breeding
151202;Cattle breeding for milk
151203;Cattle raising, except for beef and milk
152101;buffalo breeding
152102;equine breeding
152103;Breeding donkeys and mules
153901;goat breeding
153902;Raising sheep, including for wool production
154700;pig farming
155501;Breeding of broiler chickens
155502;Dayold chick production
155503;Breeding of other chickens, except for cutting
155504;Poultry farming, except chickens
155505;egg production
159801;Beekeeping
159802;pet breeding
159803;creation of escargots
159804;Silkworm breeding
159899;Breeding of other animals not previously specified

161001;Agricultural pest spraying and control service
161001;Agricultural pest spraying and control service
161002;Tree pruning service
161003;Land preparation, cultivation and harvesting service
161003;Land preparation, cultivation and harvesting service
161099;Agricultural support activities not otherwise specified
162801;Artificial insemination service in animals
162802;sheep shearing service
162803;Animal handling service
162899;Livestock support activities not previously specified
163600;postharvest activities
170900;Hunting and related services
210101;eucalyptus cultivation
210102;Black wattle cultivation
210103;pine cultivation
210104;teak cultivation
210105;Cultivation of timber species, except eucalyptus, black wattle, pine and teak
210106;Cultivation of seedlings in forest nurseries
210107;Wood extraction in planted forests
210108;Production of charcoal  planted forests
210108;Production of charcoal  planted forests
210109;Black wattle bark production  planted forests
210199;Production of nontimber products not otherwise specified in planted forests
220901;Logging in native forests
220902;Production of charcoal  native forests
220902;Production of charcoal  native forests
220903;Brazil nut collection in native forests
220904;Latex collection in native forests
220905;Heart of palm collection in native forests
220906;Conservation of native forests
220999;Collection of nontimber products not otherwise specified in native forests
230600;Activities to support forestry production
311601;Saltwater fish fishing
311602;Fishing for crustaceans and molluscs in salt water
311603;Collection of other marine products
311604;Activities to support saltwater fishing
312401;Freshwater fish fishing
312402;Fishing for crustaceans and molluscs in fresh water
312403;Collection of other freshwater aquatic products
312404;Freshwater fishing support activities
321301;Fish farming in salt and brackish water
321302;Raising shrimp in salt and brackish water
321303;Raising oysters and mussels in salt and brackish water
321304;Breeding of ornamental fish in salt and brackish water
321305;Activities to support aquaculture in salt and brackish water
321399;Aquaculture crops and semicultures in salt and brackish water not otherwise specified
322101;Freshwater fish farming
322102;Freshwater shrimp farming
322103;Breeding oysters and mussels in fresh water
322104;Freshwater ornamental fish farming
322105;frog farming
322106;alligator breeding
322107;Activities to support freshwater aquaculture
322199;Freshwater aquaculture crops and semicultures not otherwise specified
;​
Section B  Extractive Industries;​
500301;Mineral coal extraction
500302;Mineral coal processing
600001;Oil and natural gas extraction
600002;Shale extraction and processing
600003;Extraction and processing of bituminous sands
710301;iron ore extraction
710302;Pelletizing, sintering and other iron ore processing
721901;aluminum ore extraction
721902;Aluminum ore beneficiation
722701;tin ore extraction
722702;Tin ore beneficiation
723501;Manganese ore extraction
723502;Processing of manganese ore
724301;Extraction of precious metal ore
724302;Processing of precious metal ore
725100;Extraction of radioactive minerals
729401;Extraction of niobium and titanium ores
729402;tungsten ore extraction
729403;Nickel ore extraction
729404;Extraction of copper, lead, zinc ores and other nonferrous metallic minerals not previously specified
729405;Beneficiation of copper, lead, zinc ores and other nonferrous metallic minerals not previously specified
810001;Extraction of slate and associated processing
810002;Granite extraction and associated processing
810003;Marble extraction and associated processing
810004;Limestone and dolomite extraction and associated processing
810005;Gypsum and kaolin extraction
810006;Extraction of sand, gravel or gravel and associated processing
810007;Clay extraction and associated processing
810008;Extraction of gravel and associated processing
810009;Basalt extraction and associated processing
810010;Processing of gypsum and kaolin associated with extraction
810099;Extraction and crushing of stones and other materials for construction and associated processing
891600;Extraction of minerals for the manufacture of manure, fertilizers and other chemical products
892401;sea ​​salt extraction
892402;rock salt extraction
892403;Refining and other salt treatments
893200;Gem extraction (precious and semiprecious stones)
899101;graphite extraction
899102;quartz extraction
899103;asbestos extraction
899199;Extraction of other nonmetallic minerals not previously specified
899199;Extraction of other nonmetallic minerals not previously specified
910600;Activities to support the extraction of oil and natural gas
990401;Activities to support the extraction of iron ore
990402;Activities to support the extraction of nonferrous metallic minerals
990402;Activities to support the extraction of nonferrous metallic minerals
990402;Activities to support the extraction of nonferrous metallic minerals
990402;Activities to support the extraction of nonferrous metallic minerals
990402;Activities to support the extraction of nonferrous metallic minerals
990402;Activities to support the extraction of nonferrous metallic minerals
990402;Activities to support the extraction of nonferrous metallic minerals
990402;Activities to support the extraction of nonferrous metallic minerals
990403;Activities to support the extraction of nonmetallic minerals
990403;Activities to support the extraction of nonmetallic minerals
990403;Activities to support the extraction of nonmetallic minerals
990403;Activities to support the extraction of nonmetallic minerals
990403;Activities to support the extraction of nonmetallic minerals
990403;Activities to support the extraction of nonmetallic minerals
990403;Activities to support the extraction of nonmetallic minerals
990403;Activities to support the extraction of nonmetallic minerals
990403;Activities to support the extraction of nonmetallic minerals
990403;Activities to support the extraction of nonmetallic minerals
990403;Activities to support the extraction of nonmetallic minerals
990403;Activities to support the extraction of nonmetallic minerals
990403;Activities to support the extraction of nonmetallic minerals
990403;Activities to support the extraction of nonmetallic minerals
990403;Activities to support the extraction of nonmetallic minerals
990403;Activities to support the extraction of nonmetallic minerals
990403;Activities to support the extraction of nonmetallic minerals
990403;Activities to support the extraction of nonmetallic minerals
990403;Activities to support the extraction of nonmetallic minerals
1011201;Refrigerator  cattle slaughter
1011202;Refrigerator  equine slaughter
1011203;Slaughterhouse  slaughter of sheep and goats
1011204;Refrigerator  buffalo slaughter
1011205;Slaughterhouse  slaughter of cattle under contract, except slaughter of pigs
1012101;poultry slaughter
1012102;Slaughter of small animals
1012103;Refrigerator  swine slaughter
1012104;Slaughterhouse  slaughter of pigs under contract
1013901;Meat product manufacturing
1013902;Preparation of slaughter byproducts
1020101;Preservation of fish, crustaceans and molluscs
1020102;Manufacture of canned fish, crustaceans and molluscs
1031700;Manufacture of canned fruit
1032501;Canned heart of palm manufacturing
1032599;Manufacture of canned vegetables and other vegetables, except hearts of palm
1033301;Manufacture of fruit, vegetable and vegetable juice concentrates
1033302;Manufacture of fruit, vegetable and vegetable juices, except concentrates
1033302;Manufacture of fruit, vegetable and vegetable juices, except concentrates
1041400;Manufacture of crude vegetable oils other than corn oil
1042200;Manufacture of refined vegetable oils, except corn oil
1043100;Manufacture of margarine and other vegetable fats and nonedible animal oils
1051100;milk preparation
1052000;dairy manufacturing
1053800;Manufacture of ice cream and other edible ices
1061901;rice processing
1061902;Rice product manufacturing
1062700;Wheat milling and manufacturing of derivatives
1063500;Manufacture of cassava flour and derivatives
1064300;Manufacture of corn flour and derivatives, except corn oils
1065101;Manufacture of vegetable starches and starches
1065102;Raw corn oil manufacturing
1065103;Manufacture of refined corn oil
1066000;Animal feed manufacturing
1069400;Milling and manufacture of products of plant origin not otherwise specified
1071600;Raw sugar manufacturing
1072401;Manufacture of refined cane sugar
1072402;Production of cereal sugar (dextrose) and beet sugar
1081301;coffee processing
1081302;Coffee roasting and grinding
1082100;Manufacture of coffee products
1091100;Bakery products manufacturing
1092900;Manufacture of cookies and crackers
1093701;Manufacture of cocoa products and chocolates
1093702;Manufacture of crystallized fruits, candies and the like
1094500;Manufacture of pasta
1095300;Manufacture of spices, sauces, seasonings and condiments
1096100;Food and readytoeat manufacturing
1099601;manufacture of vinegars
1099602;Manufacture of food powders
1099603;Yeast and yeast manufacturing
1099605;Manufacture of infusion products (tea, mate, etc.)
1099606;Manufacture of natural and artificial sweeteners
1099699;Manufacture of other food products not otherwise specified
1099699;Manufacture of other food products not otherwise specified
1111901;Manufacture of sugar cane brandy
1111902;Manufacture of other spirits and distilled beverages
1112700;wine making
1113501;Manufacture of malt, including malt whiskey
1113502;Beer and draft beer production
1121600;Manufacture of bottled water
1122401;soft drink manufacturing
1122402;Manufacture of mate tea and other readytodrink teas
1122403;Manufacture of soft drinks, syrups and powders for soft drinks, except fruit drinks
1122499;Manufacture of other nonalcoholic beverages not otherwise specified
1210700;Industrial tobacco processing
1220401;cigarette manufacturing
1220402;Manufacture of cigarillos and cigars
1220403;Manufacture of cigarette filters
1220499;Manufacture of other tobacco products, except cigarettes, cigarillos and cigars
1321900;Cotton yarn weaving
1321900;Cotton yarn weaving
1321900;Cotton yarn weaving
1322700;Weaving of yarns of natural textile fibers other than cotton
1322700;Weaving of yarns of natural textile fibers other than cotton
1322700;Weaving of yarns of natural textile fibers other than cotton
1323500;Weaving of artificial and synthetic fiber yarns
1323500;Weaving of artificial and synthetic fiber yarns
1323500;Weaving of artificial and synthetic fiber yarns
1330800;Manufacture of knitted fabrics
1340501;Printing and texturing in yarns, fabrics, textile artifacts and garments
1340502;Bleaching, dyeing and twisting of yarns, fabrics, textiles and garments
1340599;Other finishing services for yarns, fabrics, textile artifacts and garments
1351100;Manufacture of textile artifacts for domestic use
1352900;Manufacture of tapestry artifacts
1353700;Manufacture of cordage artifacts
1354500;Manufacture of special fabrics, including artifacts
1359600;Manufacture of other textile products not previously specified
1411801;Making of underwear
1411801;Making of underwear
1411802;underwear faction
1412601;Manufacture of garments, except underwear and madetomeasure clothing
1412601;Manufacture of garments, except underwear and madetomeasure clothing
1412602;Tailormade manufacturing of garments, except underwear
1412602;Tailormade manufacturing of garments, except underwear
1412603;Faction of garments except underwear
1413401;Manufacture of professional clothing, except madetomeasure
1413402;Custommade professional clothing
1413403;Professional clothing faction
1414200;Manufacture of clothing accessories, except for safety and security
1421500;sock making
1422300;Manufacture of clothing articles, produced in knitting and knitting, except socks
1510600;Tanning and other leather preparations
1510600;Tanning and other leather preparations
1521100;Manufacture of travel items, handbags and the like from any material
1529700;Manufacture of leather goods not otherwise specified
1531901;Leather shoe manufacturing
1531902;Finishing of leather shoes under contract
1532700;Manufacture of sneakers from any material
1533500;Manufacture of shoes from synthetic material
1539400;Manufacture of footwear from materials not otherwise specified
1540800;Manufacture of parts for footwear, of any material
1540800;Manufacture of parts for footwear, of any material
1540800;Manufacture of parts for footwear, of any material
1610201;Sawmills with wood splitting
1610202;Sawmills without splitting wood
1621800;Manufacture of laminated wood and plywood, pressed and agglomerated wood sheets
1622601;Manufacture of prefabricated wooden houses
1622602;Manufacture of wooden frames and wooden parts for industrial and commercial installations
1622699;Manufacture of other carpentry articles for construction
1623400;Manufacture of cooperage artifacts and wooden packaging
1629301;Manufacture of various wooden artifacts, except furniture
1629302;Manufacture of various articles of cork, bamboo, straw, wicker and other braided materials, except furniture
1710900;Manufacture of cellulose and other pulps for papermaking
1721400;paper making
1722200;Cardboard and cardboard manufacturing
1731100;paper packaging manufacturing
1732000;Manufacture of cardboard and cardboard packaging
1733800;Manufacture of corrugated cardboard sheets and packaging
1741901;Continuous forms manufacturing
1741902;Manufacture of paper, paperboard, paperboard and corrugated board products for commercial and office use, except continuous form
1741902;Manufacture of paper, paperboard, paperboard and corrugated board products for commercial and office use, except continuous form
1742701;Manufacture of disposable diapers
1742702;Manufacture of sanitary napkins
1742799;Manufacture of paper products for domestic and hygienicsanitary use not otherwise specified
1749400;Manufacture of cellulose pulp, paper, paperboard, paperboard and corrugated board products not otherwise specified
1811301;newspaper printing
1811302;Printing of books, magazines and other periodicals
1812100;Security material printing
1813001;Printing of material for advertising use
1813099;Printing material for other uses
1813099;Printing material for other uses
1821100;prepress services
1822900;Graphic finishing services
1822900;Graphic finishing services
1822900;Graphic finishing services
1830001;Sound reproduction on any support
1830002;Video playback on any media
1830003;Software reproduction on any media
1910100;coke plants
1921700;Manufacture of petroleum refining products
1922501;Fuel formulation
1922502;Rerefining of lubricating oils
1922599;Manufacture of other petroleum products, except refining products
1931400;alcohol manufacturing
1932200;Manufacture of biofuels, except alcohol
2011800;Chloralkali manufacturing
2012600;Manufacture of intermediates for fertilizers
2013400;Manure and fertilizer manufacturing
2014200;Industrial gas manufacturing
2019301;Elaboration of nuclear fuels
2019399;Manufacture of other inorganic chemicals not otherwise specified
2021500;Manufacturing of basic petrochemicals
2022300;Manufacture of intermediates for plasticizers, resins and fibers
2029100;Manufacture of organic chemicals not otherwise specified
2031200;Manufacture of thermoplastic resins
2032100;Manufacture of thermosetting resins
2033900;manufacturing of elastomers
2040100;Manufacture of artificial and synthetic fibers
2040100;Manufacture of artificial and synthetic fibers
2051700;Manufacture of agricultural pesticides
2051700;Manufacture of agricultural pesticides
2051700;Manufacture of agricultural pesticides
2051700;Manufacture of agricultural pesticides
2052500;Manufacture of household disinfectants
2052500;Manufacture of household disinfectants
2052500;Manufacture of household disinfectants
2052500;Manufacture of household disinfectants
2061400;Manufacture of synthetic soaps and detergents
2062200;Manufacture of cleaning and polishing products
2063100;Manufacture of cosmetics, perfumery and personal care products
2063100;Manufacture of cosmetics, perfumery and personal care products
2071100;Manufacture of paints, varnishes, enamels and lacquers
2072000;Manufacturing of printing inks
2073800;Manufacture of waterproofing agents, solvents and related products
2091600;Manufacture of adhesives and sealants
2092401;Manufacture of gunpowder, explosives and detonating
2092402;Manufacture of pyrotechnic articles
2092403;Manufacture of safety matches
2093200;Manufacture of additives for industrial use
2094100;manufacture of catalysts
2099101;Manufacture of plates, films, papers and other materials and chemicals for photography
2099199;Manufacture of other chemicals not previously specified
2110600;Manufacture of pharmaceutical products
2121101;Manufacture of allopathic medicines for human use
2121102;Manufacture of homeopathic medicines for human use
2121103;Manufacture of herbal medicines for human use
2122000;Manufacture of medicines for veterinary use
2123800;Manufacture of pharmaceutical preparations
2123800;Manufacture of pharmaceutical preparations
2211100;Manufacture of tires and inner tubes
2212900;Refurbishment of used tires
2219600;Manufacture of rubber products not otherwise specified
2221800;Manufacture of flat and tubular laminates of plastic material
2222600;Manufacture of plastic material packaging
2223400;Manufacture of pipes and fittings of plastic material for use in construction
2229301;Manufacture of plastic artifacts for personal and domestic use
2229302;Manufacture of plastic artifacts for industrial uses
2229303;Manufacture of plastic artifacts for use in construction, except tubes and fittings
2229399;Manufacture of plastic artifacts for other uses not previously specified
2229399;Manufacture of plastic artifacts for other uses not previously specified
2311700;Manufacture of flat and safety glass
2312500;Glass packaging manufacturing
2319200;Glassware manufacturing
2320600;cement manufacturing
2330301;Manufacture of precast reinforced concrete structures, in series and to order
2330302;Manufacture of cement artifacts for use in construction
2330303;Manufacture of fiber cement artifacts for use in construction
2330304;Manufacture of precast concrete houses
2330305;Preparation of concrete mass and mortar for construction
2330399;Manufacture of other artifacts and products made of concrete, cement, fiber cement, plaster and similar materials
2341900;Manufacture of refractory ceramic products
2342701;Manufacture of tiles and floors
2342702;Manufacture of pottery and baked clay artifacts for use in construction, except tiles and floors
2349401;Manufacture of ceramic sanitary material
2349499;Manufacture of nonrefractory ceramic products not otherwise specified
2391501;Stone crushing, except associated with extraction
2391502;Stone rigging for construction, except associated with extraction
2391503;Fitting slabs and carrying out work on marble, granite, slate and other stones
2392300;Manufacture of lime and gypsum
2399101;Decorating, cutting, engraving, glazing and other work in ceramics, crockery, glass and crystal
2399199;Manufacture of other nonmetallic mineral products not otherwise specified
2411300;Pig iron production
2412100;production of ferroalloys
2421100;Production of steel semifinished products
2422901;Production of carbon steel flat rolled products, coated or uncoated
2422902;Production of flat rolled special steels
2423701;Production of seamless steel tubes
2423702;Production of long steel products, except tubes
2424501;Steel wire production
2424502;Production of rerolled, drawn and profiled steel, except wires
2431800;Production of seamed steel tubes
2439300;Production of other iron and steel tubes
2441501;Production of aluminum and its alloys in primary forms
