name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,total_authorized_shares,create_dt,sub_status,reason_for_administrative,dissolution_date,began_transacting_in_ct,business_name_in_state_country,country_formation,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,category_survey_email_address,billing_unit,date_of_organization_meeting
"CONNECTICUT CUSTOM CAR, INC.",Stock,Active,1259042,2022-01-01,744 ENFIELD STREET,ENFIELD,United States,06082,CT,waltjr@conncustomcar.com,Domestic,2018-01-01,CT,Connecticut,False,False,False,False,False,"Automotive Body, Paint, and Interior Repair and Maintenance (811121)",811121.0,1000.0,2021-11-10 00:10:18.2300000,,,,,,,,,,,,,,,,,,,,,
"SHUMEI, LLC.",LLC,Active,1259174,2019-03-31,1585 BOSTON POST ROAD,MILFORD,,06460,CT,KRUANCPA@YAHAOO.COM,Domestic,2018-01-01,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:19.4966667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
AXIS WORKFLOW AUTOMATION INC,Stock,Active,1259175,2020-01-01,No information provided,,,,,GARY.DAVIES@AUTOMATED-WORKFLOW.COM,Domestic,2018-01-01,CT,Connecticut,False,False,False,False,False,,,100.0,2021-11-10 00:10:19.4966667,First report past due,Failure to file First Report,,,,,,,,,,,,,,,,,,,
"TEAM GEN NEXT, LLC",LLC,Active,1259177,2022-03-31,20 BROOKSIDE DRIVE,DARIEN,United States,06820,CT,GenDistance@gmail.com,Domestic,2018-01-01,CT,Connecticut,True,False,True,False,False,Offices of Real Estate Agents and Brokers (531210),,,2021-11-10 00:10:19.5433333,,,,,,,,,,,,,,,,,,,,,
"BRIAN DISTANCE, LLC",LLC,Active,1259178,2022-03-31,20 BROOKSIDE DRIVE,DARIEN,United States,06820,CT,BDistance@mac.com,Domestic,2018-01-01,CT,Connecticut,False,False,True,False,False,"Independent Artists, Writers, and Performers (711510)",,,2021-11-10 00:10:19.5433333,,,,,,,,,,,,,,,,,,,,,
RTB LLC,LLC,Active,1259179,2022-03-31,295 SUNNYBANK AVE,STRATFORD,United States,06614,CT,buyit@kw.com,Domestic,2018-01-01,CT,Connecticut,False,False,False,False,False,Offices of Real Estate Agents and Brokers (531210),531210.0,,2021-11-10 00:10:19.5433333,,,,,,,,,,,,,,,,,,,,,
SRI INFORMATION SOLUTIONS LLC,LLC,Active,1259180,2019-03-31,"35 W BROAD STREET, 407",STAMFORD,,06902,CT,METLASANTOSH@GMAIL.COM,Domestic,2018-01-01,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:19.5433333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
LIVE WITH PURPOSE LLC,LLC,Active,1259181,2022-03-31,253 INDIAN AVENUE 253 INDIAN AVENUE,BRIDGEPORT,United States,06606,CT,nora@noraayaladelgado.com,Domestic,2018-01-01,CT,Connecticut,True,False,False,False,False,All Other Personal Services (812990),812990.0,,2021-11-10 00:10:19.5433333,,,,,,,,,,,,,,,,,,,,,
NE COMPOSITE FOUNDATION PANELS LLC,LLC,Active,1259182,2022-03-31,10 ANTHONY RD,TOLLAND,United States,06084,CT,jsharon@epitomene.com,Domestic,2018-01-01,CT,Connecticut,False,True,False,False,False,All Other Plastics Product Manufacturing (326199),326199.0,,2021-11-10 00:10:19.5433333,,,,,,,,,,,,,,,,,,,,,
SHAZIA NISAR INC,B Corp,Active,1259183,,No information provided,,,,,HARRY103@LIVE.COM,Domestic,2018-01-01,CT,Connecticut,False,False,False,False,False,,,100.0,2021-11-10 00:10:19.5433333,,,,,,,,,,,,,,,,,,,,,
"NIKMUN, LLC",LLC,Active,1259191,2020-03-31,93 EAST MAIN STREET,CLINTON,United States,06413,CT,AMANZNOW@GMAIL.COM,Domestic,2018-01-01,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:19.5433333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
SHEPHERD INSURANCE AGENCY LLC,LLC,Active,1259193,2022-03-31,43 W MAIN ST,AVON,United States,06001,CT,shepherdinsuranceagencyllc@gmail.com,Domestic,2018-01-01,CT,Connecticut,False,False,False,False,False,Insurance Agencies and Brokerages (524210),524210.0,,2021-11-10 00:10:19.5433333,,,,,,,,,,,,,,,,,,,,,
"TOP FORM PHYSICAL THERAPY, LLC",LLC,Active,1259194,2019-03-31,7 OAK ST. B,BRANFORD,,06405,CT,JCIARDULLI.DPT@GMAIL.COM,Domestic,2018-01-01,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:19.5433333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
"LAUREN PEDERSEN, LMFT LLC",LLC,Active,1259195,2022-03-31,314C NEW BRITAIN RD,BERLIN,United States,06037,CT,healingyoumft@gmail.com,Domestic,2018-01-01,CT,Connecticut,True,False,False,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),621330.0,,2021-11-10 00:10:19.5433333,,,,,,,,,,,,,,,,,,,,,
"ROUND TABLE CONSULTING, LLC",LLC,Active,1259196,2019-03-31,58 WILDCAT RD,BURLINGTON,,06013,CT,J.SEMPERE@ROUNDTABLECONSULTINGLLC.COM,Domestic,2018-01-01,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:19.5433333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
CELES CLEANING SERVICES LLC,LLC,Active,1259197,2021-03-31,35 CLAPBOARD RIDGE RD,DANBURY,United States,06811,CT,almightgod7@gmail.com,Domestic,2018-01-01,CT,Connecticut,False,False,False,False,False,All Other Miscellaneous Waste Management Services (562998),,,2021-11-10 00:10:19.5733333,Annual report past due,,,,,,,,,,,,,,,,,,,,
"CENTER SONG, LLC",LLC,Active,1259234,2022-03-31,20 GREEN ACRES ROAD,HARWINTON,United States,06791,CT,mj@CenterSong.com,Domestic,2018-01-01,CT,Connecticut,True,False,False,False,False,All Other Personal Services (812990),812990.0,,2021-11-10 00:10:20.1366667,,,,,,,,,,,,,,,,,,,,,
"NAISHA, LLC",LLC,Dissolved,1259176,2019-03-31,600 MERIDIAN STREET EXT APT 316,GROTON,,06340,CT,JODY@INCORPORATINGSVC.COM,Domestic,2018-01-01,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:05:05.1233333,,,2019-04-17T00:00:00.000,,,,,,,,,,,,,,,,,,
CONNECTICUT?S HOMECARE TO TRUST LLC,LLC,Dissolved,1259192,2019-03-31,6 HAMILTON DR,MANCHESTER,,06042,CT,ODELIAOA@GMAIL.COM,Domestic,2018-01-01,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:05:34.0333333,,,2019-02-22T00:00:00.000,,,,,,,,,,,,,,,,,,
NETPLAY USA LLC,LLC,Active,1254629,2022-03-31,226 UPTON ROAD,COLCHESTER,United States,06415,CT,Accounting@netplayusa.com,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,Sporting and Recreational Goods and Supplies Merchant Wholesalers (423910),423910.0,,2021-11-10 00:10:16.1833333,,,,,,,,,,,,,,,,,,,,,
NINETY SIX RAILROAD STREET LLC,LLC,Active,1254906,2022-03-31,NONE,,,,,OFFICE@THEREISLERGROUP.COM,Domestic,2018-01-02,,Connecticut,False,False,False,False,False,Residential Property Managers (531311),531311.0,,2021-11-10 00:10:14.8233333,,,,,,,,,,,,,,,,,,,,,
NEW ENGLAND AVIATION AIR CHARTERS LLC,LLC,Active,1256961,2022-03-31,62 JOHNSON AVENUE,PLAINVILLE,United States,06062,CT,Marija@netoolcorp.com,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,Nonscheduled Chartered Passenger Air Transportation (481211),481211.0,,2021-11-10 00:10:17.5266667,,,,,,,,,,,,,,,,,,,,,
ARBOR PICKS LLC,LLC,Active,1256975,2022-03-31,145 DELAY ROAD,HARWINTON,United States,06791,CT,hts297@yahoo.com,Domestic,2018-01-02,CT,Connecticut,False,True,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,,2021-11-10 00:10:17.5566667,,,,,,,,,,,,,,,,,,,,,
"JILL SHALAN, PHD, PLLC",LLC,Active,1258998,2022-03-31,68 SOUTH MAIN ST,WEST HARTFORD,United States,06107,CT,jillshalan@jdpsy.com,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),621330.0,,2021-11-10 00:10:17.6200000,,,,,,,,,,,,,,,,,,,,,
"AFD ADVISORS, LLC",LLC,Active,1258999,2019-03-31,18 MOLA RD,NORWALK,,06851,CT,,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:17.6200000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
GARCIA'S ICE CREAM AND FRUITS LLC,LLC,Active,1259001,2019-03-31,445 CAMPBELL AVE,WEST HAVEN,,06516,CT,PILARGARCIA1270@GMAIL.COM,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:17.6200000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
"ARRTCO, INC.",Stock,Active,1259007,2022-01-02,9 REXVIEW CIRCLE,TRUMBULL,United States,06611,CT,brobbins@wwblaw.com,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),531311.0,1000.0,2021-11-10 00:10:17.6200000,,,,,,,,,,,,,,,,,,,,,
"MACKAY VETERINARY SERVICES, LLC",LLC,Active,1259008,2022-03-31,20 HARWOOD DR.,DANBURY,United States,06810,CT,mackayvetservices@gmail.com,Domestic,2018-01-02,CT,Connecticut,True,False,False,False,False,Veterinary Services (541940),541940.0,,2021-11-10 00:10:18.1833333,,,,,,,,,,,,,,,,,,,,,
"18 FOX, LLC",LLC,Active,1259011,2020-03-31,14 FOX RUN RD,REDDING,United States,06896,CT,KENT.FRIEDMAN@ME.COM,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:18.1833333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
A2Z WINE & LIQUOR LLC,LLC,Active,1259028,2020-03-31,296 WOOD AVENUE,BRIDGEPORT,,06605,CT,ravi.nichani@yahoo.com,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:18.1833333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
"QUALITY CONTROL SERVICES, LLC",LLC,Active,1259030,2022-03-31,27 ESSEX HILLS DRIVE,ESSEX,United States,06426,CT,nsqueglia@snet.net,Domestic,2018-01-02,CT,Connecticut,False,True,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,,2021-11-10 00:10:18.2133333,,,,,,,,,,,,,,,,,,,,,
EAST COAST USA CONSTRUCTION INC,Stock,Active,1259033,2019-01-02,87-11 118TH STREET,RICHMOND HILL,,11418,NY,EASTCOASTUSACONSTRUCTION@HOTMAIL.COM,Foreign,2018-01-02,NY,NY,False,False,False,False,False,,,,2021-11-10 00:10:18.2133333,Ready for dissolution,Failure to file Annual Report,,2018-01-01,EAST COAST USA CONSTRUCTION INC,,,,,,,,,,,,,,,,
SDF HOMES LLC,LLC,Active,1259040,2020-03-31,57 PENT RD,MADISON,,,CT,SMCINTYRE@VERIZON.NET,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:18.2133333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
"CHRISTIAN TOFT & ASSOCIATES, LLC",LLC,Dissolved,1259045,2020-03-31,24 HIDDEN MEADOW RD,WESTON,,06883,CT,CHRISDTOFT@GMAIL.COM,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:18.2300000,,,2021-01-22T00:00:00.000,,,,,,,,,,,,,,,,,,
DEAD BROKE LLC,LLC,Active,1259046,2022-03-31,75 SMALLEY ST,NEW BRITAIN,United States,06501,CT,deadbrokeco17@gmail.com,Domestic,2018-01-02,CT,Connecticut,False,False,True,False,False,"Sewing, Needlework, and Piece Goods Stores (451130)",451130.0,,2021-11-10 00:10:18.2300000,,,,,,,,,,,,,,,,,,,,,
"AP 1365 POST RD E WESTPORT, LIMITED PARTNERSHIP",Limited Partnership,Active,1259052,2022-01-02,"1616 CAMDEN ROAD, SUITE 210",CHARLOTTE,United States,28203,NC,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2018-01-02,DE,DE,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,,2021-11-10 00:10:18.2600000,,,,2017-12-29,"AP 1365 POST RD E WESTPORT, LP",United States,"1616 CAMDEN ROAD, SUITE 210, CHARLOTTE, NC, 28203, United States","1616 CAMDEN ROAD, SUITE 210",CHARLOTTE,NC,28203.0,United States,,,,,,,,,
"THE SIDING GUYS, LLC",LLC,Active,1259058,2022-03-31,189 WHITING STREET,PLAINVILLE,United States,06062,CT,steve@sidingguysct.com,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,Siding Contractors (238170),238170.0,,2021-11-10 00:10:18.2600000,,,,,,,,,,,,,,,,,,,,,
"LEGACY CATERING, LLC",LLC,Active,1259081,2022-03-31,368 TUNXIS AVE.,BLOOMFIELD,United States,06002,CT,rrpbest@gmail.com,Domestic,2018-01-02,CT,Connecticut,True,True,True,False,False,Caterers (722320),722320.0,,2021-11-10 00:10:18.8533333,,,,,,,,,,,,,,,,,,,,,
"DR.DELLA M. SCHMID, PLLC",LLC,Active,1259098,2022-03-31,19 CHURCH HILL ROAD,NEWTOWN,United States,06470,CT,drdellaschmid@gmail.com,Domestic,2018-01-02,CT,Connecticut,True,False,False,False,False,Offices of Chiropractors (621310),621310.0,,2021-11-10 00:10:18.8866667,,,,,,,,,,,,,,,,,,,,,
