name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,total_authorized_shares,create_dt,billingcountry,naics_code,naics_sub_code,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,category_survey_email_address,billing_unit,date_of_organization_meeting
LBL PAINTING INC,Stock,Active,Ready for dissolution,1261977,2019-02-01,123 CARLETON AVE,BRIDGEPORT,06604,CT,lblpainting@hotmail.com,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,1000.0,2021-11-10 00:10:21.6200000,,,,,,,,,,,,,,,,,,,,,,
LJM EXPRESS LLC,LLC,Active,,1261980,2022-03-31,268 TYLER ST,EAST HAVEN,06512,CT,dispatch460@gmail.com,Domestic,2018-02-01,CT,Connecticut,False,False,True,False,False,,,2021-11-10 00:10:21.6200000,United States,"General Freight Trucking, Long-Distance, Less Than Truckload (484122)",484122.0,,,,,,,,,,,,,,,,,,,
"OGN STUDIOS, LLC",LLC,Active,Ready for dissolution,1261991,2019-03-31,15 HUBBARD ROAD BOX 221,WILTON,06897,CT,,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:21.6500000,,,,,,,,,,,,,,,,,,,,,,
AFC CONSULTANTS LLC,LLC,Active,Ready for dissolution,1261992,2020-03-31,49 CHESTERFIELD ROAD,EAST LYME,06333,CT,DEBRAGAYNOR@SBCGLOBAL.NET,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:21.6500000,,,,,,,,,,,,,,,,,,,,,,
GP ICE CREAM LLC,LLC,Active,Ready for dissolution,1261995,2020-03-31,5 ABBOTT TERRACE,WATERBURY,06702,CT,waynepittmanjr@gmail.com,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:21.6500000,United States,Mobile Food Services (722330),,,,,,,,,,,,,,,,,,,,
LU FERRER & COMPANY LLC,LLC,Active,Annual report past due,1261998,2021-03-31,281 BRITTANY FARMS RD UNIT 6C,NEW BRITAIN,06053,CT,lderosiers@gmail.com,Domestic,2018-02-01,CT,Connecticut,False,False,True,False,False,,,2021-11-10 00:10:21.6500000,United States,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,,,,,,,,,,,,,,,,,,,
PRECISION LATHE TOOLS LLC,LLC,Active,,1261999,2022-03-31,650 EMMETT ST,BRISTOL,06010,CT,plathetools@gmail.com,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:21.6500000,United States,Machine Tool Manufacturing (333517),333517.0,,,,,,,,,,,,,,,,,,,
Q'S LANDSCAPING LLC,LLC,Active,Ready for dissolution,1262000,2019-03-31,108 ALLEN ST,WINDSOR,06095,CT,QUINITCHETT@GMAIL.COM,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:21.6500000,,,,,,,,,,,,,,,,,,,,,,
"ACREAGE CONNECTICUT, LLC",LLC,Active,,1262001,2022-03-31,450 LEXINGTON AVENUE #3308 #3308,NEW YORK,10163,NY,C.BERRY@ACREAGEHOLDINGS.COM,Domestic,2018-02-01,NY,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:21.6500000,United States,"Corporate, Subsidiary, and Regional Managing Offices (551114)",551114.0,,,,,,,,,,,,,,,,,,,
G&S SCRAP REALTY LLC,LLC,Active,,1262016,2022-03-31,99 EAST RIVER DRIVE,EAST HARTFORD,06108,CT,smeyer@pmrinc.com,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2300000,United States,Nonresidential Property Managers (531312),531312.0,,,,,,,,,,,,,,,,,,,
RITTAL NORTH AMERICA LLC,LLC,Active,,1262018,2022-03-31,425 N MARTINGALE STE 400,SCHAUMBURG,60173,IL,bkiser@porterwright.com,Foreign,2018-02-01,DE,DE,False,False,False,False,False,,,2021-11-10 00:10:22.2300000,United States,All Other Miscellaneous Fabricated Metal Product Manufacturing (332999),332999.0,2018-01-01,RITTAL NORTH AMERICA LLC,United States,"1209 ORANGE ST, WILMINGTON, DE, 19801, United States",1209 ORANGE ST,WILMINGTON,DE,19801,United States,"1209 ORANGE ST, WILINGTON, DE, 19801, United States",1209 ORANGE ST,WILINGTON,DE,19801,United States,,,,
