name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingpostalcode,billingstate,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,billingcountry,business_email_address,naics_code,naics_sub_code,total_authorized_shares,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,category_survey_email_address,billing_unit,office_jurisdiction_3,date_of_organization_meeting
"KELLEY'S CUSTOM CUTS, LLC",LLC,Active,Ready for dissolution,1264760,2019-03-31,73 PECK STREET APT. #3,NORWICH,06360,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:25.5266667,,,,,,,,,,,,,,,,,,,,,,,,,
"RED TANGO, INC.",Stock,Active,,1264761,2022-03-01,"5 RIVER ROAD, SUITE 119",WILTON,06897,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:25.5266667,United States,govdocs@corpcreations.com,Other Scientific and Technical Consulting Services (541690),541690.0,1000.0,,,,,,,,,,,,,,,,,,,,
AMS TRUCKING LLC,LLC,Active,,1264766,2022-03-31,55 ROWAN ST,DANBURY,06810,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:25.5266667,United States,m1sari@hotmail.com,"General Freight Trucking, Local (484110)",,,,,,,,,,,,,,,,,,,,,,
NVGT LLC,LLC,Active,,1264783,2022-03-31,640 HILLIARD ST STE 1101,MANCHESTER,06042,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:25.5733333,United States,legowskiassoc@aol.com,General Line Grocery Merchant Wholesalers (424410),,,,,,,,,,,,,,,,,,,,,,
AYELET CONNELL WELLNESS LLC,LLC,Active,,1264819,2022-03-31,46 KEENEY AVENUE,WEST HARTFORD,06107,CT,Domestic,2018-03-01,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:25.6500000,United States,ayeletconnell@gmail.com,All Other Miscellaneous Schools and Instruction (611699),,,,,,,,,,,,,,,,,,,,,,
OLD POST VILLAGE LLC,LLC,Active,Ready for dissolution,1264833,2020-03-31,1100 KINGS HIGHWAY EAST SUITE 2A,FAIRFIELD,06825,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:26.1666667,,MSCHINELLA8@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,
"THE ZEBRA DIVA, LLC",LLC,Active,Ready for dissolution,1264835,2019-03-31,36 GREAT HILL RD.,SEYMOUR,06483,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:26.1666667,,PURELYPASSIONATEINCT@YAHOO.COM,,,,,,,,,,,,,,,,,,,,,,,
SILVER HILL LLC,LLC,Active,Ready for dissolution,1264837,2019-03-31,52 SILVER HILL RD.,DERBY,06418,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:26.1666667,,,,,,,,,,,,,,,,,,,,,,,,,
"DALY PEPPER, LLC",LLC,Active,,1264838,2022-03-31,7 HEDGE MEADOW LANE,NEWTOWN,06470,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:26.1666667,United States,tom.angrypepper@gmail.com,All Other Specialty Food Stores (445299),,,,,,,,,,,,,,,,,,,,,,
"5 GRAND STREET, LLC",LLC,Active,,1264876,2022-03-31,135 E ROCKS RD ADDRESS 2 ADDRESS 2,NORWALK,06851,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:23.4800000,United States,fivegrandstreetllc@yahoo.com,Residential Property Managers (531311),531311.0,,,,,,,,,,,,,,,,,,,,,
