name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,create_dt,naics_sub_code,sub_status,reason_for_administrative,dissolution_date,total_authorized_shares,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,mailing_jurisdiction_country,category_survey_email_address,billing_unit,date_of_organization_meeting
CUPER MORA LLC,LLC,Active,1268071,2022-03-31,964 EAST MAIN ST,BRIDGEPORT,United States,06608,CT,DELAIGLESIAC@GMAIL.COM,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,Home Centers (444110),2021-11-10 00:08:22.3533333,,,,,,,,,,,,,,,,,,,,,,,
GIVING GARDENS AND LANDSCAPES LLC,LLC,Active,1268073,2022-03-31,43 HIGH STREET,COLLINSVILLE,United States,06019,CT,micheleldupuis@gmail.com,Domestic,2018-04-02,CT,Connecticut,True,False,False,False,False,All Other Specialty Trade Contractors (238990),2021-11-10 00:08:22.3533333,238990.0,,,,,,,,,,,,,,,,,,,,,,
TIRE SHIPPING EXPRESS LLC,LLC,Active,1268074,2019-03-31,114 STANDISH AVE,NORTH HAVEN,,06473,CT,,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.3533333,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
"EXTRAORDINARY NEEDS DISPENSARY, LLC",LLC,Active,1268077,2020-03-31,500 FOUR ROD ROAD,BERLIN,United States,06037,CT,BWILCOX.END@GMAIL.COM,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.3533333,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
"RANIERI, LLC",LLC,Active,1268080,2022-03-31,475 WOOD CREEK ROAD,BETHLEHEM,United States,06751,CT,rranieri475@gmail.com,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,Land Subdivision (237210),2021-11-10 00:08:22.3533333,237210.0,,,,,,,,,,,,,,,,,,,,,,
FLACO JARQUIN LLC,LLC,Active,1268085,2019-03-31,23 HOSPITAL AVE APT C,DANBURY,,06810,CT,ELIZABETHMOOTS@YAHOO.COM,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.3533333,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
UTOPIA CONSTRUCTION COORDINATORS LLC,LLC,Active,1268086,2022-03-31,105 CAMERON ROAD,BERGENFIELD,United States,07621,NJ,rebecca@arialegacygroup.com,Domestic,2018-04-02,NJ,Connecticut,False,False,False,False,False,Residential Remodelers (236118),2021-11-10 00:08:22.3533333,236118.0,,,,,,,,,,,,,,,,,,,,,,
JORGE XOCHIMITL LLC,LLC,Active,1268100,2019-03-31,16 BOUTON ST W,STAMFORD,,06907,CT,ANTHONY@DURANGOAGENCY.COM,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.4000000,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
SEVEN NAILS & SPA STUDIO LLC,LLC,Active,1268111,2022-03-31,99 NEW CANAAN AVE,NORWALK,United States,06850,CT,nytax888@gmail.com,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,Nail Salons (812113),2021-11-10 00:08:23.0566667,,,,,,,,,,,,,,,,,,,,,,,
LEONA BLACK COLLECTION LLC,LLC,Active,1268127,2019-03-31,41 BREWSTER RD UNIT B,GLASTONBURY,,06033,CT,LEONABLACKCOLLECTION@GMAIL.COM,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:23.0566667,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
