name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,reason_for_administrative,began_transacting_in_ct,business_name_in_state_country,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,country_formation,mailing_jurisdiction_country,office_in_jurisdiction_country,total_authorized_shares,category_survey_email_address,dissolution_date,billing_unit,date_of_organization_meeting,mailing_address
JCN PROPERTIES LLC,LLC,Active,Annual report past due,1271728,2021-03-31,385 BOSTON POST RD,ORANGE,United States,06477,CT,cleanproct@gmail.com,Domestic,2018-05-01,CT,Connecticut,True,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,2021-11-10 00:10:20.8400000,,,,,,,,,,,,,,,,,,,,,,
"PURPLE GALAXY ""OUTLAW"" LLC",LLC,Active,Annual report past due,1271734,2021-03-31,96 GREEN MANOR AVE,WINDSOR,United States,06095,CT,Ellesfashion22@gmail.com,Domestic,2018-05-01,CT,Connecticut,True,False,False,False,False,Family Clothing Stores (448140),448140.0,2021-11-10 00:10:20.8400000,,,,,,,,,,,,,,,,,,,,,,
ORLIN BROTHERS MASON L.L.C.,LLC,Active,Ready for dissolution,1271736,2019-03-31,96 TOLLAND ST,EAST HARTFORD,,06108,CT,ORLIN.ROMERO@GMAIL.COM,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:20.8400000,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
"ELDER CONSTRUCTION, LLC",LLC,Active,Ready for dissolution,1271742,2019-03-31,10197 BUNSEN WAY,LOUISVILLE,,40299,KY,DAVIDE@ELDERCONSTRUCTION.COM,Foreign,2018-05-01,KY,KY,False,False,False,False,False,,,2021-11-10 00:10:20.8700000,Failure to file Annual Report,2018-05-01,"ELDER CONSTRUCTION, LLC","10197 BUNSEN WAY, LOUISVILLE, KY, 40299,",10197 BUNSEN WAY,LOUISVILLE,KY,40299,"10197 BUNSEN WAY, LOUISVILLE, KY, 40299,",10197 BUNSEN WAY,LOUISVILLE,KY,40299,,,,,,,,,
"131 MOUNT PLEASANT ROAD, LLC",LLC,Active,Ready for dissolution,1271746,2019-03-31,C/O HILARIO SERVICE CENTER ATTN:  PAUL HILARIO 131 MOUNT PLEASANT ROAD,NEWTOWN,,06470,CT,,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:20.8700000,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
"133 MOUNT PLEASANT ROAD, LLC",LLC,Active,Ready for dissolution,1271747,2019-03-31,C/O HILARIO SERVICE CENTER ATTN: PAUL HILARIO 131 MOUNT PLEASANT ROAD,NEWTOWN,,06470,CT,,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:20.8700000,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
"135 MOUNT PLEASANT ROAD, LLC",LLC,Active,Ready for dissolution,1271748,2019-03-31,C/O HILARIO SERVICE CENTER ATTN: PAUL HILARIO 131 MOUNT PLEASANT ROAD,NEWTOWN,,06470,CT,,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:20.8700000,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
BLUE SKY LANDSCAPING ALL SEASONS MAINTENANCE LLC,LLC,Active,Ready for dissolution,1271752,2020-03-31,70 YALE ST,WATERBURY,United States,06704,CT,mponce@gatewayinsct.com,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:20.8700000,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
"KR DINUNZIO PROPERTIES, LLC",LLC,Active,,1271753,2022-03-31,15 MULLEN ROAD,ENFIELD,United States,06082,CT,lswedis@usarecycle.com,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:10:20.8700000,,,,,,,,,,,,,,,,,,,,,,
ALL OUT TOWING LLC,LLC,Active,Ready for dissolution,1271755,2019-03-31,26 HOTCHKISS ST,WATERBURY,,06704,CT,ALLOUTTOWING203@ICLOUD.COM,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:20.8700000,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
JULIO REYES CRUZ LLC,LLC,Active,Ready for dissolution,1271756,2020-03-31,720 CONNECTICUT AVE,BRIDGEPORT,United States,06607,CT,ANTHONY@DURANGOAGENCY.COM,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:20.8866667,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
RICARDO SIDING LLC,LLC,Active,Ready for dissolution,1271757,2019-03-31,70 LINCOLN AVE,STAMFORD,,06902,CT,ANTHONY@DURANGOAGENCY.COM,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:20.9000000,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
"FAIRFIELD COMMERCIAL LOANS, LLC",LLC,Active,,1271760,2022-03-31,170 MASON STREET,GREENWICH,United States,06830,CT,jaynorwood@me.com,Domestic,2018-05-01,CT,Connecticut,True,False,False,False,False,Mortgage and Nonmortgage Loan Brokers (522310),522310.0,2021-11-10 00:10:20.9000000,,,,,,,,,,,,,,,,,,,,,,
CARL ZEISS MEDITEC INC.,Stock,Active,,1271762,2022-05-01,5160 HACIENDA DRIVE,DUBLIN,United States,94568,CA,Compliancemail@cscinfo.com,Foreign,2018-05-01,NY,NY,False,False,False,False,False,Surgical and Medical Instrument Manufacturing (339112),339112.0,2021-11-10 00:10:20.9000000,,2018-01-01,CARL ZEISS MEDITEC INC.,,,,,,,,,,,United States,,,,,,,,
R3 EDUCATION INC.,Stock,Active,,1271765,2022-05-01,27 JACKSON ROAD SUITE #300,DEVENS,United States,01434,MA,s.horvath@r3education.com,Foreign,2018-05-01,DE,DE,False,False,False,False,False,"Corporate, Subsidiary, and Regional Managing Offices (551114)",,2021-11-10 00:10:20.9000000,,2018-04-16,R3 EDUCATION INC.,,,,,,,,,,,United States,,,,,,,,
"73 ORCHARD PLACE, LLC",LLC,Active,,1271790,2022-03-31,37 BROOKSIDE DRIVE,GREENWICH,United States,06830,CT,mwjedlicka@gmail.com,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:10:21.5733333,,,,,,,,,,,,,,,,,,,,,,
"WORLD WILDLIFE FUND, INC.",Non-Stock,Active,,1271795,2022-05-01,1250 24TH STREET N.W.,WASHINGTON,United States,20037,DC,maria.subiza@wwfus.org,Foreign,2018-05-01,DE,DE,False,False,False,False,False,"Environment, Conservation and Wildlife Organizations (813312)",813312.0,2021-11-10 00:10:21.5733333,,2018-06-01,"WORLD WILDLIFE FUND, INC.",,,,,,,,,,,United States,,,,,,,,
AGHA PROPERTIES LLC,LLC,Active,Ready for dissolution,1271797,2019-03-31,16 GATE POST LANE,WOODBURY,,06798,CT,PMARKHAM225@YAHOO.COM,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:21.5733333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
9 ISLAND HILL LLC,LLC,Active,Ready for dissolution,1271843,2019-03-31,63 LINCOLN LANE,RIDGEFIELD,,06877,CT,JUSTSOLD@YAHOO.COM,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2133333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
105 DANBURY ROAD LLC,LLC,Active,,1271846,2022-03-31,100B DANBURY ROAD SUITE 104,RIDGEFIELD,United States,06877,CT,mike@ridgefieldapartments.com,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,2021-11-10 00:10:22.2133333,,,,,,,,,,,,,,,,,,,,,,
HIBS TRANSPORTATION LLC,LLC,Active,Ready for dissolution,1271849,2019-03-31,48 WINDSOR AVE,VERNON,,06066,CT,KHAN.RIAZ72@YAHOO.COM,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2133333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
"1E9, LLC",LLC,Active,Ready for dissolution,1271850,2019-03-31,65 HIGH RIDGE ROAD UNIT 208,STAMFORD,,06905,CT,PETE@CLOCKWORKSTUNTS.COM,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2133333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
GRO GOLF SHOP LLC,LLC,Active,Ready for dissolution,1271851,2019-03-31,2 EVANS HILL RD.,SHERMAN,,06784,CT,GLENN@CLUBRIVEROAKS.COM,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2133333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
"HOST TO PERFECTION, LLC",LLC,Active,,1271852,2022-03-31,159 TACONIC RD.,GREENWICH,United States,06831,CT,info@hosttoperfection.com,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,Internet Publishing and Broadcasting and Web Search Portals (519130),,2021-11-10 00:10:22.2133333,,,,,,,,,,,,,,,,,,,,,,
PEQUOT PROPERTY GROUP LLC,LLC,Active,Ready for dissolution,1271853,2019-03-31,275 CENTER STREET,SOUTHPORT,,06890,CT,FILING@ACS123.COM,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2133333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
"IMAGE APPROACH, LLC",LLC,Active,Annual report past due,1271855,2021-03-31,8866 TOLBERT WAY,NORTH CHARLESTON,United States,29420,SC,ct-reports@statefilings.in,Foreign,2018-05-01,SC,SC,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),541611.0,2021-11-10 00:10:22.2133333,,2018-05-15,"IMAGE APPROACH, LLC","8866 TOLBERT WAY  8866 TOLBERT WAY, NORTH CHARLESTON, SC, 29420, United States",8866 TOLBERT WAY  8866 TOLBERT WAY,NORTH CHARLESTON,SC,29420,"8866 TOLBERT WAY, NORTH CHARLESTON, SC, 29420, United States",8866 TOLBERT WAY,NORTH CHARLESTON,SC,29420,United States,United States,United States,,,,,,
HOLISTICLEAN LLC,LLC,Active,,1271857,2022-03-31,79 CYPRESS ST.,BRISTOL,United States,06010,CT,holisticlean17@yahoo.com,Domestic,2018-05-01,CT,Connecticut,True,False,False,False,False,Janitorial Services (561720),561720.0,2021-11-10 00:10:22.2133333,,,,,,,,,,,,,,,,,,,,,,
"GVAC, L.L.C.",LLC,Active,,1271858,2022-03-31,56 LAKEVIEW AVE,SHELTON,United States,06484,CT,dianateixeira84@yahoo.com,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:10:22.2133333,,,,,,,,,,,,,,,,,,,,,,
THE BOYS LLC,LLC,Active,Ready for dissolution,1271859,2019-03-31,335 PLATT AVENUE,WEST HAVEN,,06516,CT,DCARR08@SNET.NET,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2133333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
"MDE PROPERTIES, LLC",LLC,Active,,1271860,2022-03-31,565 ELLSWORTH AVENUE,NEW HAVEN,United States,06511,CT,mdbatim@gmail.com,Foreign,2018-05-01,DE,DE,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:10:22.2133333,,2018-05-01,"MDE PROPERTIES, LLC","3524 SILVERSIDE ROAD, SUITE 358, WILMINGTON, DE, 19810, United States","3524 SILVERSIDE ROAD, SUITE 358",WILMINGTON,DE,19810,"3524  SILVERSIDE ROAD SUITE 35B, WILMINGTON, DE, 19810, United States",3524  SILVERSIDE ROAD SUITE 35B,WILMINGTON,DE,19810,United States,United States,United States,,,,,,
"GO GREEN REFRIGERATION, AIR CONDITIONING AND HOME SERVICES, LLC",LLC,Active,Ready for dissolution,1271861,2019-03-31,61 HIGHVIEW TER.,BERLIN,,06037,CT,MRJEREMY161@GMAIL.COM,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2133333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
EMLL OF BRIDGEPORT LLC,LLC,Active,Ready for dissolution,1271863,2019-03-31,25 PLEASANT PL.,BRIDGEPORT,,06606,CT,GALINDOHOME@ICLOUD.COM,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2466667,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
CARPINO & BAILEY FUNERAL HOME LLC,LLC,Active,,1271864,2022-03-31,750 MAIN ST S,SOUTHBURY,United States,06488,CT,matt@ctlifetributes.com,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,All Other Legal Services (541199),541199.0,2021-11-10 00:10:22.2466667,,,,,,,,,,,,,,,,,,,,,,
