name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingpostalcode,billingstate,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,billing_unit,billingcountry,business_email_address,total_authorized_shares,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,naics_code,naics_sub_code,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,category_survey_email_address,date_of_organization_meeting
"413 MAIN, LLC",LLC,Active,Ready for dissolution,1274826,2019-03-31,413 MAIN STREET,RIDGEFIELD,06877,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:25.5900000,,,,,,,,,,,,,,,,,,,,,,,,
ELITE SUITE LLC,LLC,Active,Ready for dissolution,1274848,2020-03-31,248 Farmington Ave,Hartford,06105-3509,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:25.6366667,Suite 203,United States,INFO@ELITESSUITE.COM,,,,,,,,,,,,,,,,,,,,,
"WATER'S EDGE PROPERTIES, LLC",LLC,Active,Ready for dissolution,1274860,2019-03-31,66 PUTTING GREEN LANE,ORANGE,06477,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:26.1533333,,,,,,,,,,,,,,,,,,,,,,,,
"1955 SEAVIEW AVENUE, LLC",LLC,Active,Ready for dissolution,1274861,2019-03-31,1955 SEAVIEW AVENUE,BRIDGEPORT,06610,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:26.1533333,,,,,,,,,,,,,,,,,,,,,,,,
J. ARTHUR CONSULTING CORP.,Stock,Active,First report past due,1274887,2020-06-01,No information provided,,,,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,Failure to file First Report,2021-11-10 00:10:22.9633333,,,,200.0,,,,,,,,,,,,,,,,,,,,
VERIDYLINK LLC,LLC,Active,Ready for dissolution,1274893,2019-03-31,29 CLUBHOUSE RD,WINDSOR,06095,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:22.9633333,,,CLARKE.VERRON@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,
"QIAGEN, LLC",LLC,Active,,1274919,2022-03-31,19300 GERMANTOWN RD,GERMANTOWN,20874,MD,Foreign,2018-06-01,CA,CA,False,False,False,False,False,,2021-11-10 00:10:23.4800000,,United States,Compliancemail@cscinfo.com,,2018-06-01,"QIAGEN, LLC",United States,"2710 GATEWAY OAKS DRIVE STE 150N, SACRAMENTO, CA, 95833, United States",2710 GATEWAY OAKS DRIVE STE 150N,SACRAMENTO,CA,95833,United States,Medical Laboratories (621511),621511.0,"2710 GATEWAY OAKS DRIVE STE 150N, SACRAMENTO, CA, 95833, United States",2710 GATEWAY OAKS DRIVE STE 150N,SACRAMENTO,CA,95833,United States,,,
"REAL ESTATE LEAF, LLC",LLC,Active,Ready for dissolution,1274929,2020-03-31,18 CENTER ST 200 CONNECTICUT AVENUE,STAFFORD SPRINGS,06076,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:23.5100000,,,teslofj@gmail.com,,,,,,,,,,,,,,,,,,,,,
HWC SONO LLC,LLC,Active,Ready for dissolution,1274930,2020-03-31,62 SOUTHFIELD AVE STE 100,STAMFORD,06902,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:23.5100000,,United States,PESCOBAR@JNCMGMT.COM,,,,,,,,,,,,,,,,,,,,,
67 J. EVARISTO AVE LLC,LLC,Active,,1274951,2022-03-31,4 STORMY CIRCLE DRIVE,GREENWICH,06830,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:23.5600000,,United States,Jabdo67@optonline.net,,,,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,
71 1/2 J. EVARISTO AVE LLC,LLC,Active,,1274952,2022-03-31,4 STORMY CIRCLE DRIVE,GREENWICH,06830,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:23.5600000,,United States,Jabdo67@optonline.net,,,,,,,,,,,Lessors of Other Real Estate Property (531190),531190.0,,,,,,,,,
32 COLUMBUS AVE LLC,LLC,Active,,1274954,2022-03-31,7 STORMY CIRCLE DRIVE,GREENWICH,06830,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:23.5600000,,United States,Jabdo67@optonline.net,,,,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,
