name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,create_dt,sub_status,reason_for_administrative,began_transacting_in_ct,business_name_in_state_country,country_formation,naics_sub_code,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,total_authorized_shares,dissolution_date,date_of_organization_meeting,category_survey_email_address,billing_unit,mailing_jurisdiction_3,office_jurisdiction_3
RODRAE TRANSPORT LLC,LLC,Active,1280634,2022-03-31,30 SYRACUSE DRIVE,EAST HARTFORD,United States,06108,CT,rodrae.largie@yahoo.com,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Long-Distance, Truckload (484121)",2021-11-10 00:08:24.5233333,,,,,,,,,,,,,,,,,,,,,,,,,
NICK CONSTRUCTION LLC,LLC,Active,1280680,2019-03-31,15 DUDLEY STREET,HAMDEN,United States,06517,CT,,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:25.4466667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
LINQUEST CORPORATION,Stock,Active,1280681,2022-08-01,5140 WEST GOLDLEAF CIRCLE SUITE 400,LOS ANGELES,United States,90056,CA,CLS-CTARMSEVIDENCE@WOLTERSKLUWER.COM,Foreign,2018-08-01,DE,DE,False,False,False,False,False,Satellite Telecommunications (517410),2021-11-10 00:08:25.4466667,,,2013-11-13,LINQUEST CORPORATION,United States,517410.0,,,,,,,,,,,,,,,,,,,
"WESTBARR CONSULTING, LLC",LLC,Active,1280682,2022-03-31,5 OLD PARISH ROAD,DARIEN,United States,06820,CT,sjeraci@gmail.com,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),2021-11-10 00:08:25.4466667,,,,,,541611.0,,,,,,,,,,,,,,,,,,,
HMC REAL ESTATE SERVICES LLC,LLC,Active,1280708,2022-03-31,137 DANBURY ROAD PMB 300,NEW MILFORD,United States,06776,CT,Compliancemail@cscinfo.com,Foreign,2018-08-01,NJ,NJ,False,False,False,False,False,Nonresidential Property Managers (531312),2021-11-10 00:08:26.0700000,,,2018-08-01,HMC REAL ESTATE SERVICES LLC,United States,531312.0,"100 CHARLES EWING BLVD SUITE 160 PRINCETON SOUTH CORPORATE CTR, EWING, NJ, 08628, United States",100 CHARLES EWING BLVD SUITE 160 PRINCETON SOUTH CORPORATE CTR,EWING,NJ,08628,United States,"100 CHARLES EWING BLVD SUITE 160 PRINCETON SOUTH CORPORATE CTR, EWING, NJ, 08628, United States",100 CHARLES EWING BLVD SUITE 160 PRINCETON SOUTH CORPORATE CTR,EWING,NJ,08628,United States,,,,,,,
"JMM RENTALS, LLC",LLC,Active,1280718,2022-03-31,91 GEORGETOWN ROAD,WESTON,United States,06883,CT,mmix85@gmail.com,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:08:26.0700000,,,,,,,,,,,,,,,,,,,,,,,,,
1011 NORTH AVE LLC,LLC,Active,1280719,2019-03-31,15 CARRIAGE DR,SEYMOUR,,06483,CT,EUROAUTOCLINIC@GMAIL.COM,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.0700000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
FIRE CREEK HOLDINGS LLC,LLC,Active,1280720,2019-03-31,9 WHALING RD,DARIEN,,06820,CT,,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.0700000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
BMT SERVICES LLC,LLC,Active,1280721,2019-03-31,159 LINEN AVE,BRIDGEPORT,,06604,CT,,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.0700000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
"BQP MEDIA, LLC",LLC,Active,1280723,2019-03-31,3 MARVIN DR,WESTBROOK,,06498,CT,,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.0700000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
AUDAIR LLC,LLC,Active,1280733,2019-03-31,64 FOXWOOD RD.,STAMFORD,,06903,CT,,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.1033333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
NNN WATERFORD CT OWNER LIMITED PARTNERSHIP,Limited Partnership,Active,1280735,2022-08-01,"C/O APOLLO GLOBAL MANAGEMENT, LLC 9 WEST 57TH ST",NEW YORK,United States,10019,NY,Compliancemail@cscinfo.com,Foreign,2018-08-01,DE,DE,False,False,False,False,False,Offices of Real Estate Agents and Brokers (531210),2021-11-10 00:08:26.1033333,,,2018-06-07,NNN WATERFORD CT OWNER LP,United States,531210.0,,,,,,,"C/O APOLLO GLOBAL MANAGEMENT, LLC 9 WEST 57TH ST, NEW YORK, NY, 10019, United States","C/O APOLLO GLOBAL MANAGEMENT, LLC 9 WEST 57TH ST",NEW YORK,NY,10019,United States,,,,,,,
"BOUNCYBAND, LLC",LLC,Active,1280738,2022-03-31,16 AVALON LANE,MARLBOROUGH,United States,06447,CT,stevewampold@gmail.com,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),2021-11-10 00:08:26.1033333,,,,,,,,,,,,,,,,,,,,,,,,,
CREDIT CLINICK LLC,LLC,Active,1280739,2020-03-31,304 WEST MAIN ST SUITE 2-1034,AVON,United States,06001,CT,INFO@CREDITCLINICK.COM,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.1033333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
"SKK VILLAGE, INC.",Stock,Active,1280742,2022-08-01,95 STORRS ROAD,MANSFIELD,United States,06250,CT,5di.stephanie@gmail.com,Domestic,2018-08-01,CT,Connecticut,True,False,False,False,False,Sports and Recreation Instruction (611620),2021-11-10 00:08:26.1033333,,,,,,611620.0,,,,,,,,,,,,,1000.0,,,,,,
PICKETT DISTRICT LEATHER LLC,LLC,Active,1280745,2022-03-31,4 MANITOU ROAD,WESTPORT,United States,06880,CT,jenn@bonnieedelman.com,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,Other Warehousing and Storage (493190),2021-11-10 00:08:26.1033333,,,,,,493190.0,,,,,,,,,,,,,,,,,,,
ECF CONSTRUCTION LLC,LLC,Active,1280749,2022-03-31,27 CROWS NEST LN UNIT 5J,DANBURY,United States,06810,CT,tknuppf@gmail.com,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),2021-11-10 00:08:26.1033333,,,,,,238990.0,,,,,,,,,,,,,,,,,,,
STEPHEN ENTERPRISES LLC,LLC,Active,1280754,2019-03-31,44 CENTER STREET,PROSPECT,,06712,CT,,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.1500000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
"DR. COPPOLA'S CENTER STREET FAMILY DENTISTRY, PLLC",LLC,Active,1280755,2019-03-31,44 CENTER STREET,PROSPECT,,06712,CT,,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.1500000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
AJBN DEVELOPMENT LLC,LLC,Active,1280757,2022-03-31,160 PINE CREEK AVENUE,FAIRFIELD,United States,06824,CT,david@drtconsulting2020.com,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:08:26.1500000,,,,,,531390.0,,,,,,,,,,,,,,,,,,,
"LBP, INC.",Stock,Active,1280759,2020-08-01,No information provided,,,,,,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.1500000,First report past due,Failure to file First Report,,,,,,,,,,,,,,,,,50.0,,,,,,
LUCSTA CORP.,Stock,Active,1280763,2020-08-01,No information provided,,,,,,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.1500000,First report past due,Failure to file First Report,,,,,,,,,,,,,,,,,20000.0,,,,,,
"AARDWOLF, INC.",Stock,Active,1280770,2021-08-01,4 OLD DANBURY RD,RIDGEFIELD,United States,06877,CT,c.vick@me.com,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,Masonry Contractors (238140),2021-11-10 00:08:26.1500000,Annual report past due,,,,,238140.0,,,,,,,,,,,,,10000.0,,,,,,
FOWLER REDESIGN LLC,LLC,Dissolved,1280779,2022-03-31,118 RUSSWIN RD 118 RUSSWIN RD,NEW BRITAIN,United States,06053,CT,contact@fowlerredesign.com,Domestic,2018-08-01,CT,Connecticut,True,False,True,True,False,Interior Design Services (541410),2021-11-10 00:08:26.6333333,,,,,,541410.0,,,,,,,,,,,,,,2021-10-18T00:00:00.000,,,,,
784 BOUNDLINE PARTNERS LLC,LLC,Active,1280780,2021-03-31,784 BOUNDLINE ROAD,WOLCOTT,United States,06716,CT,fpilicy@pilicy.com,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,Other Support Activities for Road Transportation (488490),2021-11-10 00:08:26.6333333,Annual report past due,,,,,488490.0,,,,,,,,,,,,,,,,,,,
TRANCE TO CHANGE HYPNOTHERAPY LLC,LLC,Active,1280781,2022-03-31,10 NORTH MAIN STREET #214,WEST HARTFORD,United States,06107,CT,aohara.ccht@gmail.com,Domestic,2018-08-01,CT,Connecticut,True,False,False,False,False,Other Personal Care Services (812199),2021-11-10 00:08:26.6333333,,,,,,812199.0,,,,,,,,,,,,,,,,,,,
OUTSIDE INSIGHT LLC,LLC,Active,1280782,2022-03-31,26 ROANOKE AVENUE,FAIRFIELD,United States,06824,CT,Office@OutsideInsight.net,Domestic,2018-08-01,CT,Connecticut,True,False,False,False,False,Professional Organizations (813920),2021-11-10 00:08:26.6333333,,,,,,813920.0,,,,,,,,,,,,,,,,,,,
LOCALLIFENH LLC,LLC,Active,1280786,2019-03-31,15 REGENCY DR,NORTH HAVEN,,06473,CT,LOCALLIFENH@YAHOO.COM,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.6333333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
"POPULAR DEMAND BARBER SHOP CLINTON, LLC",LLC,Active,1280787,2019-03-31,235 EAST MAIN STREET,CLINTON,,06413,CT,PATDOLLHOUSE@GMAIL.COM,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.6333333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
"FAIRFIELD COUNTY STORY LAB, LLC",LLC,Active,1280788,2020-03-31,21 CHARLES ST.,WESTPORT,United States,06880,CT,INFO@FCSTORYLAB.COM,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.6333333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
HOWLERS BARBERSHOP LLC,LLC,Active,1280789,2019-03-31,86 TOMLINSON AVE.,PLAINVILLE,,06062,CT,ZACH@HOWLERSBARBERSHOP.COM,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.6333333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
WEST SIDE DELI II LLC,LLC,Active,1280790,2019-03-31,291 GREENWOOD AVENUE,BETHEL,,06801,CT,W.BEAL@PADGETTSOUTHSALEM.COM,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.6333333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
DYE PRETTY LLC,LLC,Active,1280791,2020-03-31,333 NORTH MAIN ST,WEST HARTFORD,,06117,CT,INFO@DYEPRETTYCT.COM,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.6333333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
"CB ONE, LLC",LLC,Dissolved,1280792,2019-03-31,55 MEMORIAL RD,WEST HARTFORD,,06107,CT,CARRIE.TOUCHETTE@CYCLEBAR.COM,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.6333333,,,,,,,,,,,,,,,,,,,,2021-01-05T00:00:00.000,,,,,
PRISTINE TRUCKING & SHIPPING LLC,LLC,Active,1280793,2020-03-31,38 FOOTPATH LN 38 FOOTPATH LN 38 FOOTPATH LN,EAST HARTFORD,United States,06118,CT,KAMPOFO76@GMAIL.COM,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.6333333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
SRT ADVISORS LLC.,LLC,Active,1280794,2021-03-31,4 CORTLAND PLACE,OXFORD,United States,06478,CT,ccates@srtadvisors.com,Domestic,2018-08-01,CT,Connecticut,True,False,False,False,False,All Other Personal Services (812990),2021-11-10 00:08:26.6666667,Annual report past due,,,,,812990.0,,,,,,,,,,,,,,,,,,,
"UNIVERSAL MINDFULNESS, LLC",LLC,Dissolved,1280795,2022-03-31,37 BIRCH DR,ANDOVER,United States,06232,CT,jennifer.umllc@gmail.com,Domestic,2018-08-01,CT,Connecticut,True,False,False,False,False,All Other Personal Services (812990),2021-11-10 00:08:26.6666667,,,,,,812990.0,,,,,,,,,,,,,,2021-10-26T00:00:00.000,,,,,
"BEYOND THE HEELS HOLDINGS, LLC",LLC,Active,1280796,2019-03-31,35 FOTCH STREET,STRATFORD,,06615,CT,JADEMELVIN1@GMAIL.COM,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.6666667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
CALIFORNIA FREE DATING LLC,LLC,Dissolved,1280797,2019-03-31,82 LINDALE ST,STAMFORD,,06902,CT,EDATES111@GMAIL.COM,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.6666667,,,,,,,,,,,,,,,,,,,,2021-04-23T00:00:00.000,,,,,
MUELLER MEDICAL INTERNATIONAL LLC,LLC,Active,1280798,2022-03-31,1768 STORRS ROAD,STORRS,United States,06268,CT,JDM@MUELLERMEDICAL.COM,Domestic,2018-08-01,CT,Connecticut,False,False,True,False,False,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) (541715)",2021-11-10 00:08:26.6666667,,,,,,541715.0,,,,,,,,,,,,,,,,,,,
"23 NORTH MAIN STREET, LLC",LLC,Active,1280799,2022-03-31,13 NORTH MAIN STREET,BRANFORD,United States,06405,CT,jeautogroup@gmail.com,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),2021-11-10 00:08:26.6666667,,,,,,531120.0,,,,,,,,,,,,,,,,,,,
