name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,billingcountry,naics_code,naics_sub_code,began_transacting_in_ct,business_name_in_state_country,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,total_authorized_shares,country_formation,mailing_jurisdiction_country,office_in_jurisdiction_country,category_survey_email_address,dissolution_date,billing_unit,date_of_organization_meeting
TITANIC FARMS LLC,LLC,Active,Ready for dissolution,1285451,2019-03-31,10 CHATHAM BERWICK,LEDYARD,06339,CT,CHAD1551@GMAIL.COM,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:29.1500000,,,,,,,,,,,,,,,,,,,,,,,
OMAR CONDE ADVISOR LLC,LLC,Active,Ready for dissolution,1286280,2019-03-31,113 S WATER ST  UNIT 6,GREENWICH,06830,CT,CONDEOMAR49@GMAIL.COM,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:27.3533333,United States,,,,,,,,,,,,,,,,,,,,,,
JARAMILLO PAINTING LLC,LLC,Active,Ready for dissolution,1286334,2020-03-31,6 AMHERST ST,HARTFORD,06114,CT,MODESTAT28@YAHOO.COM,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:27.4300000,,,,,,,,,,,,,,,,,,,,,,,
34 CENTER STREET LLC,LLC,Active,Annual report past due,1286344,2021-03-31,300 NETTLETON HOLLOW ROAD,WASHINGTON,06793,CT,gincan7777@aol.com,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.0266667,United States,All Other Amusement and Recreation Industries (713990),713990.0,,,,,,,,,,,,,,,,,,,,
DREAM HOME SERVICES LLC,LLC,Active,Ready for dissolution,1286345,2019-03-31,34 ALDEN PL.,MILFORD,06460,CT,,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:28.0266667,,,,,,,,,,,,,,,,,,,,,,,
BSIP PROPCO SPV LLC,LLC,Active,Ready for dissolution,1286346,2019-03-31,"BROOKFIELD PLACE, 250 VESEY ST., 15TH FL",NEW YORK,10281-1023,NY,RALPH.KLATZKIN@BROOKFIELD.CON,Foreign,2018-10-01,DE,DE,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:28.0266667,,,,2018-09-18,BSIP PROPCO SPV LLC,"251 LITTLE FALLS DR., WILMINGTON, DE, 19808,",251 LITTLE FALLS DR.,WILMINGTON,DE,19808,"251 LITTLE FALLS DR., WILMINGTON, DE, 19808,",251 LITTLE FALLS DR.,WILMINGTON,DE,19808,,,,,,,,
"REFUGE PSYCHOLOGICAL SERVICES, LLC",LLC,Active,Ready for dissolution,1286347,2019-03-31,1741 ELLINGTON RD STE 1,SOUTH WINDSOR,06074,CT,RUFUGEPSYCHSERVICES@GMAIL.COM,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:28.0266667,,,,,,,,,,,,,,,,,,,,,,,
COMRADE ENTERTAINMENT LLC,LLC,Active,Ready for dissolution,1286349,2020-03-31,267 VINE STREET,HARTFORD,06112,CT,COMRADEENT18@GMAIL.COM,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:28.0266667,United States,,,,,,,,,,,,,,,,,,,,,,
"SHORELINE GOLF CAR RENTALS AND LEASING, LLC",LLC,Active,,1286350,2022-03-31,55 NORTH HARBOR STREET,BRANFORD,06405,CT,shorelinegolfcars@yahoo.com,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.0266667,United States,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers (423860),423860.0,,,,,,,,,,,,,,,,,,,,
IRVING REFUND GROUP LLC,LLC,Active,Ready for dissolution,1286351,2019-03-31,541 ALBANY AVE,HARTFORD,06112,CT,KEISHD4@YAHOO.COM,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:28.0266667,,,,,,,,,,,,,,,,,,,,,,,
SEA RUNNER V LLC,LLC,Active,,1286352,2022-03-31,134 POPES ISLAND RD,MILFORD,06461,CT,dcrowle@dockstreetcap.com,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.0266667,United States,Other Financial Vehicles (525990),525990.0,,,,,,,,,,,,,,,,,,,,
DAPPDEVS LLC,LLC,Active,Ready for dissolution,1286357,2019-03-31,142 TEMPLE STREET,NEW HAVEN,06510,CT,TOM@CHECKMATE.DIGITAL,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:28.0266667,,,,,,,,,,,,,,,,,,,,,,,
"JJA PROPERTIES, LLC",LLC,Active,Ready for dissolution,1286358,2019-03-31,9 IDLEWILD MANOR,GREENWICH,06830,CT,JEFF.ALDRICH@ALDRICHSEARCH.COM,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:28.0266667,,,,,,,,,,,,,,,,,,,,,,,
"TECHNICAL SAFETY SERVICES, LLC.",LLC,Active,Ready for dissolution,1286359,2019-03-31,4 RESEARCH DR STE 402,SHELTON,06484,CT,,Foreign,2018-10-01,CA,CA,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:28.0266667,,,,2018-03-18,"TECHNICAL SAFETY SERVICES, LLC.","620 HEARST DR STE 402, BERKELEY, CA, 94710,",620 HEARST DR STE 402,BERKELEY,CA,94710,"620 HEARST DR STE 402, BERKELEY, CA, 94710,",620 HEARST DR STE 402,BERKELEY,CA,94710,,,,,,,,
"25 CHATSWORTH ROAD, LLC",LLC,Active,,1286361,2022-03-31,4 KATHERINE LANE,SIMSBURY,06070,CT,dwbabush@comcast.net,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.0700000,United States,Residential Property Managers (531311),531311.0,,,,,,,,,,,,,,,,,,,,
DMK HOMES INC,Stock,Active,Annual report past due,1286363,2021-10-01,336R SOUTH WASHINGTON ST,PLAINVILLE,06062,CT,dking@dmkhomes.co,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.0700000,United States,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,10000.0,,,,,,,
"AGI REAL ESTATE, LLC",LLC,Active,,1286365,2022-03-31,9 TURNBERRY LANE,SANDY HOOK,06482,CT,gene.lee@seventhreeholdings.com,Foreign,2018-10-01,DE,DE,False,False,False,False,False,,2021-11-10 00:08:28.0700000,United States,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,2018-10-02,"AGI REAL ESTATE, LLC","251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,,United States,United States,United States,,,,
GORGONE LAW LLC,LLC,Active,Ready for dissolution,1286366,2020-03-31,123 HUNT ROAD,COLUMBIA,06237,CT,DGORGONELAW@GMAIL.COM,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:28.0700000,United States,,,,,,,,,,,,,,,,,,,,,,
TEMPLE STREET EQUITIES LLC,LLC,Active,Ready for dissolution,1286368,2019-03-31,142 TEMPLE STREET,NEW HAVEN,06510,CT,DNICOTRA@OLYMPIALLC.COM,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:28.0700000,,,,,,,,,,,,,,,,,,,,,,,
"INTELISENT, LLC",LLC,Active,,1286369,2022-03-31,240 HARTFORD AVENUE,NEWINGTON,06111,CT,Mneddermann@Data-Mail.com,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.0700000,United States,Marketing Consulting Services (541613),541613.0,,,,,,,,,,,,,,,,,,,,
"COMPU-DATA SERVICES, LLC",LLC,Active,,1286371,2022-03-31,240 HARTFORD AVENUE,NEWINGTON,06111,CT,Mneddermann@Data-Mail.com,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.0700000,United States,Support Activities for Printing (323120),323120.0,,,,,,,,,,,,,,,,,,,,
"40 JUDITH LANE, L.L.C.",LLC,Active,,1286372,2022-03-31,14 PARTRIDGE LANE,BRANFORD,06405,CT,johnvigs@gmail.com,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.0700000,United States,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,,,,,,,,,,,,
MENTORINGFORU INC,Non-Stock,Active,Ready for dissolution,1286373,2019-10-01,65 FLORENCE AVE,MILFORD,06460,CT,dbmentaw05@gmail.com,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:28.0700000,,,,,,,,,,,,,,,,,,,,,,,
"PARADIGM ENDODONTICS, LLC",LLC,Active,,1286374,2022-03-31,57 NORTH STREET UNIT 318,DANBURY,06811,CT,paradigmendo@gmail.com,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.0700000,United States,Offices of Dentists (621210),,,,,,,,,,,,,,,,,,,,,
IGNACIO AUCEL LLC,LLC,Active,Ready for dissolution,1286375,2019-03-31,25 IRVING AVE,STAMFORD,06902,CT,ANTHONY@DURANGOAGENCY.COM,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:28.0700000,,,,,,,,,,,,,,,,,,,,,,,
"RAMADAN REAL ESTATE, LLC",LLC,Active,,1286377,2022-03-31,57 NORTH STREET UNIT 318,DANBURY,06811,CT,paradigmendo@gmail.com,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.0700000,United States,Offices of Dentists (621210),621210.0,,,,,,,,,,,,,,,,,,,,
ROCKLAND FARM LLC,LLC,Active,Ready for dissolution,1286379,2019-03-31,50 SOUTH ROAD,BOLTON,06043,CT,SSEIDL@113LAW.COM,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:28.0700000,,,,,,,,,,,,,,,,,,,,,,,
"RADIOLOGY MOM, LLC",LLC,Active,,1286382,2022-03-31,35 DEACONS WAY,NEW CANAAN,06840,CT,jennifer.kim@vrad.com,Domestic,2018-10-01,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:08:28.0700000,United States,Offices of Physicians (except Mental Health Specialists) (621111),621111.0,,,,,,,,,,,,,,,,,,,,
