name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,began_transacting_in_ct,billingcountry,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,naics_code,naics_sub_code,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,mailing_jurisdiction_country,total_authorized_shares,category_survey_email_address,billing_unit,date_of_organization_meeting,mailing_address
PUNCTUAL LLC,LLC,Active,Ready for dissolution,1289417,2019-03-31,124 COLONIAL RD,STAMFORD,06906,CT,JRORION@HOTMAIL.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:24.6500000,,,,,,,,,,,,,,,,,,,,,,,,
UNIKKIM LLC,LLC,Active,Ready for dissolution,1289418,2019-03-31,58 CENTRAL AVE,EAST HARTFORD,06108,CT,UNIKKIM@ICLOUD.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:24.6500000,,,,,,,,,,,,,,,,,,,,,,,,
SPORTS EVENT MARKETING LLC,LLC,Active,,1289419,2022-03-31,7602 BLOOMFIELD DRIVE,AUSTIN,78745,TX,jessica@healthandfitnessactivations.com,Foreign,2018-11-01,TX,TX,False,False,False,False,False,,2021-11-10 00:12:24.6500000,2018-10-28,United States,SPORTS EVENT MARKETING LLC,United States,"7602 BLOOMFIELD DRIVE, AUSTIN, TX, 78745,",7602 BLOOMFIELD DRIVE,AUSTIN,TX,78745,Other Services Related to Advertising (541890),541890.0,"7602 BLOOMFIELD DRIVE, AUSTIN, TX, 78745, United States",7602 BLOOMFIELD DRIVE,AUSTIN,TX,78745,United States,,,,,,,
"STEVE'S DELIVERY SERVICE, LLC",LLC,Active,Ready for dissolution,1289421,2019-03-31,7 AZALEA COURT ---,MELROSE,06016,CT,ATAX1121@AOL.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.1633333,,,,,,,,,,,,,,,,,,,,,,,,
TECH-ONE L.L.C.,LLC,Dissolved,,1289426,2022-03-31,226 ELLSWORTH AVE #A3,NEW HAVEN,06511,CT,GENE77.AYALA@GMAIL.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:22.1633333,,United States,,,,,,,,All Other Personal Services (812990),812990.0,,,,,,,2021-04-20T00:00:00.000,,,,,,
"ELTENI, LLC",LLC,Active,,1289427,2022-03-31,2417 JERICHO TPKE #294,GARDEN CITY PARK,11040,NY,anand@elteni.com,Foreign,2018-11-01,NY,NY,False,False,False,False,False,,2021-11-10 00:12:22.1633333,2018-11-01,United States,"ELTENI, LLC",United States,"90 STATE ST #40 #40, ALBANY, NY, 12207,",90 STATE ST #40 #40,ALBANY,NY,12207,Other Scientific and Technical Consulting Services (541690),541690.0,"90 STATE ST #40 #40, ALBANY, NY, 12207, United States",90 STATE ST #40 #40,ALBANY,NY,12207,United States,,,,,,,
"NATIVE AMERICAN CONSULTANTS, LLC",LLC,Active,Ready for dissolution,1289437,2019-03-31,871 SHEWVILLE RD,LEDYARD,06339,CT,,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.1633333,,,,,,,,,,,,,,,,,,,,,,,,
"DAS ACQUISITION COMPANY, LLC",LLC,Active,,1289440,2022-03-31,12140 WOODCREST EXECUTIVE DR. SUITE 150,SAINT LOUIS,63141,MO,jdenny@dasacquisition.com,Foreign,2018-11-01,MO,MO,False,False,False,False,False,,2021-11-10 00:12:22.1633333,2018-11-05,United States,"DAS ACQUISITION COMPANY, LLC",United States,"12140 WOODCREST EXECUTIVE DR. SUITE 150, SAINT LOUIS, MO, 63141,",12140 WOODCREST EXECUTIVE DR. SUITE 150,SAINT LOUIS,MO,63141,Real Estate Credit (522292),522292.0,"12140 WOODCREST EXECUTIVE DR. SUITE 150, SAINT LOUIS, MO, 63141, United States",12140 WOODCREST EXECUTIVE DR. SUITE 150,SAINT LOUIS,MO,63141,United States,,,,,,,
BOCCHINO FAMILY LLC,LLC,Active,,1289441,2022-03-31,14 PUMPKIN LANE,NORWALK,06851,CT,thmsfam@optonline.net,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:22.1633333,,United States,,,,,,,,Other Personal Care Services (812199),812199.0,,,,,,,,,,,,,
ACTION COMPUTER SYSTEMS LLC,LLC,Active,,1289442,2022-03-31,2001 PALMER AVENUE SUITE 104,LARCHMONT,10538,NY,johnrudy4286@gmail.com,Foreign,2018-11-01,NY,NY,False,False,False,False,False,,2021-11-10 00:12:22.1933333,2018-11-02,United States,ACTION COMPUTER SYSTEMS LLC,United States,"2001 PALMER AVENUE SUITE 104, LARCHMONT, NY, 10538,",2001 PALMER AVENUE SUITE 104,LARCHMONT,NY,10538,"Data Processing, Hosting, and Related Services (518210)",518210.0,"2001 PALMER AVENUE SUITE 104, LARCHMONT, NY, 10538, United States",2001 PALMER AVENUE SUITE 104,LARCHMONT,NY,10538,United States,,,,,,,
