name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,billingcountry,naics_code,naics_sub_code,category_survey_email_address,total_authorized_shares,dissolution_date,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,billing_unit,date_of_organization_meeting,mailing_jurisdiction_3,office_jurisdiction_3
DK PARTNERS LLC,LLC,Active,Ready for dissolution,1291923,2019-03-31,100 COMMONS PARK N APT 208,STAMFORD,06902,CT,JOE_KWASNIEWSKI@YAHOO.COM,Domestic,2018-12-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:28.3833333,,,,,,,,,,,,,,,,,,,,,,,,,
CAJ INNOVATIONS LLC,LLC,Active,Ready for dissolution,1291979,2019-03-31,50 ADMIRAL STREET,WEST HAVEN,06516,CT,CAJINNOVATIONS@OUTLOOK.COM,Domestic,2018-12-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:25.2400000,,,,,,,,,,,,,,,,,,,,,,,,,
CALLAHAN & WESTMORELAND LLC,LLC,Active,,1292035,2022-03-31,96 HUBBARD AVENUE,STAMFORD,06905,CT,david@callahan-westmoreland.com,Domestic,2018-12-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:25.9133333,United States,Human Resources Consulting Services (541612),541612.0,,,,,,,,,,,,,,,,,,,,,,
10X CORP.,Stock,Active,,1292037,2022-12-01,2874 MAIN STREET #2A,STRATFORD,06614,CT,ray.martin.f3@gmail.com,Domestic,2018-12-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:25.9133333,United States,Other Activities Related to Real Estate (531390),,jdrapp@drappjaumann.com,100000.0,,,,,,,,,,,,,,,,,,,,
BEE'S REMODELING & CONTRACTING LLP,LLP,Active,Annual report past due,1292038,2020-12-01,13 CRANBERRY LN,BURLINGTON,06013,CT,BRYAN.BIELEFELDT@GMAIL.COM,Domestic,2018-12-01,CT,Connecticut,True,True,False,True,False,,2021-11-10 00:12:25.9133333,,Residential Remodelers (236118),236118.0,,,,,,,,,,,,,,,,,,,,,,
ZAUBER WOODWORKS LLC,LLC,Active,Ready for dissolution,1292041,2019-03-31,11 PRECISION ROAD,DANBURY,06810,CT,CATIA@MIRANTEAGENCY.COM,Domestic,2018-12-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:25.9133333,,,,,,,,,,,,,,,,,,,,,,,,,
ORTHODONTIC SUPPLIES QUALITAT LLC,LLC,Dissolved,,1292042,2019-03-31,966 EAST MAIN ST 2 FLOOR 966 EAST MAIN ST 2 FLOOR,SATMFORD,06902,CT,SERVIEXPRESS2008@HOTMAIL.COM,Domestic,2018-12-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:25.9600000,,,,,,2021-03-31T00:00:00.000,,,,,,,,,,,,,,,,,,,
0NE GROUP LLC,LLC,Active,Ready for dissolution,1292043,2019-03-31,500 SUMMER STREET 201,STAMFORD,06901,CT,I@XER0GROUP.COM,Domestic,2018-12-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:25.9600000,,,,,,,,,,,,,,,,,,,,,,,,,
SECRET PAGES BRAZILIAN JIU-JITSU LLC,LLC,Active,,1292044,2022-03-31,45 INDUSTRIAL PARK ROAD WEST UNIT K,TOLLAND,06084,CT,Secretpagesbjj@gmail.com,Domestic,2018-12-01,CT,Connecticut,False,True,False,False,False,,2021-11-10 00:12:25.9600000,United States,All Other Personal Services (812990),812990.0,,,,,,,,,,,,,,,,,,,,,,
THE MASON JAR EXCHANGE LLC,LLC,Active,,1292045,2022-03-31,663 WOODWARD AVE,NEW HAVEN,06512,CT,themasonjarexchange@gmail.com,Domestic,2018-12-01,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:12:25.9600000,United States,Caterers (722320),722320.0,,,,,,,,,,,,,,,,,,,,,,
VINCENT ISLAND STAMFORD LLC,LLC,Active,,1292047,2022-03-31,29 CLAREMONT ST,STAMFORD,06902,CT,evan@neomantra.net,Domestic,2018-12-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:25.9600000,United States,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,,,,,,,,,,
INCONTROL FITNESS LLC,LLC,Active,,1292048,2022-03-31,13 WICKETT ST,PINE MEADOW,06061,CT,lisa@incontrolfitness.com,Domestic,2018-12-01,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:12:25.9600000,United States,All Other Personal Services (812990),812990.0,,,,,,,,,,,,,,,,,,,,,,
"ENERSYS CONTROLS, LLC.",LLC,Active,,1292050,2022-03-31,5 HARLAN PLACE,EAST HAMPTON,06424,CT,enersysctrl@gmail.com,Domestic,2018-12-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:25.9600000,United States,Other Scientific and Technical Consulting Services (541690),541690.0,,,,,,,,,,,,,,,,,,,,,,
LEAN LIFE LLC,LLC,Active,,1292051,2022-03-31,106 DOVER ST,STRATFORD,06615,CT,trunks1742@aol.com,Domestic,2018-12-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:25.9600000,United States,Fitness and Recreational Sports Centers (713940),713940.0,,,,,,,,,,,,,,,,,,,,,,
TAKE 6 ENTERPRISES LLC,LLC,Active,Ready for dissolution,1292052,2019-03-31,29 EDGEWOOD ROAD,PORTLAND,06480,CT,TAKE6ENTERPRISES@OUTLOOK.COM,Domestic,2018-12-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:25.9600000,,,,,,,,,,,,,,,,,,,,,,,,,
LORACENNA PROPERTIES 14 LLC,LLC,Active,,1292053,2022-03-31,808 HOLLAND CT,NEWPORT NEWS,23608,VA,loracenna.properties@aol.com,Domestic,2018-12-01,VA,Connecticut,False,False,False,False,False,,2021-11-10 00:12:25.9600000,United States,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,,,,,,,,,,
ON STONE HOME IMPROVEMENT LLC,LLC,Active,Ready for dissolution,1291916,2019-03-31,30-2 COACH CIRCLE,NAUGATUCK,06770,CT,ONSTONEHOME@GMAIL.COM,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:28.3833333,,,,,,,,,,,,,,,,,,,,,,,,,
"LONGEVITY HEALTH PLAN OF CONNECTICUT, INC.",Insurance Stock,Active,,1291934,2019-12-03,NONE,X,,CT,,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:28.9766667,,,,,10000.0,,,,,,,,,,,,,,,,,,,,
SNBC REAL ESTATE LLC,LLC,Active,Ready for dissolution,1291936,2020-03-31,17 MACK STREET,NORWALK,06854,CT,JOHNBOVE@BOVELAWCT.COM,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:28.9766667,United States,,,,,,,,,,,,,,,,,,,,,,,,
