name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,sub_status,reason_for_administrative,total_authorized_shares,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,date_of_organization_meeting,billing_unit,mailing_jurisdiction_3,office_jurisdiction_3,category_survey_email_address
BG INDUSTRIAL SURPLUS LLC,LLC,Active,1307488,2022-03-31,896 MAIN STREET,BRANFORD,United States,06405,CT,kgardner@thebranfordgroup.com,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,Industrial Machinery and Equipment Merchant Wholesalers (423830),423830.0,2021-11-10 00:12:32.2733333,,,,,,,,,,,,,,,,,,,,,,,,
RMR CT LLC,LLC,Active,1307972,2022-03-31,190 DWIGHT STREET,WATERBURY,United States,06704,CT,dwalsh@fercolaw.com,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),,2021-11-10 00:12:33.6966667,,,,,,,,,,,,,,,,,,,,,,,,
AJ INVESTMENTS CONNECTICUT LLC,LLC,Active,1307981,2022-03-31,160 PINE CREEK AVENUE,FAIRFIELD,United States,06824,CT,david@drtconsulting2020.com,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:33.7266667,,,,,,,,,,,,,,,,,,,,,,,,
PECK STREET LLC,LLC,Active,1307987,2020-03-31,"C/O NEW REACH, INC. 153 EAST STREET",NEW HAVEN,,06511,CT,,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:33.7266667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
"CRANBURY NAIL SPA, INC.",Stock,Active,1307997,2021-05-01,No information provided,,,,,,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:34.2733333,First report past due,,200.0,,,,,,,,,,,,,,,,,,,,,
DARTMOUTH HOLDINGS CORP.,Stock,Active,1308002,2020-05-01,34 DARTMOUTH LANE,DANBURY,,06810,CT,bernardbjb@aol.com,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:34.2733333,Ready for dissolution,Failure to file Annual Report,200.0,,,,,,,,,,,,,,,,,,,,,
"ATLAS AIR, INC.",Stock,Active,1308003,2022-05-01,2000 WESTCHESTER AVENUE,PURCHASE,United States,10577,NY,Scott.Roper@atlasair.com,Foreign,2019-05-01,DE,DE,False,False,False,False,False,Nonscheduled Chartered Freight Air Transportation (481212),481212.0,2021-11-10 00:12:34.2733333,,,,2018-06-01,"ATLAS AIR, INC.",United States,,,,,,,,,,,,,,,,,,
IRON AGENT TEAM LLC,LLC,Active,1308012,2020-03-31,"29 SOUTH MAIN STREET, B-4",WEST HARTFORD,,06107,CT,JOSHBROWN@KW.COM,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:34.2733333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
70 MIDWOOD LLC,LLC,Active,1308013,2022-03-31,82 BIRCH LANE,GREENWICH,United States,06830,CT,doug.lake@gmail.com,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:34.2733333,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC NORTH LLC,LLC,Active,1308014,2022-03-31,10 MEADOW LANE,GREENWICH,United States,06831,CT,blvs67@gmail.com,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,Offices of Other Holding Companies (551112),551112.0,2021-11-10 00:12:34.2900000,,,,,,,,,,,,,,,,,,,,,,,,
INDIAN RIVER RD LLC,LLC,Active,1308017,2020-03-31,375 MOUNTAIN GROVE ST.,BRIDGEPORT,,06605,CT,SCOTT@INSTALLATIONCO.COM,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:34.3200000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
"MATKOV CLARK, LLC",LLC,Active,1308018,2021-03-31,543 PROSPECT AVE.,WEST HARTFORD,United States,06105,CT,jclark@matkovclark.com,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,Offices of Lawyers (541110),541110.0,2021-11-10 00:12:34.3200000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,
MINCHALA ROOFING AND CONSTRUCTION LLC,LLC,Active,1308019,2021-03-31,6 WILSON ST APT 6,DANBURY,United States,06810,CT,MMICHALA@GMAIL.COM,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,Roofing Contractors (238160),238160.0,2021-11-10 00:12:34.3200000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,
STELLA SUPER CLEANERS LLC,LLC,Active,1308020,2020-03-31,9 DOROTHY ST APT C2,HARTFORD,United States,06106,CT,EDAFIESCHI@GMAIL.COM,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:34.3200000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
MIKAYLA SUTRA LLC,LLC,Active,1308021,2020-03-31,200 MIDWAY ROAD,CRANSTON,United States,02920,RI,CSCHWARTZ444@GMAIL.COM,Domestic,2019-05-01,RI,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:34.3200000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
JAH MEDIA LLC,LLC,Active,1308022,2020-03-31,31 TOBEY RD,BLOOMFIELD,United States,06112,CT,JAHMANIA23@GMAIL.COM,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:34.3200000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
HC FINANCE USA LLC,LLC,Withdrawn,1308029,2022-03-31,HCUS - ATTENTION COMPLIANCE DEPARTMENT 6240 SPRINT PARKWAY SUITE 300,OVERLAND PARK,United States,66211,KS,Compliancemail@cscinfo.com,Foreign,2019-05-01,DE,DE,False,False,False,False,False,Consumer Lending (522291),522291.0,2021-11-10 00:12:34.3200000,,,,2019-05-01,HC FINANCE USA LLC,United States,,,,,,,,,,,,,,,,,,
"COMMUNITY ASSOCIATION INSURANCE SOLUTIONS, LLC",LLC,Active,1308031,2022-03-31,5045 ROBERT J. MATHEWS PARKWAY SUITE 100,EL DORADO HILLS,United States,95762,CA,Compliancemail@cscinfo.com,Foreign,2019-05-01,CA,CA,False,False,False,False,False,Insurance Agencies and Brokerages (524210),524210.0,2021-11-10 00:12:34.3200000,,,,2008-08-01,"COMMUNITY ASSOCIATION INSURANCE SOLUTIONS, LLC",United States,"5045 ROBERT J. MATHEWS PARKWAY SUITE 100, EL DORADO HILLS, CA, 95762, United States",5045 ROBERT J. MATHEWS PARKWAY SUITE 100,EL DORADO HILLS,CA,95762,United States,"5045 ROBERT J. MATHEWS PARKWAY SUITE 100, EL DORADO HILLS, CA, 95762, United States",5045 ROBERT J. MATHEWS PARKWAY SUITE 100,EL DORADO HILLS,CA,95762,United States,,,,,,
"SILVER EAGLE PETROLEUM, LLC",LLC,Active,1308037,2022-03-31,249 SILVER LANE,EAST HARTFORD,United States,06118,CT,eagle519@snet.net,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,Fuel Dealers (454310),,2021-11-10 00:12:34.3666667,,,,,,,,,,,,,,,,,,,,,,,,
MANDIE CRETO PERSONAL TRAINING LLC,LLC,Active,1308038,2022-03-31,42 LAWRENCE AVENUE,DANBURY,United States,06810,CT,mandiecreto@gmail.com,Domestic,2019-05-01,CT,Connecticut,True,False,False,False,False,Other Personal Care Services (812199),812199.0,2021-11-10 00:12:34.3666667,,,,,,,,,,,,,,,,,,,,,,,,
FULLER HITTING LLC,LLC,Active,1308039,2021-03-31,22 SPRING ST. APT B,DEEP RIVER,United States,06417,CT,ct-reports@statefilings.in,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,Sports Teams and Clubs (711211),711211.0,2021-11-10 00:12:34.3666667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,
JCL DRYWALL LLC,LLC,Active,1308040,2021-03-31,162 COE AV. B1,EAST HAVEN,United States,06512,CT,Jclrejomsvlo666@gmail.com,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,Drywall and Insulation Contractors (238310),238310.0,2021-11-10 00:12:34.3666667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,
PROLIFIC LEAF LLC,LLC,Dissolved,1308041,2021-03-31,43 FREEMAN ST,BRIDGEPORT,United States,06607,CT,prolificleaf@gmail.com,Domestic,2019-05-01,CT,Connecticut,True,False,True,False,False,All Other General Merchandise Stores (452319),452319.0,2021-11-10 00:12:34.3666667,,,,,,,,,,,,,,,,,,,2021-04-05T00:00:00.000,,,,,
K MORA ENTERPRISES LLC,LLC,Active,1308042,2022-03-31,248 LAWLOR STREET APT 10,NEW BRITAIN,United States,06051,CT,1alwiliams@gmail.com,Domestic,2019-05-01,CT,Connecticut,False,False,True,False,False,"General Freight Trucking, Long-Distance, Less Than Truckload (484122)",484122.0,2021-11-10 00:12:34.3666667,,,,,,,,,,,,,,,,,,,,,,,,
JOEL BUENO SERVICES LLC,LLC,Active,1308043,2020-03-31,406 MAIN ST,DANBURY,United States,06810,CT,MILDREDP2003@HOTMAIL.COM,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:34.3666667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
TINY STEPS HOLDINGS LLC,LLC,Active,1308044,2020-03-31,480 RADMERE ROAD APT. B,CHESHIRE,United States,06410,CT,AARON@HAMILTONCONNECTION.COM,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:34.3666667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
