name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,create_dt,billingcountry,reason_for_administrative,total_authorized_shares,sub_status,category_survey_email_address,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,naics_sub_code,dissolution_date,billing_unit,date_of_organization_meeting
"RES PROPERTIES, LLC",LLC,Active,1316711,2022-03-31,162 MAYBROOK ROAD,WATERBURY,06708,CT,ASTRORON911@GMAIL.COM,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,"Trusts, Estates, and Agency Accounts (525920)",2021-11-10 00:12:32.9600000,,,,,,,,,,,,,,,,,,,,,,,,
MECHANICAL HEATING AND AIR CONDITIONING INC,Stock,Active,1316939,2022-08-01,192 DIXWELL AVE STE 102,NEW HAVEN,06511,CT,BOOKERW@MECHANICALHEATINGAC.COM,Domestic,2019-08-01,CT,Connecticut,False,False,True,False,False,"Plumbing, Heating, and Air-Conditioning Contractors (238220)",2021-11-10 00:12:31.8200000,United States,Failure to file Annual Report,10000.0,,,,,,,,,,,,,,,,,,,,,
GEORGE DRYWALL LLC,LLC,Active,1316951,2020-03-31,504 FERRY ST 3RD FL,NEW HAVEN,06513,CT,,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:31.8200000,,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
"WETHERSFIELD FLAG FOOTBALL, INC.",Non-Stock,Active,1316956,2021-08-01,548 Ridge Road,WETHERSFIELD,06109,CT,simmons20972@gmail.com,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,All Other Amusement and Recreation Industries (713990),2021-11-10 00:12:31.8200000,United States,,,Annual report due,sbf@franklinlaw.net,,,,,,,,,,,,,,,,,,,
AJ ELECTRC SERVICES LLC,LLC,Active,1316964,2022-03-31,22 RAPALUS STREET,INDIAN ORCHARD,01151,MA,AJELECTRIC2000@YAHOO.COM,Foreign,2019-08-01,MA,MA,False,False,False,False,False,Electrical Contractors and Other Wiring Installation Contractors (238210),2021-11-10 00:12:32.2900000,United States,,,,,2019-07-24,AJ ELECTRIC LLC,United States,"22 RAPALUS STREET, INDIAN ORCHARD, MA, 01151, United States",22 RAPALUS STREET,INDIAN ORCHARD,MA,01151,United States,"22 RAPALUS STREET, INDIAN ORCHARD, MA, 01151, United States",22 RAPALUS STREET,INDIAN ORCHARD,MA,1151.0,United States,,,,
ULTIMATE SUNDAE LLC,LLC,Active,1316973,2022-03-31,9 CASE RD,BARKHAMSTED,06063,CT,dawn@coreconsultingsolutions.com,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,Mobile Food Services (722330),2021-11-10 00:12:32.3066667,United States,,,,,,,,,,,,,,,,,,,,722330.0,,,
WEST CENTER REBUILT LLC,LLC,Active,1316974,2020-03-31,16 CORNERSTONE CT,PLANTSVILLE,06479,CT,MIKE@FA-CPAS.COM,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:32.3066667,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
PLAZA REBUILT LLC,LLC,Active,1316975,2020-03-31,16 CORNERSTONE CT,PLANTSVILLE,06479,CT,MIKE@FA-CPAS.COM,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:32.3066667,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
SALA ELECTRIC LLC,LLC,Active,1316976,2022-03-31,98 CURTIS RD,MIDDLEBURY,06762,CT,salaelectricllc@gmail.com,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,Electrical Contractors and Other Wiring Installation Contractors (238210),2021-11-10 00:12:32.3066667,United States,,,,,,,,,,,,,,,,,,,,238210.0,,,
ASPIRE HEALTH & FITNESS LLC,LLC,Active,1316977,2020-03-31,72 LEDYARD STREET,NEW LONDON,06320,CT,STACEYKONAKOWITZ@YAHOO.COM,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:32.3066667,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
SHAWNYE CHEFS LLC,LLC,Active,1316978,2022-03-31,2389 MAIN ST. STE 100,GLASTONBURY,06033,CT,ne@northwestregisteredagent.com,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,Internet Publishing and Broadcasting and Web Search Portals (519130),2021-11-10 00:12:32.3200000,United States,,,,,,,,,,,,,,,,,,,,519130.0,,,
THE WINDSOR LOCKS GROUP LLC,LLC,Active,1316979,2022-03-31,11 WHITON STREET 2ND FLOOR,WINDSOR LOCKS,06096,CT,eastern@northwestregisteredagent.com,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:12:32.3366667,United States,,,,,,,,,,,,,,,,,,,,531390.0,,,
"WYS, LLC",LLC,Active,1316980,2020-03-31,2389 MAIN ST. STE 100,GLASTONBURY,06033,CT,NE@NORTHWESTREGISTEREDAGENT.COM,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:32.3366667,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
"CSA CHESHIRE SURGERY CENTER REALTY, LLC",LLC,Active,1316981,2022-03-31,100 AVON MEADOW LANE,AVON,06001,CT,katiecistulli@cbfs.us,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),2021-11-10 00:12:32.3366667,United States,,,,,,,,,,,,,,,,,,,,531120.0,,,
TIESGUYZ LLC,LLC,Active,1316994,2020-03-31,23 KAYTONNE AVE,WATERBURY,06710,CT,EFILE1234@INCFILE.COM,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:32.3366667,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
GATEKEEPER TECHNOLOGY LLC,LLC,Active,1316995,2022-03-31,42 IRON GATE RD.,TRUMBULL,06611,CT,Gatekeepertechnologyllc@gmail.com,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,Computer Systems Design Services (541512),2021-11-10 00:12:32.3366667,United States,,,,,,,,,,,,,,,,,,,,541512.0,,,
"KENT STATION SQUARE ASSOCIATION, INC.",Non-Stock,Active,1317010,2020-08-01,C/O JOHN MEERGERGEN FERGUSON COHEN LLP 25 FIELD POINT ROAD,GREENWICH,06830,CT,,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:32.3666667,,Failure to file Annual Report,,Annual report past due,,,,,,,,,,,,,,,,,,,,
DMS APEX HOLDINGS LLC,LLC,Active,1317011,2021-03-31,761 COATES AVE. STE. 30,HOLBROOK,11741,NY,joe.monitto@skipbarber.com,Foreign,2019-08-01,DE,DE,False,False,False,False,False,Automobile Driving Schools (611692),2021-11-10 00:12:32.3666667,United States,,,Annual report past due,,2019-08-01,DMS APEX HOLDINGS LLC,United States,"401 FEDERAL STREET SUITE 4, DOVER, DE, 19901,",401 FEDERAL STREET SUITE 4,DOVER,DE,19901,,"401 FEDERAL STREET SUITE 4, DOVER, DE, 19901, United States",401 FEDERAL STREET SUITE 4,DOVER,DE,19901.0,United States,611692.0,,,
"88 ACRES FOODS, INC.",Stock,Active,1317012,2022-08-01,65 Shawmut Road,Canton,02021,MA,jabreu@vcorpservices.com,Foreign,2019-08-01,DE,DE,False,False,False,False,False,Food Service Contractors (722310),2021-11-10 00:12:32.3666667,United States,,,,,2019-07-29,"88 ACRES FOODS, INC.",United States,,,,,,,,,,,,,722310.0,,,
"CHASE COLLEGIATE SCHOOL PARENTS' ASSOCIATION, INC.",Non-Stock,Active,1317013,2021-08-01,565 CHASE PARKWAY,WATERBURY,06708,CT,BRITTANY@PARENTBOOSTER.ORG,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,"Colleges, Universities, and Professional Schools (611310)",2021-11-10 00:12:32.9600000,United States,,,Annual report past due,,,,,,,,,,,,,,,,,611310.0,,,
"C & G DYERSVILLE, LLC",LLC,Active,1317014,2022-03-31,1395 JOHN FITCH BOULEVARD,SOUTH WINDSOR,06074,CT,dlafiura@esapco.com,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),2021-11-10 00:12:32.9600000,United States,,,,,,,,,,,,,,,,,,,,531120.0,,,
"VOLTXON, INC.",Stock,Active,1317016,2020-08-01,2H ZYGMUNT DRIVE,STORRS,06268,CT,islam.mosa@uconn.edu,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:32.9600000,United States,Failure to file Annual Report,20000.0,Annual report past due,,,,,,,,,,,,,,,,,,,,
