name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,naics_code,naics_sub_code,total_authorized_shares,began_transacting_in_ct,business_name_in_state_country,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,country_formation,dissolution_date,billing_unit,mailing_jurisdiction_country,office_in_jurisdiction_country,date_of_organization_meeting,category_survey_email_address
"WOOF WELLNESS & SPA, LLC",LLC,Active,Ready for dissolution,1320058,2020-03-31,174 W. MAIN STREET #7,NIANTIC,United States,06357,CT,MEGANDAVISLEE@GMAIL.COM,Domestic,2019-09-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:26.8700000,,,,,,,,,,,,,,,,,,,,,,
ALL AMERICAN FENCE CT LIMITED LIABILITY COMPANY,LLC,Active,Ready for dissolution,1320077,2020-03-31,"49 SILVER STREET, APT. D",BRANFORD,United States,06405,CT,ALLAMERICANFENCECT@GMAIL.COM,Domestic,2019-09-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:26.9033333,,,,,,,,,,,,,,,,,,,,,,
LR CARRIER SERVICES LLC,LLC,Active,Ready for dissolution,1320079,2020-03-31,"15 MOUNT PLEASANT ST., FL. 2",SHELTON,United States,06484,CT,LRCARRIERSERVICES@OUTLOOK.COM,Domestic,2019-09-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:26.9033333,,,,,,,,,,,,,,,,,,,,,,
ORDER IN THE QUARTZ LLC,LLC,Active,Ready for dissolution,1320081,2020-03-31,1 BISHOP CIR,SANDY HOOK,United States,06482,CT,JUDIGALLO1@GMAIL.COM,Domestic,2019-09-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:26.9033333,,,,,,,,,,,,,,,,,,,,,,
ARMS APPRAISALS LLC,LLC,Active,,1320082,2022-03-31,474 B COMMANCHE LA,STRATFORD,United States,06614,CT,armsapps@gmail.com,Domestic,2019-09-02,CT,Connecticut,False,True,False,False,False,,2021-11-10 00:10:26.9033333,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,,,,,,,,,,,,,,,,,,,,
"KOKUIN, LLC",LLC,Active,,1320084,2022-03-31,2389 MAIN ST. STE 100,GLASTONBURY,United States,06033,CT,sj@thekokuin.com,Domestic,2019-09-02,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:26.9033333,Curtain and Linen Mills (314120),314120.0,,,,,,,,,,,,,,,,,,,,
THE COVETED STONE LLC,LLC,Active,,1320085,2022-03-31,26 GUIEL PLACE 26-1,MERIDEN,United States,06450,CT,Thecovetedstonellc@gmail.com,Domestic,2019-09-02,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:10:26.9033333,Electronic Shopping and Mail-Order Houses (454110),454110.0,,,,,,,,,,,,,,,,,,,,
JOHN 3.16.21 TRUCKING LLC,LLC,Active,,1320086,2022-03-31,63 ARCH ST 2FL,MERIDEN,United States,06450,CT,juanaquino37@yahoo.com,Domestic,2019-09-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:26.9033333,"General Freight Trucking, Long-Distance, Truckload (484121)",,,,,,,,,,,,,,,,,,,,,
"WORTHPRIME TAX, LEGAL AND COMPLIANCE SERVICES, INC.",Stock,Active,,1320087,2022-03-16,2389 MAIN ST STE 100,GLASTONBURY,United States,06033,CT,HELPDESK@WORTHPRIMETAX.COM,Domestic,2019-09-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:26.9033333,Tax Preparation Services (541213),541213.0,100.0,,,,,,,,,,,,,,,,,,,
"LJJD CAPITAL ASSOCIATES, LLC.",LLC,Active,,1320088,2022-03-31,11 LOIS DRIVE,WOODBRIDGE,United States,06525,CT,jessica.seidman@uconn.edu,Domestic,2019-09-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:26.9033333,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) (813990)",,,,,,,,,,,,,,,,,,,,,
"PLAN IT HOME, LLC",LLC,Active,,1320089,2022-03-31,40 YATES AVE.,WATERBURY,United States,06710,CT,STVAGO@GMAIL.COM,Domestic,2019-09-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:26.9033333,Electrical Contractors and Other Wiring Installation Contractors (238210),238210.0,,,,,,,,,,,,,,,,,,,,
JND PROPERTIES LLC,LLC,Active,Ready for dissolution,1320091,2020-03-31,44 PRIMROSE ST FLOOR 1,WATERBURY,United States,06708,CT,JOSHDAVILA34@GMAIL.COM,Domestic,2019-09-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:26.9033333,,,,,,,,,,,,,,,,,,,,,,
PENSION DEDUCTIONS LLC,LLC,Active,,1320092,2022-03-31,2350 WASHINGTON BLVD UNIT 5 UNIT 5,STAMFORD,United States,06905,CT,info@pensiondeductions.com,Domestic,2019-09-02,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:10:26.9166667,Marketing Consulting Services (541613),541613.0,,,,,,,,,,,,,,,,,,,,
15 OHEAR LLC,LLC,Active,,1320094,2022-03-31,14 PINE GROVE AVENUE,ENFIELD,United States,06082,CT,Justin.liquori@gmail.com,Domestic,2019-09-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:26.9166667,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,,,,,,,,,,,,
NORTH HAVEN LODGING PARTNERS LLC,LLC,Active,Ready for dissolution,1320095,2020-03-31,2517 W BRENTRIDGE CIRCLE,SIOUX FALLS,,57108,SD,PATELV@GMAIL.COM,Foreign,2019-09-02,SD,SD,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:27.5266667,,,,2019-09-02,NORTH HAVEN LODGING PARTNERS LLC,"2517 W BRENTRIDGE CIRCLE, SIOUX FALLS, SD, 57108,",2517 W BRENTRIDGE CIRCLE,SIOUX FALLS,SD,57108,"2517 W BRENTRIDGE CIRCLE, SIOUX FALLS, SD, 57108,",2517 W BRENTRIDGE CIRCLE,SIOUX FALLS,SD,57108,,,,,,,
"ROLLING MILL SERVICES, LLC",LLC,Active,Ready for dissolution,1320096,2020-03-31,105 WEST ROAD,CANTON,United States,06019-1959,CT,BYUS.FRANK@GMAIL.COM,Domestic,2019-09-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:27.5266667,,,,,,,,,,,,,,,,,,,,,,
DINAS VILLAGE INC,Non-Stock,Active,First report past due,1320097,2021-09-02,No information provided,,,,,HADDYSJ@ICLOUD.COM,Domestic,2019-09-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:27.5266667,,,,,,,,,,,,,,,,,,,,,,
"CREATIVE NOTIONS, LLC",LLC,Active,,1320099,2022-03-31,857 MAIN STREET,MANCHESTER,United States,06040,CT,creativenotionsct@gmail.com,Domestic,2019-09-02,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:27.5266667,All Other Personal Services (812990),448120.0,,,,,,,,,,,,,,,,,,,,
REGENERATIVE PSYCHOTHERAPY PLLC,LLC,Active,,1320100,2022-03-31,95 LONG LOTS RD,WESTPORT,United States,06880,CT,mj@merrittjuliano.com,Domestic,2019-09-02,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:27.5266667,Offices of Mental Health Practitioners (except Physicians) (621330),621330.0,,,,,,,,,,,,,,,,,,,,
HOWELLWORLD ENTERTAINMENT LLC,LLC,Active,Ready for dissolution,1320101,2020-03-31,38 WINCHESTER DR,NORTH HAVEN,United States,06473,CT,HOWELLWORLDENT@GMAIL.COM,Domestic,2019-09-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:27.5266667,,,,,,,,,,,,,,,,,,,,,,
SELCA STYLES LLC,LLC,Active,,1320103,2022-03-31,25 SOUTH BENSON RD.,FAIRFIELD,United States,06824,CT,amandaselca@gmail.com,Domestic,2019-09-02,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:27.5266667,Beauty Salons (812112),,,,,,,,,,,,,,,,,,,,,
EAGLE TELE-SERVICES INC,Stock,Active,Annual report past due,1320104,2020-09-02,1595 STANDING RIDGE DR,POWHATAN,United States,23139,VA,TERA@KOVANESCPA.COM,Foreign,2019-09-02,VA,VA,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:27.5266667,,,,2019-09-02,EAGLE TELE-SERVICES INC,,,,,,,,,,,United States,,,,,,
234 BROAD LLC,LLC,Active,,1320105,2022-03-31,234 BROAD STREET,MILFORD,United States,06460,CT,RachelRamadan@gmail.com,Domestic,2019-09-02,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:27.5266667,Offices of Podiatrists (621391),621391.0,,,,,,,,,,,,,,,,,,,,
PRUDENCE DRIVE LLC,LLC,Dissolved,,1320078,2021-03-31,18 NUTMEG LANE,STAMFORD,United States,06905,CT,parrottptg1@yahoo.com,Domestic,2019-09-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:06:11.8300000,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,2020-11-05T00:00:00.000,,,,,
ADRM LLC,LLC,Dissolved,,1320083,2020-03-31,60 CADY STREET,STAMFORD,United States,06907-2019,CT,LIVELIKEANEWYORKER@GMAIL.COM,Domestic,2019-09-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:06:18.3466667,,,,,,,,,,,,,,,,,2020-07-15T00:00:00.000,,,,,
D&O DRYWALL COMPANY LLC,LLC,Dissolved,,1320090,2021-03-31,596 HIGHLAND AVE 1FL,WATERBURY,United States,06708,CT,JOSE32HDZ@GMAIL.COM,Domestic,2019-09-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:29.7000000,Drywall and Insulation Contractors (238310),,,,,,,,,,,,,,,,2020-08-06T00:00:00.000,,,,,
