name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,began_transacting_in_ct,billingcountry,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,naics_code,naics_sub_code,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,total_authorized_shares,mailing_jurisdiction_country,date_of_organization_meeting,category_survey_email_address,billing_unit,mailing_international_address
NOISEUX SHOW HORSES LLC,LLC,Active,Ready for dissolution,1322954,2020-03-31,635 THRALL AVE.,SUFFIELD,06078,CT,RICKYNOISEUX@GMAIL.COM,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:33.4500000,,,,,,,,,,,,,,,,,,,,,,,,
"MIRADOR, LLC",LLC,Active,,1322962,2022-03-31,10 CORBIN DRIVE UNIT #224,DARIEN,06820,CT,hdavis@miradorllc.com,Foreign,2019-10-01,DE,DE,False,False,False,False,False,,2021-11-10 00:10:33.4500000,2019-10-01,United States,"MIRADOR, LLC",United States,"16192 COASTAL HIGHWAY, LEWES, DE, 19958,",16192 COASTAL HIGHWAY,LEWES,DE,19958,Administrative Management and General Management Consulting Services (541611),541611.0,"16192 COASTAL HIGHWAY, LEWES, DE, 19958, United States",16192 COASTAL HIGHWAY,LEWES,DE,19958,United States,,,,,,,
ALTERATIONS L&S LLC,LLC,Active,Ready for dissolution,1322989,2020-03-31,685 HUNTINGTON RD,BRIDGEPORT,06610,CT,,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:34.0900000,,,,,,,,,,,,,,,,,,,,,,,,
CAROLINA REYES LLC,LLC,Active,Ready for dissolution,1322991,2020-03-31,21 COLBY CT,NEW HAVEN,06515,CT,,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:34.0900000,,,,,,,,,,,,,,,,,,,,,,,,
"462 CENTER STREET, LLC",LLC,Active,,1322998,2022-03-31,565 SAYBROOK ROAD,HADDAM,06438,CT,joeragozzino@gmail.com,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.0900000,,United States,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,
JONNYWATSON FOODS LLC,LLC,Active,Annual report past due,1323001,2021-03-31,1 GRIGG STREET,GREENWICH,06830,CT,KELLY@MJSCPA.COM,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.1200000,,United States,,,,,,,,"Cafeterias, Grill Buffets, and Buffets (722514)",,,,,,,,,,,,,,
"TURBO JET PARTS, LLC",LLC,Active,,1323012,2022-03-31,75 HOPE LANE,GLASTONBURY,06033,CT,kengodin@composiclean.com,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.1200000,,United States,,,,,,,,Other Direct Selling Establishments (454390),454390.0,,,,,,,,,,,,,
FRANCHISE CAFE LLC,LLC,Active,Ready for dissolution,1323016,2020-03-31,150 RUSS STREET,HARTFORD,06106,CT,TAXESWEARE@AOL.COM,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:34.1200000,,United States,,,,,,,,,,,,,,,,,,,,,,
MADONE LOVING CARE LLC,LLC,Active,Ready for dissolution,1323020,2020-03-31,264 WEST BROAD STREET,STAMFORD,06902,CT,HGEDEON1@OPTONLINE.NET,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:34.1533333,,United States,,,,,,,,,,,,,,,,,,,,,,
MISS WASHINGTON DINER N.B. LLC,LLC,Active,,1323036,2022-03-31,10 WASHINGTON ST.,NEW BRITAIN,06051,CT,dasavvidis@gmail.com,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.1533333,,United States,,,,,,,,Full-Service Restaurants (722511),722511.0,,,,,,,,,,,,,
