name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,billingcountry,naics_code,naics_sub_code,category_survey_email_address,total_authorized_shares,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,billing_unit,dissolution_date,mailing_address,date_of_organization_meeting,mailing_international_address
K SUSHI & DELI LLC,LLC,Active,Ready for dissolution,1326149,2020-03-31,471-2 HARTFORD RD,MANCHESTER,06040,CT,CPAPARK@HOTMAIL.COM,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:32.2166667,,,,,,,,,,,,,,,,,,,,,,,,,
"43 MELROSE AVENUE, LLC",LLC,Active,,1326151,2022-03-31,29 COOPER ROAD,NORTH HAVEN,06473,CT,stevie371@yahoo.com,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:32.2166667,United States,Lessors of Other Real Estate Property (531190),531190.0,,,,,,,,,,,,,,,,,,,,,,
JESUS CHRIST TRANSPORT LLC,LLC,Active,,1326172,2022-03-31,66 SHERMAN AVENUE,MERIDEN,06450,CT,LIRIOGALVAN@AOL.COM,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:32.7166667,United States,"General Freight Trucking, Long-Distance, Less Than Truckload (484122)",,truck-41@comcast.net,,,,,,,,,,,,,,,,,,,,,
ARENA LOUNGE RESTAURANT LLC,LLC,Active,Ready for dissolution,1326204,2020-03-31,318 FRANKLIN AVE,HARTFORD,06114,CT,LAURAMEJILLONES@YAHOO.COM,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:32.7933333,United States,,,,,,,,,,,,,,,,,,,,,,,,
MX WEAR LLC,LLC,Active,Ready for dissolution,1326226,2020-03-31,10 WHITEWOOD DR.,FAIRFIELD,06825,CT,WE@CHAMELEONMETHOD.COM,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:33.3700000,United States,,,,,,,,,,,,,,,,,,,,,,,,
"CONSILIUM EVENTS, LLC",LLC,Active,Ready for dissolution,1326227,2020-03-31,68 WOODCREST LANE,DANBURY,06810,CT,AMCLAVETTE@GMAIL.COM,Domestic,2019-11-01,CT,Connecticut,True,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:33.3700000,United States,,,,,,,,,,,,,,,,,,,,,,,,
HERRON INTERIORS LLC,LLC,Active,Annual report past due,1326228,2021-03-31,240 GAY ST.,SHARON,06069,CT,ben.m.welch@gmail.com,Domestic,2019-11-01,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:33.3700000,United States,Interior Design Services (541410),541410.0,,,,,,,,,,,,,,,,,,,,,,
N. E. GROUP LLC,LLC,Active,,1326229,2022-03-31,39 WHORTLEBERRY RD.,REDDING,06896,CT,mgiacopassi@gmail.com,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.3700000,United States,Marketing Consulting Services (541613),541613.0,,,,,,,,,,,,,,,,,,,,,,
"DREWLILY, LLC",LLC,Active,Ready for dissolution,1326230,2020-03-31,30 LYME STREET,OLD LYME,06371,CT,ANTHONY.KORNACKI@AWAC.COM,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:33.3700000,United States,,,,,,,,,,,,,,,,,,,,,,,,
"TALL MAN'S HOMEMADE ICE CREAM, LLC",LLC,Active,,1326231,2022-03-31,564 MAIN STREET,CROMWELL,06416,CT,tallmansicecream@gmail.com,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.3700000,United States,Limited-Service Restaurants (722513),722513.0,,,,,,,,,,,,,,,,,,,,,,
