name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,naics_code,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,mailing_jurisdiction_country,naics_sub_code,dissolution_date,category_survey_email_address,total_authorized_shares,date_of_organization_meeting,billing_unit,mailing_jurisdiction_3,office_jurisdiction_3
D&S-COLLECTIONS LLC,LLC,Active,Ready for dissolution,1328914,2020-03-31,70 SPRING STREET,MANCHESTER,United States,06040,CT,DELANOHARVEY@YAHOO.COM,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:36.7466667,,,,,,,,,,,,,,,,,,,,,,,,
"EWC CORPORATE, LLC",LLC,Active,,1328915,2022-03-31,GRANITE PARK V 5830 GRANITE PARKWAY SUITE 300,PLANO,United States,75024,TX,Caitlin@corpcreations.com,Foreign,2019-12-02,FL,FL,False,False,False,False,False,,2021-11-10 00:10:36.7466667,2019-12-02,"EWC CORPORATE, LLC",United States,"801 US HIGHWAY 1, NORTH PALM BEACH, FL, 33408,",801 US HIGHWAY 1,NORTH PALM BEACH,FL,33408,Other Personal Care Services (812199),"801 US HIGHWAY 1, NORTH PALM BEACH, FL, 33408, United States",801 US HIGHWAY 1,NORTH PALM BEACH,FL,33408,United States,,,,,,,,,
M & M LANDSCAPING MASONRY DESIGN LLC,LLC,Active,Ready for dissolution,1328916,2020-03-31,52 MORRIS STREET APT 1,DANBURY,United States,06810,CT,CHRISTIANMULTI@HOTMAIL.COM,Domestic,2019-12-02,CT,Connecticut,False,False,True,False,False,Failure to file Annual Report,2021-11-10 00:10:36.7466667,,,,,,,,,,,,,,,,,,,,,,,,
H.C. STARCK TUNGSTEN LLC,LLC,Active,,1328925,2022-03-31,45 INDUSTRIAL PLACE,NEWTON,United States,02461,MA,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2019-12-02,DE,DE,False,False,False,False,False,,2021-11-10 00:10:36.7466667,2019-11-01,H.C. STARCK TUNGSTEN LLC,United States,"45 INDUSTRIAL PLACE, NEWTON, MA, 02461, United States",45 INDUSTRIAL PLACE,NEWTON,MA,02461,Coal and Other Mineral and Ore Merchant Wholesalers (423520),"45 INDUSTRIAL PLACE, NEWTON, MA, 02461, United States",45 INDUSTRIAL PLACE,NEWTON,MA,02461,United States,United States,423520.0,,,,,,,
DEMO TO FINISH LLC,LLC,Active,Ready for dissolution,1328928,2020-03-31,2 GOODSELL POINT RD,BRANFORD,United States,06405,CT,OSBORN.DEMO2FINISH@GMAIL.COM,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:36.7466667,,,,,,,,,,,,,,,,,,,,,,,,
"AGORA GOOD LIFE, INC.",Stock,Active,Annual report past due,1328931,2020-12-02,"123 YORK STREET CROWN TOWERS, APT. 22R",NEW HAVEN,United States,06511,CT,AGORA@AGORAGOODLIFE.COM,Foreign,2019-12-02,DE,DE,False,False,False,False,False,,2021-11-10 00:10:36.7766667,2019-12-01,"AGORA GOOD LIFE, INC.",United States,,,,,,,,,,,,,,,,,,,,,
"BASHFORD CONST. CO., INC.",Stock,Active,,1328934,2022-12-02,4 BASHFORD STREET,YONKERS,United States,10701,NY,bashfordconst@yahoo.com,Foreign,2019-12-02,NY,NY,False,False,False,False,False,,2021-11-10 00:10:36.7766667,2020-01-01,"BASHFORD CONST. CO., INC.",United States,,,,,,Residential Remodelers (236118),,,,,,,,236118.0,,,,,,,
MOSTLY MAPLE LLC,LLC,Active,Ready for dissolution,1328936,2020-03-31,4 MILLBROOK RD,SHELTON,United States,06484,CT,SLCTJOEW@SBCGLOBAL.NET,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:36.7766667,,,,,,,,,,,,,,,,,,,,,,,,
CARACAS FLOORING COMPANY LLC,LLC,Dissolved,,1328937,2020-03-31,19-28 CHAPMAN STREET,EAST HARTFORD,United States,06108,CT,CARACIXTOS@GMAIL.COM,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:36.7766667,,,,,,,,,,,,,,,,,,2021-06-07T00:00:00.000,,,,,,
"BTC MAJESTIC, LLC",LLC,Active,,1328939,2022-03-31,1530 BROADWAY,NEW YORK,United States,10036,NY,FILINGMANAGER@CAPITOLSERVICES.COM,Foreign,2019-12-02,DE,DE,False,False,False,False,False,,2021-11-10 00:10:36.7766667,2019-12-02,"BTC MAJESTIC, LLC",United States,"1675 SOUTH STATE ST, STE B, DOVER, DE, 19901, United States","1675 SOUTH STATE ST, STE B",DOVER,DE,19901,Motion Picture Theaters (except Drive-Ins) (512131),"1675 SOUTH STATE ST, STE B, DOVER, DE, 19901, United States","1675 SOUTH STATE ST, STE B",DOVER,DE,19901,United States,United States,512131.0,,,,,,,
GYAN GLOBAL ADVISORS LLC,LLC,Active,,1328941,2022-03-31,160 TOKENEKE DRIVE,NORTH HAVEN,United States,06473,CT,DGJOSEPH.WORK@GMAIL.COM,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:36.7766667,,,,,,,,,Administrative Management and General Management Consulting Services (541611),,,,,,,,,,,,,,,
"MILNE ASSOCIATES, LLC",LLC,Active,,1328942,2022-03-31,2442 EAST MAIN STREET,BRIDGEPORT,United States,06608,CT,bestservicesinc@gmail.com,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:36.7766667,,,,,,,,,Residential Property Managers (531311),,,,,,,,,,,,,,,
51 APPLEGATE PARTNERS 26 LLC,LLC,Active,,1328944,2022-03-31,420 MADISON AVENUE SUITE 1001,NEW YORK,United States,10017,NY,YAACOVAMAR@HOTMAIL.COM,Domestic,2019-12-02,NY,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:36.7766667,,,,,,,,,Other Activities Related to Real Estate (531390),,,,,,,,,,brendan@fc-investments.com,,,,,
"MANCHESTER PROPERTY, LLC",LLC,Active,,1328945,2022-03-31,455 CENTRAL AVENUE - SUITE 202,SCARSDALE,United States,10583,NY,SAMIJAMAL@AOL.COM,Domestic,2019-12-02,NY,Connecticut,False,False,False,False,False,,2021-11-10 00:10:36.7766667,,,,,,,,,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),,,,,,,,,,,,,,,
51 APPLEGATE PARTNERS LLC,LLC,Active,,1328946,2022-03-31,420 MADISON AVENUE SUITE 1001,NEW YORK,United States,10017,NY,DSHEBIRO@GMAIL.COM,Domestic,2019-12-02,NY,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:36.7766667,,,,,,,,,Other Activities Related to Real Estate (531390),,,,,,,,,,brendan@fc-investments.com,,,,,
"2019 JOC COMPANY, LLC",LLC,Active,,1328947,2022-03-31,1 ELIOT PL STE 302,FAIRFIELD,United States,06824,CT,peacockfive@mac.com,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:36.7766667,,,,,,,,,Other Building Material Dealers (444190),,,,,,,,,,,,,,,
NORTHSTAR DEFENSE LLC,LLC,Active,Ready for dissolution,1328948,2020-03-31,304 KENNEDY RD,MANCHESTER,United States,06042,CT,TONNY.KAEMPE@HOTMAIL.COM,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:36.7766667,,,,,,,,,,,,,,,,,,,,,,,,
WAUSAU PLACE LLC,LLC,Active,,1328949,2022-03-31,1051 GUNGYWAMP RD,GROTON,United States,06340,CT,crown2515@hotmail.com,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:37.3400000,,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,
FELIZ TRANSPORT LLC,LLC,Active,Ready for dissolution,1328950,2020-03-31,257 MAIN ST APT 3,DANBURY,United States,06810,CT,MULTISERVICE@7STATECT.COM,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:37.3400000,,,,,,,,,,,,,,,,,,,,,,,,
"SASUMAI, LLC",LLC,Active,,1328953,2022-03-31,2389 MAIN ST. STE 100,GLASTONBURY,United States,06033,CT,sasumai.llc@gmail.com,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:37.3400000,,,,,,,,,Internet Publishing and Broadcasting and Web Search Portals (519130),,,,,,,,519130.0,,,,,,,
COLLEGIATE CAREER SERVICES LLC,LLC,Active,Annual report past due,1328954,2021-03-31,156 HOLMES RD,RIDGEFIELD,United States,06877,CT,ED.SPRUCK@GMAIL.COM,Domestic,2019-12-02,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:37.3400000,,,,,,,,,Human Resources Consulting Services (541612),,,,,,,,541612.0,,,,,,,
BACKROADSHOME LLC,LLC,Active,,1328955,2022-03-31,25 SOUND BEACH AVE,OLD GREENWICH,United States,06870,CT,dannyfaryniarz@gmail.com,Domestic,2019-12-02,CT,Connecticut,False,False,False,True,False,,2021-11-10 00:10:37.3400000,,,,,,,,,Administrative Management and General Management Consulting Services (541611),,,,,,,,541611.0,,,,,,,
RESTORED RENOVATIONS LLC,LLC,Active,Ready for dissolution,1328957,2020-03-31,282 WOODMONT RD 7,MILFORD,United States,06460,CT,RESTOREDRENOVATIONSCT@YAHOO.COM,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:37.3400000,,,,,,,,,,,,,,,,,,,,,,,,
STEVEN VIRGADAMO LLC,LLC,Active,Ready for dissolution,1328958,2020-03-31,122 SEASIDE,GUILFORD,United States,06437,CT,SVIRGADAMO@MSN.COM,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:37.3400000,,,,,,,,,,,,,,,,,,,,,,,,
KARINA ENTERPRISES LLC,LLC,Active,Ready for dissolution,1328959,2020-03-31,242 EAST MAIN ST,CLINTON,United States,06413,CT,RRCLIENT@HOTMAIL.COM,Domestic,2019-12-02,CT,Connecticut,True,False,True,False,False,Failure to file Annual Report,2021-11-10 00:10:37.3400000,,,,,,,,,,,,,,,,,,,,,,,,
