name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,sub_status,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,total_authorized_shares,dissolution_date,reason_for_administrative,category_survey_email_address,billing_unit,date_of_organization_meeting,mailing_international_address,mailing_jurisdiction_3,office_jurisdiction_3
DULLA INVESTMENTS LLC,LLC,Active,1331405,2022-03-31,52 WABUDA PL,SHELTON,United States,06484,CT,marthalodge@cs.com,Domestic,2020-01-01,CT,Connecticut,True,False,False,False,False,Miscellaneous Financial Investment Activities (523999),523999.0,2021-11-10 00:08:38.3100000,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPOLITO ENTERPRISES INC,Stock,Active,1331408,2021-01-01,4 SCENIC AVE,WEBSTER,United States,01570,MA,CCAMPO@CHARTER.NET,Foreign,2020-01-01,MA,MA,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:38.3100000,Annual report past due,2020-02-01,CAMPOLITO ENTERPRISES INC,United States,,,,,,,,,,,,,,,,,,,,,
SIAS GLOBAL LLC,LLC,Active,1331409,2022-03-31,81 DEER RUN RD.,WOODBRIDGE,United States,06525,CT,info@siasglobal.com,Domestic,2020-01-01,CT,Connecticut,False,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,2021-11-10 00:08:38.3100000,,,,,,,,,,,,,,,,,,,,,,,,,
KPAYMENTS LLC,LLC,Active,1331410,2021-03-31,100 PARROTT DRIVE UNIT 1403,SHELTON,United States,06484,CT,LOU@MTLCT.COM,Domestic,2020-01-01,CT,Connecticut,False,False,False,False,False,Other Management Consulting Services (541618),541618.0,2021-11-10 00:08:38.3100000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
SUNDOG FARM LLC,LLC,Active,1331411,2022-03-31,703 PENDLETON HILL RD,NORTH STONINGTON,United States,06359,CT,sundogfarmllc@gmail.com,Domestic,2020-01-01,CT,Connecticut,True,False,False,False,False,Goat Farming (112420),112420.0,2021-11-10 00:08:38.3100000,,,,,,,,,,,,,,,,,,,,,,,,,
"WILSON LAMBIS ENTERPRISES, LLC",LLC,Active,1331505,2021-03-31,340 WINDSOR AVENUE,WINDSOR,United States,06095,CT,MARYANN@SANTACROCELAW.COM,Domestic,2020-01-01,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,2021-11-10 00:08:38.9500000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
WHITNEY STRATEGIES LLC,LLC,Active,1331506,2022-03-31,20 WHITNEY FERGUSON ROAD UNIT # 13,VERNON,United States,06066,CT,davidjmcquade@gmail.com,Domestic,2020-01-01,CT,Connecticut,False,False,False,False,False,Other Management Consulting Services (541618),,2021-11-10 00:08:38.9500000,,,,,,,,,,,,,,,,,,,,,,,,,
"DANA MAISON DE POUPEE, LLC",LLC,Active,1331508,2021-03-31,145 OLD ARMY ROAD,SCARSDALE,United States,10583,NY,JEANMARCORLANDO1@GMAIL.COM,Foreign,2020-01-01,NY,NY,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:38.9500000,Annual report past due,2020-01-01,"DANA MAISON DE POUPEE, LLC",United States,"145 OLD ARMY ROAD, SCARSDALE, NY, 10583, United States",145 OLD ARMY ROAD,SCARSDALE,NY,10583,United States,"145 OLD ARMY ROAD, SCARSDALE, NY, 10583, United States",145 OLD ARMY ROAD,SCARSDALE,NY,10583,United States,,,,,,,,,
"EZ DOOR UNLIMITED, LLC",LLC,Active,1331510,2021-03-31,260 WYOMING AVE,TORRINGTON,United States,06790,CT,EZDOOROPENER77@GMAIL.COM,Domestic,2020-01-01,CT,Connecticut,False,False,False,False,False,Other Electronic and Precision Equipment Repair and Maintenance (811219),811219.0,2021-11-10 00:08:38.9500000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
RESURRECTION ROOFING LLC,LLC,Active,1331511,2021-03-31,55 BIRCH STREET,WATERBURY,United States,06704,CT,JESUSINNATHAN@GMAIL.COM,Domestic,2020-01-01,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),236118.0,2021-11-10 00:08:38.9500000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
CLEARVIEW PARTNERS LLC,LLC,Active,1331513,2022-03-31,18 MASSACHUSETTS ROAD,SOUTH LYME,United States,06376,CT,JKERLEY@CLEARVIEWPARTNERSUSA.COM,Domestic,2020-01-01,CT,Connecticut,False,False,False,False,False,Other Management Consulting Services (541618),541618.0,2021-11-10 00:08:38.9500000,,,,,,,,,,,,,,,,,,,,,,,,,
"PIZZA PALACE OF WILSON, INC.",Stock,Active,1331514,2022-01-03,340 WINDSOR AVENUE,WINDSOR,United States,06095,CT,MARYANN@SANTACROCELAW.COM,Domestic,2020-01-01,CT,Connecticut,False,False,False,False,False,Full-Service Restaurants (722511),722511.0,2021-11-10 00:08:38.9500000,,,,,,,,,,,,,,,,,20000.0,,,,,,,,
"WESTLAKE MANAGEMENT, LLC",LLC,Dissolved,1331515,2021-03-31,39 ROBIN ROAD APT. 203,WEST HARTFORD,United States,06119,CT,WESTLAKEMGT@GMAIL.COM,Domestic,2020-01-01,CT,Connecticut,False,False,True,False,False,,,2021-11-10 00:08:38.9500000,,,,,,,,,,,,,,,,,,2021-02-18T00:00:00.000,,,,,,,
SALBY LLC,LLC,Active,1331516,2022-03-31,54 BURNSIDE AVE,EAST HARTFORD,United States,06108,CT,Lesley.kuffour@yahoo.com,Domestic,2020-01-01,CT,Connecticut,True,False,True,False,False,Clothing Accessories Stores (448150),,2021-11-10 00:08:38.9500000,,,,,,,,,,,,,,,,,,,,,,,,,
SNACK UP LLC,LLC,Active,1331517,2021-03-31,11 GARRISON TER,BLOOMFIELD,United States,06002,CT,SNACKUPPRO@GMAIL.COM,Domestic,2020-01-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:38.9500000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"LAWNPRO, LLC",LLC,Active,1331518,2022-03-31,302 MURPHY ROAD,HARTFORD,United States,06114,CT,lawnpropesticides@gmail.com,Domestic,2020-01-01,CT,Connecticut,False,False,False,False,False,Industrial Supplies Merchant Wholesalers (423840),423840.0,2021-11-10 00:08:39.4500000,,,,,,,,,,,,,,,,,,,,,,,,,
"TINT MASTER, LLC",LLC,Active,1331519,2022-03-31,1004 BANK ST,NEW LONDON,United States,06320,CT,tintmasterct@yahoo.com,Domestic,2020-01-01,CT,Connecticut,False,False,False,False,False,Automotive Glass Replacement Shops (811122),811122.0,2021-11-10 00:08:39.4500000,,,,,,,,,,,,,,,,,,,,,,,,,
SUSTAINABLE PLANET LLC,LLC,Active,1331520,2022-03-31,112 DEAN ROAD,EAST LYME,United States,06333,CT,rosemaryostfeld@gmail.com,Domestic,2020-01-01,CT,Connecticut,True,False,False,False,False,Software Publishers (511210),,2021-11-10 00:08:39.4500000,,,,,,,,,,,,,,,,,,,,,,,,,
R M YAWSON CONSULT LLC,LLC,Active,1331521,2021-03-31,348 GRIEB ROAD,WALLINGFORD,United States,06492,CT,RMYAWSON@GMAIL.COM,Domestic,2020-01-01,CT,Connecticut,False,False,True,False,False,Human Resources Consulting Services (541612),541612.0,2021-11-10 00:08:39.4500000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
A HAND IN NEED PROJECT INCORPORATED,Non-Stock,Active,1331522,2020-03-31,No information provided,,,,,TGAYLE@AHNPROJECT.ONMICROSOFT.COM,Domestic,2020-01-01,CT,Connecticut,True,False,True,False,False,Other Individual and Family Services (624190),624190.0,2021-11-10 00:08:39.4500000,First report past due,,,,,,,,,,,,,,,,,,Failure to file First Report,,,,,,
QUALITY CHOICE PAINTING LLC,LLC,Dissolved,1331525,2022-03-31,151 LIBERTY ST 2R,SOUTHINGTON,United States,06489,CT,jesse.j.hester@gmail.com,Domestic,2020-01-01,CT,Connecticut,False,False,False,False,False,Painting and Wall Covering Contractors (238320),238320.0,2021-11-10 00:08:39.4500000,,,,,,,,,,,,,,,,,,2021-04-12T00:00:00.000,,,,,,,
DISCENZA FAMILY FARM LLC,LLC,Active,1331526,2022-03-31,20 THORNBUSH ROAD,WETHERSFIELD,United States,06109,CT,frankdiscenza@yahoo.com,Domestic,2020-01-01,CT,Connecticut,False,False,False,False,False,Corn Farming (111150),,2021-11-10 00:08:39.4500000,,,,,,,,,,,,,,,,,,,,,,,,,
"ETHOS KOVERAGE INSURANCE, LLC",LLC,Active,1331527,2022-03-31,2 APPLETREE LANE,NORTH GRANBY,United States,06060,CT,joeg@koveragegroup.com,Domestic,2020-01-01,CT,Connecticut,False,False,False,False,False,Insurance Agencies and Brokerages (524210),524210.0,2021-11-10 00:08:39.4500000,,,,,,,,,,,,,,,,,,,,,,,,,
HONEY HILL LLC,LLC,Active,1331528,2022-03-31,12 HONEY HILL RD,LYME,United States,06371,CT,HONEYHILLLLC@GMAIL.COM,Domestic,2020-01-01,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),531311.0,2021-11-10 00:08:39.4500000,,,,,,,,,,,,,,,,,,,,,,,,,
ASCEND EXPERIENCE LLC,LLC,Active,1331531,2022-03-31,3 CARTER HILL ROAD,CLINTON,United States,06413,CT,connect@ascendexperience.com,Domestic,2020-01-01,CT,Connecticut,True,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:08:39.4500000,,,,,,,,,,,,,,,,,,,,,,,,,
SNS MEDIA LLC,LLC,Active,1331532,2022-03-31,209 LIMNER CIRCLE,ROCKY HILL,United States,06067,CT,compliance@ZENBUSINESS.COM,Domestic,2020-01-01,CT,Connecticut,False,False,False,False,False,"Photography Studios, Portrait (541921)",,2021-11-10 00:08:39.4500000,,,,,,,,,,,,,,,,,,,,,,,,,
HONEY NAILS & SPA (CT) INC.,Stock,Active,1331534,2022-05-22,1880 SILAS DEANE HWY STE C,ROCKY HILL,United States,06067,CT,happyrefund@gmail.com,Domestic,2020-01-01,CT,Connecticut,True,False,True,False,False,Nail Salons (812113),812113.0,2021-11-10 00:08:39.4500000,,,,,,,,,,,,,,,,,200.0,,,,,,,,
CITIZEN SUCCESS REINTEGRATION CENTER LLC,LLC,Active,1331535,2021-03-31,313 MERIDEN ROAD,WATERBURY,United States,06705,CT,ERIC.CITIZENSUCCESS@GMAIL.COM,Domestic,2020-01-01,CT,Connecticut,False,False,False,True,False,Other Residential Care Facilities (623990),623990.0,2021-11-10 00:08:39.4500000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
DUNDON CONSTRUCTION LLC,LLC,Active,1331536,2022-03-31,76 HOADLEY CREEK CIRCLE,GUILFORD,United States,06437,CT,ryan.dundon@dundonconst.com,Domestic,2020-01-01,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),236118.0,2021-11-10 00:08:39.4800000,,,,,,,,,,,,,,,,,,,,,,,,,
RENTAL RESIDENCY LLC,LLC,Active,1331537,2022-03-31,441 HIGHLAND AVE,WATERBURY,United States,06708,CT,rentalresidency@gmail.com,Domestic,2020-01-01,CT,Connecticut,False,False,False,False,False,All Other Consumer Goods Rental (532289),532289.0,2021-11-10 00:08:39.4800000,,,,,,,,,,,,,,,,,,,,,,,,,
