name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,sub_status,dissolution_date,began_transacting_in_ct,business_name_in_state_country,country_formation,reason_for_administrative,total_authorized_shares,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,mailing_jurisdiction_country,office_in_jurisdiction_country,category_survey_email_address,billing_unit,date_of_organization_meeting
ALL SETT REALTY LLC,LLC,Active,1334883,2022-03-31,145 RIDGE PARK AVE,STAMFORD,United States,06905,CT,lsett01@gmail.com,Domestic,2020-02-01,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),531311.0,2021-11-10 00:08:39.4800000,,,,,,,,,,,,,,,,,,,,,,
275 JEWETT AVENUE LLC,LLC,Active,1334884,2022-03-31,170 CORNHILL STREET,BRIDGEPORT,United States,06606,CT,jcculhane25@gmail.com,Domestic,2020-02-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:39.4800000,,,,,,,,,,,,,,,,,,,,,,
ELLA STUDIOS LLC,LLC,Active,1334885,2022-03-31,136 PEMBROKE RD UNIT 62,DANBURY,United States,06811,CT,ellastudioproductions@gmail.com,Domestic,2020-02-01,CT,Connecticut,False,False,True,False,False,"Photography Studios, Portrait (541921)",541921.0,2021-11-10 00:08:39.4800000,,,,,,,,,,,,,,,,,,,,,,
BACK OF THE BOAT PRODUCTIONS LLC,LLC,Active,1334886,2022-03-31,73 CRANBURY RD,NORWALK,United States,06851,CT,cmount@3plworldwide.com,Domestic,2020-02-01,CT,Connecticut,False,False,False,False,False,All Other General Merchandise Stores (452319),452319.0,2021-11-10 00:08:39.4800000,,,,,,,,,,,,,,,,,,,,,,
"HAWK-I MEDIA, LLC",LLC,Active,1334887,2022-03-31,650 FARMINGTON AVE,HARTFORD,United States,06105,CT,SHAYES@MASON23.COM,Domestic,2020-02-01,CT,Connecticut,False,False,False,False,False,Teleproduction and Other Postproduction Services (512191),512191.0,2021-11-10 00:08:39.4800000,,,,,,,,,,,,,,,,,,,,,,
"CLIMBING OUT SOLUTIONS, LLC",LLC,Active,1334888,2021-03-31,33 HARTLAND STREET 33 HARTLAND STREET,HARTFORD,United States,06112,CT,CLIMBINGOUTSOLUTIONS@GMAIL.COM,Domestic,2020-02-01,CT,Connecticut,True,False,True,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),621330.0,2021-11-10 00:08:39.4800000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
RED T PAINTING LLC,LLC,Dissolved,1334889,2021-03-31,315 OLD BRIDGE LN,DANBURY,United States,06811,CT,JESSICA@MIRANTEAGENCY.COM,Domestic,2020-02-01,CT,Connecticut,False,False,False,False,False,Painting and Wall Covering Contractors (238320),238320.0,2021-11-10 00:08:39.4800000,Annual report past due,2021-10-12T00:00:00.000,,,,,,,,,,,,,,,,,,,,
SOARES DA SILVA LLC,LLC,Active,1334890,2021-03-31,14 BARNUM CT APT C,NAUGATUCK,United States,06770,CT,VS@1OAKINSURANCE.COM,Domestic,2020-02-01,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),236118.0,2021-11-10 00:08:36.8700000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
CLASSIC PAINTING CT LLC,LLC,Active,1334891,2022-03-31,467 SELTSAM RD,BRIDGEPORT,United States,06606,CT,lagoskrieger@yahoo.com,Domestic,2020-02-01,CT,Connecticut,False,False,False,False,False,Painting and Wall Covering Contractors (238320),,2021-11-10 00:08:36.8700000,,,,,,,,,,,,,,,,,,,,,,
SWAMP YANKEE ARMS LLC,LLC,Active,1334892,2022-03-31,89 NORTH MAIN ST UNIT D,JEWETT CITY,United States,06351,CT,michael@swampyankeearms.com,Domestic,2020-02-01,CT,Connecticut,False,True,False,False,False,Sporting Goods Stores (451110),451110.0,2021-11-10 00:08:36.8700000,,,,,,,,,,,,,,,,,,,,,,
CAMANEY CONSTRUCTION LLC,LLC,Active,1334893,2021-03-31,23 FOSTER ST,DANBURY,United States,06810,CT,GENERALHELPCT@GMAIL.COM,Domestic,2020-02-01,CT,Connecticut,False,False,False,False,False,Framing Contractors (238130),238130.0,2021-11-10 00:08:36.8700000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"CORY SELLS, PSY.D., LLC",LLC,Active,1334894,2022-03-31,176 AMITY RD. #232,WOODBRIDGE,United States,06525,CT,cory.b.sells@gmail.com,Domestic,2020-02-01,CT,Connecticut,True,False,False,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),621330.0,2021-11-10 00:08:36.8700000,,,,,,,,,,,,,,,,,,,,,,
SHAYWAY CLOTHING LLC,LLC,Active,1334909,2021-03-31,337 LAUREL ST,HARTFORD,United States,06105,CT,SHADAVIABRIDGES@YAHOO.COM,Domestic,2020-02-01,CT,Connecticut,True,False,True,False,False,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers (424330)",424330.0,2021-11-10 00:08:36.9033333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"ERIN TERRY DESIGN, LLC",LLC,Active,1334910,2022-03-31,209 STEEPLE CHASE DRIVE,SOUTHINGTON,United States,06489,CT,erin.terry.design@gmail.com,Domestic,2020-02-01,CT,Connecticut,True,False,False,False,False,Graphic Design Services (541430),541430.0,2021-11-10 00:08:36.9033333,,,,,,,,,,,,,,,,,,,,,,
ANGEL ASSOCIATES INC,Stock,Active,1334916,2021-02-01,112 TAFT AVE,HEMPSTEAD,United States,11550,NY,RGABRIELE@COMCAST.NET,Foreign,2020-02-01,NY,NY,False,False,False,False,False,Other Building Finishing Contractors (238390),238390.0,2021-11-10 00:08:36.9033333,Annual report past due,,2020-01-28,ANGEL ASSOCIATES INC,United States,,,,,,,,,,,,,,,,,
GRAPHIK SIGN SOLUTIONS LLC,LLC,Active,1334918,2022-03-31,36 G KREIGER LN,GLASTONBURY,United States,06033,CT,GIS@SNET.NET,Domestic,2020-02-01,CT,Connecticut,False,False,False,False,False,Sign Manufacturing (339950),,2021-11-10 00:08:36.9033333,,,,,,,,,,,,,,,,,,,,,,
R.MARSHALL LLC,LLC,Active,1334919,2022-03-31,15720 Brixham Hill Ave,Charlotte,United States,28277-4651,NC,R.MARSHALL.CORPORATION@GMAIL.COM,Domestic,2020-02-01,CT,Connecticut,False,False,True,False,False,Offices of Other Holding Companies (551112),551112.0,2021-11-10 00:08:36.9033333,,,,,,,,,,,,,,,,,,,,,,
FALSE SENSE OF REALITY LLC,LLC,Dissolved,1334920,2021-03-31,"1 BROAD STREET, 27F",STAMFORD,United States,06901,CT,CSELKE4@GMAIL.COM,Domestic,2020-02-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:36.9033333,,2021-01-14T00:00:00.000,,,,,,,,,,,,,,,,,,,,
HEATH GOLDMAN LLC,LLC,Active,1334921,2022-03-31,55 SUMNER ROAD,GREENWICH,United States,06831,CT,heathgoldmanllc@gmail.com,Domestic,2020-02-01,CT,Connecticut,True,False,False,False,False,"Independent Artists, Writers, and Performers (711510)",711510.0,2021-11-10 00:08:36.9033333,,,,,,,,,,,,,,,,,,,,,,
GIRL IT! LLC,LLC,Active,1334923,2021-03-31,54 BARRY AVENUE,RIDGEFIELD,United States,06877,CT,GIRLIT100@GMAIL.COM,Domestic,2020-02-01,CT,Connecticut,True,False,False,False,False,Sports and Recreation Instruction (611620),611620.0,2021-11-10 00:08:36.9033333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
THOMAS FANCIULLO CONSULTING LLC,LLC,Active,1334924,2022-03-31,130 SHORE ROAD,CLINTON,United States,06413,CT,thomasfanciullo@comcast.net,Domestic,2020-02-01,CT,Connecticut,False,False,False,False,False,Other Management Consulting Services (541618),541618.0,2021-11-10 00:08:36.9033333,,,,,,,,,,,,,,,,,,,,,,
D'AMICO INDUSTRIES LLC,LLC,Active,1334925,2022-03-31,91 WOPOWOG RD,EAST HAMPTON,United States,06424,CT,RYANDAMICO.SHOPIFY@GMAIL.COM,Domestic,2020-02-01,CT,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:08:36.9033333,,,,,,,,,,,,,,,,,,,,,,
