name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,sub_status,began_transacting_in_ct,business_name_in_state_country,category_survey_email_address,country_formation,billing_unit,dissolution_date,reason_for_administrative,total_authorized_shares,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,date_of_organization_meeting
DS TRUCKING LLC,LLC,Active,1337552,2022-03-31,483 SLATER RD,NEW BRITAIN,United States,06053,CT,ortizluisd@yahoo.com,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Long-Distance, Less Than Truckload (484122)",484122.0,2021-11-10 00:08:34.3866667,,,,,,,,,,,,,,,,,,,,,,
PHAM LLC,LLC,Active,1337555,2021-03-31,252 FRANKLIN AVENUE,HARTFORD,,06114,CT,ANH_KIM52@YAHOO.COM,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:34.4333333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"TRUE TEMPER SPORTS, INC.",Stock,Active,1337559,2022-03-02,40 SOUTH MAIN ST SUITE 2000,MEMPHIS,United States,38103,TN,eric.fullman@true-sports.com,Foreign,2020-03-02,DE,DE,False,False,False,False,False,Sporting and Athletic Goods Manufacturing (339920),,2021-11-10 00:08:34.4333333,,2019-09-19,"TRUE TEMPER SPORTS, INC.",eric.fullman@true-sports.com,,,,,,,,,,,,,,,,,,
CT KOREAN SQUARE INC.,Non-Stock,Active,1337582,2021-03-05,653 CARRINGTON ROAD,BETHANY,United States,06524,CT,CS@INCFILINGS.COM,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,Other Grantmaking and Giving Services (813219),813219.0,2021-11-10 00:08:34.9966667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
DIVINE ONE LOGISTICS LLC,LLC,Active,1337587,2021-03-31,43 MONROE RD,ENFIELD,United States,06082,CT,REESE268MO@YAHOO.COM,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Long-Distance, Truckload (484121)",484121.0,2021-11-10 00:08:34.9966667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
J & Z REALTY LLC,LLC,Active,1337598,2022-03-31,19 HIGH RIDGE RD. #3412,STAMFORD,United States,06905,CT,JZREALTY24@GMAIL.COM,Domestic,2020-03-02,CT,Connecticut,True,False,True,False,False,Lessors of Residential Buildings and Dwellings (531110),,2021-11-10 00:08:35.0300000,,,,,,,,,,,,,,,,,,,,,,
RT GALLERY LLC,LLC,Active,1337634,2022-03-31,10 SAINT GEORGE PLACE,WESTPORT,United States,06880,CT,info@richardbernsteinart.com,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,Art Dealers (453920),,2021-11-10 00:08:35.6700000,,,,,,,,,,,,,,,,,,,,,,
THE LLOYD HOTEL STAMFORD LLC,LLC,Active,1337646,2022-03-31,C/O RMS COMPANIES 1 LANDMARK SQUARE SUITE 220,STAMFORD,United States,06901,CT,allison@rms-companies.com,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,Hotels (except Casino Hotels) and Motels (721110),,2021-11-10 00:08:35.6700000,,,,,,,,,,,,,,,,,,,,,,
SM WESTPORT LLC,LLC,Active,1337655,2022-03-31,36 THE OAKS,ROSLYN,United States,11576,NY,smitch0504@gmail.com,Foreign,2020-03-02,DE,DE,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),,2021-11-10 00:08:35.7000000,,2020-03-02,SM WESTPORT LLC,,,,,,,,,,,,,,,,,,,
"SIMPLY HEALING, LLC",LLC,Active,1337656,2022-03-31,97 WEST MAIN ST #90,NIANTIC,United States,06357,CT,caitlin@simplyhealingwithcaitlin.com,Domestic,2020-03-02,CT,Connecticut,True,False,False,False,False,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) (813990)",,2021-11-10 00:08:35.7000000,,,,,,,,,,,,,,,,,,,,,,
