name,business_type,status,accountnumber,annual_report_due_date,began_transacting_in_ct,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,business_name_in_state_country,citizenship,country_formation,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,category_survey_email_address,total_authorized_shares,sub_status,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,mailing_address,reason_for_administrative,date_of_organization_meeting,billing_unit
BIOMX INC.,Stock,Active,1340747,2022-04-01,2020-04-01,36 E INDUSTRIAL RD,BRANFORD,United States,06419,CT,CORPORATE@PSTEIN.COM,BIOMX INC.,Foreign,United States,2020-04-01,DE,DE,False,False,False,False,False,Investment Advice (523930),523930.0,2021-11-10 00:08:35.6533333,,,,,,,,,,,,,,,,,,,,
"VALLEY'S LAWN & LANDSCAPE, INC.",Stock,Active,1340749,2022-04-01,,213 ALBANY TURNPIKE,CANTON,United States,06019,CT,office@valleyslandscape.com,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,Landscaping Services (561730),561730.0,2021-11-10 00:08:35.6533333,office@valleyslandscape.com,20000.0,,,,,,,,,,,,,,,,,,
"FAMILY RESOURCE SERVICES AT CRYSTAL LAKE, LLC",LLC,Active,1340750,2021-03-31,,14 LORD ROAD,ELLINGTON,United States,06029,CT,PAULNASHLMFT@GMAIL.COM,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:35.6533333,,,Annual report past due,,,,,,,,,,,,,,,,,
EMERGENCY SERVICES NJ LLC,LLC,Active,1340751,2022-03-31,2020-03-31,713 HARBOR ROAD,BRICK,United States,08724,NJ,kellie@jerseyshorebuild.com,EMERGENCY SERVICES NJ LLC,Foreign,United States,2020-04-01,NJ,NJ,False,False,False,False,False,Commercial and Institutional Building Construction (236220),236220.0,2021-11-10 00:08:35.6533333,,,,"713 HARBOR ROAD, BRICK, NJ, 08724, United States",713 HARBOR ROAD,BRICK,NJ,08724,United States,"713 HARBOR ROAD, BRICK, NJ, 08724, United States",713 HARBOR ROAD,BRICK,NJ,08724,United States,,,,,
RHAPSODY COUNSELING AND WELLNESS CENTER LLC,LLC,Active,1340752,2021-03-31,,10 SUMMIT AVE,SHELTON,United States,06484-4039,CT,ANASILVIA_TANKO@MSN.COM,,Domestic,,2020-04-01,CT,Connecticut,False,False,True,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),621330.0,2021-11-10 00:08:35.6533333,,,Annual report past due,,,,,,,,,,,,,,,,,
RUTHERFORD OILS LLC,LLC,Active,1340753,2022-03-31,,95 KING STREET UNIT 2,BRIDGEPORT,United States,06605,CT,rutherfordoils@gmail.com,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,Portfolio Management (523920),523920.0,2021-11-10 00:08:35.7000000,,,,,,,,,,,,,,,,,,,,
DIVINE PSYCHE PSYCHOTHERAPY LLC,LLC,Active,1340755,2022-03-31,,99 WILLIAM STREET,EAST HAVEN,United States,06512,CT,vazquezfj17@gmail.com,,Domestic,,2020-04-01,CT,Connecticut,True,False,True,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),621330.0,2021-11-10 00:08:35.7000000,,,,,,,,,,,,,,,,,,,,
WAX NINE LLC,LLC,Active,1340756,2022-03-31,,15 RABBIT HILL ROAD,NEW PRESTON MARBLE DALE,United States,06777,CT,eteam@eminutes.com,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,"Independent Artists, Writers, and Performers (711510)",,2021-11-10 00:08:35.7000000,,,,,,,,,,,,,,,,,,,,
"95 CHAPEL STREET, LLC",LLC,Active,1340757,2022-03-31,,211 STATE STREET,BRIDGEPORT,United States,06604,CT,95chapelstreet@gmail.com,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,2021-11-10 00:08:35.7000000,,,,,,,,,,,,,,,,,,,,
CLOVER LAWN CARE LLC,LLC,Dissolved,1340758,2022-03-31,,235 GLENDALE DRIVE,BRISTOL,United States,06010,CT,Sbegley33@hotmail.com,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,Landscaping Services (561730),,2021-11-10 00:08:35.7000000,,,,,,,,,,,,,,,,2021-04-06T00:00:00.000,,,,
