name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,sub_status,reason_for_administrative,total_authorized_shares,dissolution_date,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,billing_unit,category_survey_email_address,date_of_organization_meeting,mailing_international_address
"HOLM PROPERTIES, LLC",LLC,Active,1335930,2022-03-31,6 METALS DRIVE,PLANTSVILLE,United States,06479,CT,holm.corrugated@snet.net,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,2021-11-10 00:08:41.9800000,,,,,,,,,,,,,,,,,,,,,,,
FALCON CARS CORPORATION,Stock,Active,1342991,2020-07-30,No information provided,,,,,SAMRALY@FALCON-MOBILITY.COM,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,Automobile Manufacturing (336111),336111.0,2021-11-10 00:08:39.5600000,First report past due,Failure to file First Report,10000.0,,,,,,,,,,,,,,,,,,,,
"GROUP V SOLUTIONS, LLC",LLC,Active,1342992,2022-03-31,21 WINDY HILL LANE,ROCKY HILL,United States,06067,CT,avalente@groupvsolutions.com,Domestic,2020-05-01,CT,Connecticut,True,False,False,False,False,Other Management Consulting Services (541618),541618.0,2021-11-10 00:08:39.5600000,,,,,,,,,,,,,,,,,,,,,,,
FITNESS COACHES COLLECTIVE LLC,LLC,Active,1342993,2021-03-31,9 LAUREL DRIVE,BROOKFIELD,United States,06804,CT,MELISSA@CROSSFIT203.COM,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,Sports and Recreation Instruction (611620),611620.0,2021-11-10 00:08:39.5600000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
INTERNATIONAL ASSOCIATION OF EATING DISORDER PROFESSIONALS NEW HAVEN HARTFORD CHAPTER INC,Non-Stock,Active,1342995,2021-06-17,110 CORBIN ROAD,HAMDEN,United States,06517,CT,IAEDPCONNECTICUT@GMAIL.COM,Domestic,2020-05-01,CT,Connecticut,True,False,False,True,False,Educational Support Services (611710),611710.0,2021-11-10 00:08:39.5600000,No Agent,Failure to appoint or maintain an agent for service,,,,,,,,,,,,,,,,,,,,,
"HEALTHY SOUL PROPERTIES, LLC",LLC,Active,1342996,2022-03-31,134 DEERFIELD AVE,WATERBURY,United States,06708,CT,jbrine@kurienouellette.com,Domestic,2020-05-01,CT,Connecticut,True,False,True,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:39.5600000,,,,,,,,,,,,,,,,,,,,,,,
BERRY SHORES PRODUCTION LLC.,LLC,Active,1342998,2021-03-31,60 BANK STREET,NEW LONDON,United States,06320,CT,TERESABERRY05@YAHOO.COM,Domestic,2020-05-01,CT,Connecticut,True,False,True,False,False,All Other Amusement and Recreation Industries (713990),713990.0,2021-11-10 00:08:39.5600000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
MAIN STREET WELLNESS GROUP LLC,LLC,Dissolved,1342999,2021-03-31,1153 MAIN ST,COVENTRY,United States,06238,CT,COVENTRYMAINSTREETWELLNESS@GMAIL.COM,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:08:39.5600000,,,,2021-07-27T00:00:00.000,,,,,,,,,,,,,,,,,,,
VS AUTO SALES LLC,LLC,Active,1343000,2021-03-31,29 CHALK HILL RD,MONROE,United States,06468,CT,SANDISVIV@YAHOO.COM,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,Used Car Dealers (441120),441120.0,2021-11-10 00:08:39.5600000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
INNIO JENBACHER NORTH AMERICA LLC,LLC,Active,1343006,2022-03-31,"WESTWAY PLAZA, 11330 CLAY ROAD SUITE 310",HOUSTON,United States,77041,TX,CLS-CTARMSEVIDENCE@WOLTERSKLUWER.COM,Foreign,2020-05-01,DE,DE,False,False,False,False,False,Industrial Machinery and Equipment Merchant Wholesalers (423830),,2021-11-10 00:08:40.1066667,,,,,2020-04-06,INNIO JENBACHER NORTH AMERICA LLC,United States,"CORPORATION TRUST COMPANY 1209 ORANGE STREET, WILMINGTON, DE, 19807, United States",CORPORATION TRUST COMPANY 1209 ORANGE STREET,WILMINGTON,DE,19807,United States,"CORPORATION TRUST COMPANY 1209 ORANGE STREET, WILMINGTON, DE, 19807, United States",CORPORATION TRUST COMPANY 1209 ORANGE STREET,WILMINGTON,DE,19807,United States,,,,
