name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,total_authorized_shares,began_transacting_in_ct,business_name_in_state_country,country_formation,dissolution_date,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,billing_unit,category_survey_email_address,date_of_organization_meeting,reason_for_administrative,mailing_international_address,office_jurisdiction_3
MOON BABY GEAR SERVICES LLC,LLC,Active,Annual report past due,1340225,2021-03-31,64 SILO WAY,BLOOMFIELD,United States,06002,CT,ANTONIUS.NEWMAN@GMAIL.COM,Domestic,2020-06-01,CT,Connecticut,False,False,True,False,False,Reupholstery and Furniture Repair (811420),811420.0,2021-11-10 00:08:35.0600000,,,,,,,,,,,,,,,,,,,,,,,
STALLINGS TAX SERVICE LLC,LLC,Active,,1345475,2022-03-31,55 ASHLEY STREET,HARTFORD,United States,06105,CT,STALLINGSTAXSRVC@ATT.NET,Domestic,2020-06-01,CT,Connecticut,True,False,True,False,False,Tax Preparation Services (541213),541213.0,2021-11-10 00:08:42.0766667,,,,,,,,,,,,,,,,,,,,,,,
SAVE TERRY CONNERS LLC,LLC,Active,Annual report past due,1345714,2021-03-31,92 NEWFIELD DRIVE,STAMFORD,United States,06905,CT,DOUGROMANO8@GMAIL.COM,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,2021-11-10 00:08:44.7933333,,,,,,,,,,,,,,,,,,,,,,,
JKC LAND DEVELOPMENT LLC,LLC,Active,,1345719,2022-03-31,9 HILL TOP,BURLINGTON,United States,06013,CT,scottm@sbm-llc.com,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,New Housing For-Sale Builders (236117),236117.0,2021-11-10 00:08:44.7933333,,,,,,,,,,,,,,,,,,,,,,,
LIQUIDATION CENTER CORP,Stock,Active,Annual report past due,1345720,2021-06-01,58 OLD GRAYS BRIDGE RD,BROOKFIELD,,06804,CT,,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:44.7933333,200.0,,,,,,,,,,,,,,,,,,,,,,
"THE PONDEROSA RANCH, LLC",LLC,Active,,1345721,2022-03-31,377-373- 361 CROSS HIGHWAY,FAIRFIELD,United States,06824,CT,llcmembermanagerllc@gmail.com,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,Beef Cattle Ranching and Farming (112111),112111.0,2021-11-10 00:08:44.7933333,,,,,,,,,,,,,,,,,,,,,,,
EVO LUXE BEAUTY LLC,LLC,Active,Annual report past due,1345722,2021-03-31,637 COVE ROAD UNIT C12,STAMFORD,United States,06902,CT,THEEVOLUXEBEAUTY@GMAIL.COM,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,"Cosmetics, Beauty Supplies, and Perfume Stores (446120)",446120.0,2021-11-10 00:08:44.7933333,,,,,,,,,,,,,,,,,,,,,,,
TMC CARPENTRY LLC,LLC,Active,Annual report past due,1345723,2021-03-31,269 CATO CORNER RD.,COLCHESTER,United States,06415,CT,TIM.TMC.CARPENTRY@GMAIL.COM,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),236118.0,2021-11-10 00:08:44.7933333,,,,,,,,,,,,,,,,,,,,,,,
"BASLEE ENGINEERING SOLUTIONS (BES), INC.",Stock,Active,,1345725,2022-06-01,19111 ROSEWOOD CREEK WAY,TAMPA,United States,33647,FL,DILIP@BESINCENG.COM,Foreign,2020-06-01,FL,FL,False,False,False,False,False,Engineering Services (541330),541330.0,2021-11-10 00:08:44.8266667,,2020-06-01,"BASLEE ENGINEERING SOLUTIONS (BES), INC.",United States,,,,,,,,,,,,,,,,,,,
MELLITZ FAMILY LLC,LLC,Active,,1345726,2022-03-31,20 WESTCLIFF DRIVE,WEST HARTFORD,United States,06117,CT,jamellitz@aol.com,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,Offices of Other Holding Companies (551112),551112.0,2021-11-10 00:08:44.8266667,,,,,,,,,,,,,,,,,,,,,,,
