name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,dissolution_date,began_transacting_in_ct,business_name_in_state_country,country_formation,category_survey_email_address,total_authorized_shares,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,billing_unit,date_of_organization_meeting,reason_for_administrative,mailing_international_address
"200 BUCKINGHAM STREET, LLC",LLC,Active,Annual report past due,1349320,2021-03-31,16 FREDERICK STREET FIRST FLOOR,WATERBURY,United States,06710,CT,WATERBURYWRECKINGLLC@GMAIL.COM,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,Nonresidential Property Managers (531312),531312.0,2021-11-10 00:08:45.5133333,,,,,,,,,,,,,,,,,,,,,,
STATE PIZZA LLC,LLC,Dissolved,,1349322,2021-03-31,2642 STATE STREET,HAMDEN,United States,06517,CT,MUNIR.G.DALAL@GMAIL.COM,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,Limited-Service Restaurants (722513),722513.0,2021-11-10 00:08:45.5133333,2021-06-21T00:00:00.000,,,,,,,,,,,,,,,,,,,,,
"TRANSFINANCIAL COMPANIES, INC.",Stock,Withdrawn,,1349323,2021-07-01,7922 PICARDY AVENUE,BATON ROUGE,United States,70809,LA,KSCHROLL@TRANSFINANCIALCO.COM,Foreign,2020-07-01,LA,LA,False,False,False,False,False,Collection Agencies (561440),561440.0,2021-11-10 00:08:45.5133333,,2020-07-13,"TRANSFINANCIAL COMPANIES, INC.",United States,,,,,,,,,,,,,,,,,,
WILY PAINTING SERVICE LLC,LLC,Active,Annual report due,1349326,2022-03-31,55 OSBORNE STREET,DANBURY,United States,06810,CT,mcjmultiservices@gmail.com,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:08:45.5600000,,,,,mcjmultiservices@gmail.com,,,,,,,,,,,,,,,,,
A & T PAVING ENTERPRISES LLC,LLC,Active,,1349329,2022-03-31,119 MALTBY STREET,SHELTON,United States,06484,CT,atpavingllc@gmail.com,Domestic,2020-07-01,CT,Connecticut,True,True,True,False,False,"Other Foundation, Structure, and Building Exterior Contractors (238190)",238190.0,2021-11-10 00:08:45.5600000,,,,,,,,,,,,,,,,,,,,,,
DAVIS GROUND TRANSPORT LLC,LLC,Active,,1349331,2022-03-31,80 SMALLEY ST 1ST FL,NEW BRITAIN,United States,06051,CT,Davislogtran@gmail.com,Domestic,2020-07-01,CT,Connecticut,True,False,True,False,False,"General Freight Trucking, Long-Distance, Truckload (484121)",484121.0,2021-11-10 00:08:45.5600000,,,,,,,,,,,,,,,,,,,,,,
"NUSTART ENTERPRISES, LLC",LLC,Active,,1349332,2022-03-31,1245 FARMINGTON AVENUE STE 1071,WEST HARTFORD,United States,06107,CT,nustartenterprises@gmail.com,Domestic,2020-07-01,CT,Connecticut,True,False,True,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:45.5600000,,,,,,,,,,,,,,,,,,,,,,
BEESPOKE CAPITAL INC.,Stock,Active,Annual report past due,1349333,2022-05-13,"66 GLENBROOK ROAD, SUITE T327",STAMFORD,United States,06902,CT,YLEE37@HOTMAIL.COM,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,Investment Advice (523930),523930.0,2021-11-10 00:08:45.5600000,,,,,,100000.0,,,,,,,,,,,,,,,,
BERKSHIRE BEEF JERKY LLC,LLC,Active,,1349334,2022-03-31,337 C NORFOLK RD,EAST CANAAN,United States,06024,CT,Berkshirebeefjerky@gmail.com,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,Dried and Dehydrated Food Manufacturing (311423),311423.0,2021-11-10 00:08:46.0433333,,,,,,,,,,,,,,,,,,,,,,
"BRUCE'S AUTO SHOP, LLC",LLC,Active,,1349336,2022-03-31,77 SOUTH STREET,NEW BRITAIN,United States,06051,CT,BFRYE51@SBCGLOBAL.NET,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,All Other Automotive Repair and Maintenance (811198),811198.0,2021-11-10 00:08:46.0433333,,,,,,,,,,,,,,,,,,,,,,
TEPLITZKY MANAGEMENT GROUP LLC,LLC,Active,,1349338,2022-03-31,1 BRADLEY RD BLDG 600,WOODBRIDGE,United States,06525,CT,jeffrey@teplitzky.com,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,"Corporate, Subsidiary, and Regional Managing Offices (551114)",551114.0,2021-11-10 00:08:46.0433333,,,,,,,,,,,,,,,,,,,,,,
"GPG PROPERTIES, LLC",LLC,Active,Annual report past due,1349339,2021-03-31,55 LEWIS STREET STE 7,GREENWICH,United States,06830,CT,GREENWICHPROPERTYGROUP@GMAIL.COM,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:46.0433333,,,,,,,,,,,,,,,,,,,,,,
SAIGE PROPERTIES LLC,LLC,Active,,1349342,2022-03-31,27 WOODLAND DRIVE,DURHAM,United States,06422,CT,LIZM.BOOKKEEPING@GMAIL.COM,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:46.0433333,,,,,,,,,,,,,,,,,,,,,,
3445 MAIN STREET LLC,LLC,Active,,1349343,2022-03-31,3445 MAIN STREET,HARTFORD,United States,06347,CT,shahaniinc@gmail.com,Domestic,2020-07-01,CT,Connecticut,False,False,True,False,False,Lessors of Other Real Estate Property (531190),531190.0,2021-11-10 00:08:46.0433333,,,,,,,,,,,,,,,,,,,,,,
"KR 46 MUNICIPAL ROAD, LLC",LLC,Active,,1349345,2022-03-31,15 MULLEN ROAD,ENFIELD,United States,06082,CT,lswedis@usarecycle.com,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),,2021-11-10 00:08:46.0900000,,,,,,,,,,,,,,,,,,,,,,
ALMOST ANEETHING LLC,LLC,Active,Annual report past due,1349346,2021-03-31,392 NORWICH AVE,TAFTVILLE,United States,06380,CT,EFILE1234@INCFILE.COM,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:46.0900000,,,,,,,,,,,,,,,,,,,,,,
