name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,sub_status,dissolution_date,category_survey_email_address,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,billing_unit,total_authorized_shares,date_of_organization_meeting,reason_for_administrative,mailing_jurisdiction_3,office_jurisdiction_3,mailing_international_address
"HONKY TONK HOTSHOTS, LLC",LLC,Active,1353378,2022-03-31,23 SANDY HOLLOW ROAD,LEDYARD,United States,06339,CT,HonkyTonkHotshots@gmail.com,Domestic,2020-08-01,CT,Connecticut,False,True,False,False,False,"Promoters of Performing Arts, Sports, and Similar Events without Facilities (711320)",711320.0,2021-11-10 00:12:38.9300000,,,,,,,,,,,,,,,,,,,,,,,,,
"KATCO TRANSPORTATION, LLC",LLC,Active,1353379,2021-03-31,4321 AVALON GATES,TRUMBULL,United States,06611,CT,JOHNNY_DANIELSJR@YAHOO.COM,Domestic,2020-08-01,CT,Connecticut,False,True,True,True,False,"General Freight Trucking, Long-Distance, Truckload (484121)",484121.0,2021-11-10 00:12:38.9300000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
BALLI LLC,LLC,Active,1353380,2021-03-31,84 LINCOLN TERRACE,BLOOMFIELD,United States,06002,CT,BALLI.ENTERPRISE@GMAIL.COM,Domestic,2020-08-01,CT,Connecticut,True,False,True,False,False,Lessors of Other Real Estate Property (531190),531190.0,2021-11-10 00:12:38.9300000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
J & B LAWNCARE SERVICES LLC,LLC,Active,1353381,2021-03-31,213 ORONOKE RD,WATERBURY,United States,06708,CT,JRTAXPREPARER@GMAIL.COM,Domestic,2020-08-01,CT,Connecticut,False,False,False,False,False,Landscaping Services (561730),561730.0,2021-11-10 00:12:38.9300000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"SANDLOT INVESTMENTS, LLC",LLC,Active,1353382,2022-03-31,19 CUTLERS FARM RD,MONROE,United States,06468,CT,sgentile203@gmail.com,Domestic,2020-08-01,CT,Connecticut,False,False,False,False,False,Offices of Other Holding Companies (551112),551112.0,2021-11-10 00:12:38.9300000,,,,,,,,,,,,,,,,,,,,,,,,,
VISTA HOME TOURS LLC,LLC,Active,1353383,2021-03-31,44 DEAN DRIVE,NEWINGTON,United States,06111,CT,JDELFINO88@YAHOO.COM,Domestic,2020-08-01,CT,Connecticut,False,False,False,False,False,Photofinishing Laboratories (except One-Hour) (812921),812921.0,2021-11-10 00:12:38.9300000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
D COLORS DAYCARE LLC,LLC,Active,1353384,2021-03-31,121 FROST RD,WATERBURY,United States,06705,CT,JRTAXPREPARER@GMAIL.COM,Domestic,2020-08-01,CT,Connecticut,False,False,False,False,False,Child Day Care Services (624410),624410.0,2021-11-10 00:12:39.6200000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
MAS QUE UN DAYCARE ES MI CUNA DE AMOR LLC,LLC,Active,1353385,2021-03-31,108 WOLCOTT ST 3RD FLOOR,WATERBURY,United States,06705,CT,JRTAXPREPARER@GMAIL.COM,Domestic,2020-08-01,CT,Connecticut,False,False,False,False,False,Child Day Care Services (624410),624410.0,2021-11-10 00:12:39.6200000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
PRODIGY HOME RENOVATION LLC,LLC,Active,1353387,2021-03-31,40 CUMBERLAND DR,EAST HARTFORD,United States,06118,CT,PRODIGY.RENO@GMAIL.COM,Domestic,2020-08-01,CT,Connecticut,False,False,True,False,False,Residential Remodelers (236118),236118.0,2021-11-10 00:12:39.6200000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
FRANCISCO HERRERA MASONRY LLC,LLC,Active,1353388,2021-03-31,52 BROWN ST 3RD FLOOR,HARTFORD,United States,06114,CT,MARK_JACOB_LEE@YAHOO.COM,Domestic,2020-08-01,CT,Connecticut,False,False,False,False,False,Masonry Contractors (238140),238140.0,2021-11-10 00:12:39.6200000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
379 PROSPECT LLC,LLC,Active,1353389,2022-03-31,7 BROOK HILL RD,LITCHFIELD,United States,06759,CT,roseblondin@gmail.com,Domestic,2020-08-01,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:39.6200000,,,,,,,,,,,,,,,,,,,,,,,,,
"BRONSON CAPITAL, LLC",LLC,Dissolved,1353390,2021-03-31,249 WEAVER STREET 2C,GREENWICH,United States,06831,CT,MIKEBURKE88@GMAIL.COM,Domestic,2020-08-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:39.6200000,,2021-02-08T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,
HOMMES LLC,LLC,Active,1353391,2021-03-31,35 ROCKAWAY AVENUE,STRATFORD,United States,06615,CT,HOMMES.LLC@GMAIL.COM,Domestic,2020-08-01,CT,Connecticut,False,True,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:39.6200000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
TWENTY8TEEN LLP,LLP,Active,1353392,2021-08-01,"511 MAIN ST, APT 14",WEST HAVEN,United States,06516,CT,THEOFFICIALSCEE@GMAIL.COM,Domestic,2020-08-01,CT,Connecticut,True,False,True,False,False,Women's Clothing Stores (448120),448120.0,2021-11-10 00:12:39.6200000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
PRETTYBELLA TREASURES LLC.,LLC,Active,1353393,2022-03-31,30 NUTMEG LN APT 202,EAST HARTFORD,United States,06118,CT,prettybellatreasures@gmail.com,Domestic,2020-08-01,CT,Connecticut,True,False,True,False,False,All Other General Merchandise Stores (452319),452319.0,2021-11-10 00:12:39.6200000,,,,,,,,,,,,,,,,,,,,,,,,,
THE SIMPLE BUG LLC,LLC,Active,1353394,2022-03-31,39 CANDLEWOOD VISTA,NEW MILFORD,United States,06776,CT,thesimplebug@gmail.com,Domestic,2020-08-01,CT,Connecticut,True,False,True,False,False,"Gift, Novelty, and Souvenir Stores (453220)",453220.0,2021-11-10 00:12:39.6200000,,,thesimplebug@gmail.com,,,,,,,,,,,,,,,,,,,,,,
THE WHALE TEA US LLC,LLC,Active,1353395,2022-03-31,20 DOGWOOD CIR,WOODBRIDGE,United States,06525,CT,fwcaccounting@yahoo.com,Domestic,2020-08-01,CT,Connecticut,False,False,False,False,False,Other Grocery and Related Products Merchant Wholesalers (424490),424490.0,2021-11-10 00:12:39.6200000,,,,,,,,,,,,,,,,,,,,,,,,,
131-135 CAROLINE STREET LLC,LLC,Active,1353396,2022-03-31,606 POST RD EAST UNIT 533,WESTPORT,United States,06880,CT,CHRIS@EMERALDISLE-GC.COM,Domestic,2020-08-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:39.6200000,,,contact@lawofficesjje.com,,,,,,,,,,,,,,,,,,,,,,
VIKTOR LLC,LLC,Active,1353438,2021-03-31,574 ASHFORD CENTER RD,ASHFORD,United States,06278,CT,VIKTOR1063.63@MAIL.RU,Domestic,2020-08-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:42.0100000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
VI LIFE CBD LLC,LLC,Active,1353439,2022-03-31,28 ROSE LANE UNIT 24,DANBURY,United States,06811,CT,makeda.browne@gmail.com,Domestic,2020-08-01,CT,Connecticut,True,False,True,False,False,All Other Health and Personal Care Stores (446199),446199.0,2021-11-10 00:12:42.0100000,,,,,,,,,,,,,,,,,,,,,,,,,
JN CAPITAL HOLDINGS LLC,LLC,Active,1353451,2022-03-31,122 NEW PARK AVE,HARTFORD,United States,06106,CT,ngoj84@gmail.com,Domestic,2020-08-01,CT,Connecticut,False,False,False,False,False,"Financial Transactions Processing, Reserve, and Clearinghouse Activities (522320)",522320.0,2021-11-10 00:12:42.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
DAIS LLC,LLC,Active,1353452,2021-03-31,6 CAROTHERS LANE,NORWALK,United States,06851,CT,PHANORDDIEUNITE@GMAIL.COM,Domestic,2020-08-01,CT,Connecticut,True,False,True,False,False,Limited-Service Restaurants (722513),722513.0,2021-11-10 00:12:42.0233333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"BMS CAT OF NEW JERSEY, LLC",LLC,Active,1353455,2022-03-31,"10 WASHINGTON AVE., STE. B",FAIRFIELD,United States,07004,NJ,bmstax@bmscat.com,Foreign,2020-08-01,TX,TX,False,False,False,False,False,Remediation Services (562910),562910.0,2021-11-10 00:12:42.6966667,,,,2020-08-01,"BMS CAT OF NEW JERSEY, LLC",United States,"5718 AIRPORT FREEWAY, HALTOM CITY, TX, 76117, United States",5718 AIRPORT FREEWAY,HALTOM CITY,TX,76117,United States,"5718 AIRPORT FREEWAY, HALTOM CITY, TX, 76117, United States",5718 AIRPORT FREEWAY,HALTOM CITY,TX,76117,United States,,,,,,,
