name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,began_transacting_in_ct,business_name_in_state_country,country_formation,total_authorized_shares,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,reason_for_administrative,category_survey_email_address,billing_unit,date_of_organization_meeting,mailing_international_address
JMA CONSTRUCTION LLC,LLC,Active,Annual report past due,1357139,2021-03-31,112 HAYESTOWN RD,DANBURY,United States,06810,CT,GENERALHELPCT@GMAIL.COM,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:12:45.2300000,,,,,,,,,,,,,,,,,,,,,,
550 GEORGE STREET LLC,LLC,Active,Annual report past due,1357149,2021-03-31,272 DWIGHT STREET,NEW HAVEN,United States,06511,CT,RABBI@CHABADYALE.ORG,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:45.3533333,,,,,,,,,,,,,,,,,,,,,,
TEAM JOHN FOUNDATION INC,Non-Stock,Active,First report past due,1357150,2020-11-30,No information provided,,,,,JKRAUSE@TEAMJOHN.ORG,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,Other Grantmaking and Giving Services (813219),813219.0,2021-11-10 00:12:45.3533333,,,,,,,,,,,,,,,,,,,,,,
STAR BROTHERS INC,LLC,Active,,1357151,2022-03-31,295 HAMPTON CT,NEWINGTON,United States,06111,CT,BABAR413@GMAIL.COM,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,All Other General Merchandise Stores (452319),452319.0,2021-11-10 00:12:45.3533333,,,,,,,,,,,,,,,,,,,,,,
RED CEDAR LLC,LLC,Active,,1357152,2022-03-31,103 SLICE DRIVE,STAMFORD,United States,06907,CT,victor.yankovsky@redcedarfund.com,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,Portfolio Management (523920),523920.0,2021-11-10 00:12:45.3533333,,,,,,,,,,,,,,,,,,,,,,
"KESSER TORAH ESTATES ASSOCIATION, INC.",Non-Stock,Active,First report past due,1357156,2020-11-30,No information provided,,,,,RICHARD.BRAUNSTEIN@TOURO.EDU,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:45.3533333,,,,,,,,,,,,,,,,,,,,,,
D&P US HOLDING CORPORATION,Stock,Active,,1357157,2022-09-01,55 EAST 52ND STREET 17TH FLOOR,NEW YORK,United States,10055,NY,CITCODUF@CITCO.COM,Foreign,2020-09-01,DE,DE,False,False,False,False,False,Offices of Other Holding Companies (551112),551112.0,2021-11-10 00:12:45.3533333,2020-09-01,D&P US HOLDING CORPORATION,United States,,,,,,,,,,,,,,,,,,,
ELITE GROUP MANAGEMENT LLC,LLC,Active,,1357159,2022-03-31,15 GREAT MEADOW ROAD,DANBURY,United States,06811,CT,elitegroupmgmt@gmail.com,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,Janitorial Services (561720),561720.0,2021-11-10 00:12:45.3533333,,,,,,,,,,,,,,,,,,,,,,
THECOURAGEFITNESS LLC,LLC,Active,,1357160,2022-03-31,262 SISSON AVE,HARTFORD,United States,06105,CT,eastern@registeredagentsinc.com,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,Fitness and Recreational Sports Centers (713940),,2021-11-10 00:12:45.3533333,,,,,,,,,,,,,,,,,,,,,,
"RISE PSYCHOLOGICAL AND THERAPEUTIC SERVICES, LLC",LLC,Active,Annual report past due,1357164,2021-03-31,998 FARMINGTON AVENUE SUITE 100A LL,WEST HARTFORD,United States,06107,CT,CHARRISON12345@YAHOO.COM,Domestic,2020-09-01,CT,Connecticut,False,False,True,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),621330.0,2021-11-10 00:12:45.9633333,,,,,,,,,,,,,,,,,,,,,,
"EC-MOBILE, LLC",LLC,Active,,1357165,2022-03-31,"542 HOPMEADOW STREET, SUITE #234",SIMSBURY,United States,06070,CT,INFO@HMTAXPREP.COM,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,Custom Computer Programming Services (541511),541511.0,2021-11-10 00:12:45.9633333,,,,,,,,,,,,,,,,,,,,,,
JAZZY SERVICES LLC,LLC,Active,Annual report past due,1357166,2021-03-31,373 WAUREGAN RD,DANIELSON,United States,06239,CT,EFILE1234@INCFILE.COM,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:45.9633333,,,,,,,,,,,,,,,,,,,,,,
MRF CONSULTING LLC,LLC,Active,,1357167,2022-03-31,545 TAHMORE DR,FAIRFIELD,United States,06825,CT,EFILE1234@INCFILE.COM,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),,2021-11-10 00:12:45.9633333,,,,,,,,,,,,,,,,,,,,,,
PIE 49 BENTON LLC,LLC,Active,,1357168,2022-03-31,653 LIBERTY AVE,JERSEY CITY,United States,07307,NJ,PIEPROPERTIES.NY@GMAIL.COM,Domestic,2020-09-01,NJ,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:45.9633333,,,,,,,,,,,,,,,,,,,,,,
FOODIES MANCHESTER LLC,LLC,Active,Annual report past due,1357171,2021-03-31,412 B MIDDLE TURNPIKE,BRISTOL,United States,06040,CT,MARK@FOODIESCT.COM,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,Full-Service Restaurants (722511),722511.0,2021-11-10 00:12:45.9633333,,,,,,,,,,,,,,,,,,,,,,
CDJ X OF BRIDGEPORT LLC,LLC,Active,,1357172,2022-03-31,4086 MAIN ST,BRIDGEPORT,United States,06606,CT,DONGHUANG0404@GMAIL.COM,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,Full-Service Restaurants (722511),722511.0,2021-11-10 00:12:45.9633333,,,,,,,,,,,,,,,,,,,,,,
"MVM PAINTING, LLC",LLC,Active,Annual report past due,1357173,2021-03-31,48 LIMERICK ST,STAMFORD,United States,06902,CT,MVMPAINTINGLLC@GMAIL.COM,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,Painting and Wall Covering Contractors (238320),238320.0,2021-11-10 00:12:45.9633333,,,,,,,,,,,,,,,,,,,,,,
BASKETS MANCHESTER LLC,LLC,Active,Annual report past due,1357174,2021-03-31,412 B MIDDLE TURNPIKE,MANCHESTER,United States,06040,CT,MARK@BASKETSCO.COM,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,"Gift, Novelty, and Souvenir Stores (453220)",453220.0,2021-11-10 00:12:45.9633333,,,,,,,,,,,,,,,,,,,,,,
