name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,dissolution_date,total_authorized_shares,billing_unit,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,date_of_organization_meeting,category_survey_email_address,reason_for_administrative,mailing_jurisdiction_3,office_jurisdiction_3,mailing_international_address,mailing_address
GIFTS GALORE LLC,LLC,Active,Annual report past due,1364707,2021-03-31,32 OLD FOXON RD APT 50,EAST HAVEN,United States,06513,CT,NMASONAUTHOR@GMAIL.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:12:43.4000000,,,,,,,,,,,,,,,,,,,,,,,,,
COPPER ROSE FORGE LLC,LLC,Active,Annual report past due,1364708,2021-03-31,45 STEVENS RD,KILLINGWORTH,United States,06419,CT,COPPERROSEFORGE@HOTMAIL.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,All Other Miscellaneous Fabricated Metal Product Manufacturing (332999),332999.0,2021-11-10 00:12:43.4000000,,,,,,,,,,,,,,,,,,,,,,,,,
24 JENNA RD LLC,LLC,Active,Annual report past due,1364718,2021-03-31,19 W POPLAR RD,MIDDLETOWN,United States,06457,CT,24JENNARD@GMAIL.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),531311.0,2021-11-10 00:12:44.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
CASEY SULLIVAN CUSTOMS LLC,LLC,Active,,1364719,2022-03-31,884 HIGHLAND AVE,CHESHIRE,United States,06410,CT,Caseysullivancustoms@yahoo.com,Domestic,2020-11-02,CT,Connecticut,False,False,True,True,False,Residential Remodelers (236118),236118.0,2021-11-10 00:12:44.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
DYMONDE CONSULTANTS & PROFESSIONAL SERVICES LLC,LLC,Active,,1364721,2022-03-31,680 E MAIN STREET #592,STAMFORD,United States,06901,CT,DymondeConsultants@gmail.com,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),541611.0,2021-11-10 00:12:44.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
O KITCHEN MANUFACTURED LTD,Stock,Dissolved,,1364728,2021-01-31,No information provided,,,,,JASSBO@AOL.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,All Other Miscellaneous Manufacturing (339999),339999.0,2021-11-10 00:12:44.0233333,2021-07-27T00:00:00.000,100.0,,,,,,,,,,,,,,,,,,,,,,,
"ABRAXAS, LLC",LLC,Active,Annual report past due,1364729,2021-03-31,40 BALAZS ROAD,WILLINGTON,United States,06279,CT,ETHAN.GRISWOLD@GMAIL.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:44.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
MY GOOD MAN LLC,LLC,Active,,1364734,2022-03-31,4 ALFREDSON LANE,SHERMAN,United States,06784,CT,jspannhake@bnrllp.com,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),,2021-11-10 00:12:44.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
MARATHON TONE LLC,LLC,Active,,1364737,2022-03-31,141 SHEFFIELD AVE APT7A,NEW HAVEN,United States,06511,CT,EFILE1234@INCFILE.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Long-Distance, Truckload (484121)",,2021-11-10 00:12:34.9300000,,,,,,,,,,,,,,,,,,,,,,,,,
BOUGIE BUNNI LLC,LLC,Active,Annual report past due,1364738,2021-03-31,230 GRAND AVE UNIT 96,NEW HAVEN,United States,06513,CT,EFILE1234@INCFILE.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:34.9300000,,,,,,,,,,,,,,,,,,,,,,,,,
CTMA TRUCKING LLC,LLC,Active,,1364739,2022-03-31,65 ALBANY AVE APT 2,NEW BRITAIN,United States,06053,CT,EFILE1234@INCFILE.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Long-Distance, Truckload (484121)",,2021-11-10 00:12:34.9300000,,,,,,,,,,,,,,,,,,,,,,,,,
DABASIRE LLC,LLC,Active,,1364740,2022-03-31,99 MAPLEWOOD DR,MONROE,United States,06468,CT,EFILE1234@INCFILE.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),,2021-11-10 00:12:34.9300000,,,,,,,,,,,,,,,,,,,,,,,,,
CITY DISCOUNT TIRE LLC,LLC,Active,Annual report past due,1364741,2021-03-31,140 INDUSTRY LN,WATERBURY,United States,06704,CT,EFILE1234@INCFILE.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:34.9300000,,,,,,,,,,,,,,,,,,,,,,,,,
DESTINED FOR GREATNESS LLC,LLC,Active,Annual report past due,1364742,2021-03-31,133 GAIL DR,WATERBURY,United States,06704,CT,EFILE1234@INCFILE.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:34.9300000,,,,,,,,,,,,,,,,,,,,,,,,,
DUSTIN MALSTROM LLC,LLC,Active,,1364743,2022-03-31,4 DAVENPORT AVE,WESTPORT,United States,06880,CT,studio@dustinmalstrom.com,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Architectural Services (541310),,2021-11-10 00:12:34.9300000,,,,,,,,,,,,,,,,,,,,,,,,,
"PASARD CONSTRUCTION, INC.",Stock,Active,First report past due,1364744,2021-01-31,No information provided,,,,,CLS@CLSI.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Commercial and Institutional Building Construction (236220),236220.0,2021-11-10 00:12:34.9300000,,10000.0,,,,,,,,,,,,,,,,,,,,,,,
