name,business_type,status,accountnumber,annual_report_due_date,began_transacting_in_ct,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,business_name_in_state_country,citizenship,country_formation,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,dissolution_date,sub_status,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,total_authorized_shares,category_survey_email_address,billing_unit,date_of_organization_meeting,mailing_jurisdiction_3,office_jurisdiction_3
WELLA OPERATIONS US LLC,LLC,Active,1364999,2022-03-31,2020-12-01,4500 PARK GRANADA SUITE 100,CALABASAS,United States,91320,CA,Compliancemail@cscinfo.com,WELLA OPERATIONS US LLC,Foreign,United States,2020-12-01,DE,DE,False,False,False,False,False,Drugs and Druggists' Sundries Merchant Wholesalers (424210),424210.0,2021-11-10 00:10:38.2466667,,,,,,,,,,,,,,,,,,,,
PINE GROVE DINER LLC,LLC,Dissolved,1367952,2021-03-31,,78 LAKE AVE,DANBURY,United States,06810,CT,PINEGROVEDINER@GMAIL.COM,,Domestic,,2020-12-01,CT,Connecticut,True,False,True,False,False,Full-Service Restaurants (722511),722511.0,2021-11-10 00:10:38.2466667,2021-03-09T00:00:00.000,,,,,,,,,,,,,,,,,,,
CHICKEN CHARLIES LLC,LLC,Active,1367953,2022-03-31,,364 WEST PUTNAM AVE,GREENWICH,United States,06830,CT,joefrescofoods@yahoo.com,,Domestic,,2020-12-01,CT,Connecticut,True,False,True,False,False,Limited-Service Restaurants (722513),722513.0,2021-11-10 00:10:38.2466667,,,,,,,,,,,,,,,,,,,,
CAPTAIN AMERICA LLP,LLP,Active,1367954,2021-12-01,,55 HAMPTON CLOSE,FAIRFIELD,United States,06477,CT,TREZHAWK@AOL.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:10:38.2466667,,Annual report due,,,,,,,,,,,,,,,,,,
J I EXPRESS INC,Stock,Active,1367957,2021-12-01,2020-11-15,1259 HYDE PARK AVE STE 126,BOSTON,United States,02136,MA,JIEXPRESS123@GMAIL.COM,J I EXPRESS INC,Foreign,United States,2020-12-01,MA,MA,False,False,False,False,False,,,2021-11-10 00:10:38.2466667,,Annual report due,,,,,,,,,,,,,,,,,,
"C & L INSPECTION, LLC",LLC,Active,1367958,2022-03-31,2020-12-01,901 INDUSTRIAL DR W,SULPHUR SPRINGS,United States,75482,TX,eastern@registeredagentsinc.com,"C & L INSPECTION, LLC",Foreign,United States,2020-12-01,TX,TX,False,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,2021-11-10 00:10:38.2466667,,,"901 INDUSTRIAL DR W, SULPHUR SPRINGS, TX, 75482, United States",901 INDUSTRIAL DR W,SULPHUR SPRINGS,TX,75482.0,United States,"901 INDUSTRIAL DR W, SULPHUR SPRINGS, TX, 75482, United States",901 INDUSTRIAL DR W,SULPHUR SPRINGS,TX,75482.0,United States,,,,,,
THE LOST MAINE GIRL LLC,LLC,Active,1367977,2022-03-31,,38 JEFFREY ALAN DRIVE,MANCHESTER,United States,06042,CT,Thelostmainegirl@gmail.com,,Domestic,,2020-12-01,CT,Connecticut,True,True,False,False,False,"Gift, Novelty, and Souvenir Stores (453220)",453220.0,2021-11-10 00:10:38.2466667,,,,,,,,,,,,,,,,,,,,
AXQ LLC,LLC,Active,1367978,2022-03-31,,18 BRIDGE ST,WESTPORT,United States,06880,CT,erin@allaboutnumbersllc.com,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),541611.0,2021-11-10 00:10:38.2466667,,,,,,,,,,,,,,,,,,,,
46 POPE STREET LLC,LLC,Active,1367979,2022-03-31,,23 SHERMAN STREET 201,FAIRFIELD,United States,06824,CT,MIKE@KFVG.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,New Housing For-Sale Builders (236117),236117.0,2021-11-10 00:10:38.2466667,,,,,,,,,,,,,,,,,,,,
STOPA REALTY GROUP  CT  INC,Stock,Active,1367981,2021-12-01,,3250 FAIRFIELD AVE APT 309,BRIDGEPORT,United States,06605,CT,JASSBO@AOL.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Offices of Real Estate Agents and Brokers (531210),531210.0,2021-11-10 00:10:38.2466667,,Annual report due,,,,,,,,,,,,,100.0,,,,,
