name,business_type,status,accountnumber,annual_report_due_date,began_transacting_in_ct,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,business_name_in_state_country,citizenship,country_formation,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,create_dt,naics_code,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,mailing_jurisdiction_country,office_in_jurisdiction_country,dissolution_date,sub_status,total_authorized_shares,date_of_organization_meeting,billing_unit,mailing_jurisdiction_3,office_jurisdiction_3
"FROZEN HARVEST INTELLIGENCE, INC.",Stock,Withdrawn,1376115,2022-02-01,2020-12-14,"60 FRANCISCO STREET,",SAN FRANCISCO,United States,94133,CA,RAISEDREAL@OFFICENGINE.COM,"FROZEN HARVEST INTELLIGENCE, INC.",Foreign,United States,2021-02-01,DE,DE,False,False,False,False,False,2021-11-10 00:05:52.1666667,,,,,,,,,,,,,,,,,,,,
ABLE & CO FINANCIAL DEVELOPMENT LLC,LLC,Active,1376114,2022-03-31,,972  POST ROAD,DARIEN,United States,06820,CT,GENE66Q@AOL.COM,,Domestic,,2021-02-01,CT,Connecticut,True,False,False,False,False,2021-11-10 00:05:53.4833333,"All Other Professional, Scientific, and Technical Services (541990)",,,,,,,,,,,,,,,,,,,
"JOARAN, LLC",LLC,Active,1377365,2022-03-31,,9 ELMWOOD COURT,NEWINGTON,,06111,CT,TAYLOR-THERAPY@LIVE.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:02.1233333,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),,,,,,,,,,,,,,,,,,,
ACCOUNTS INTERCHANGE GROUP LLC,LLC,Active,1377363,2022-03-31,2021-02-01,485 CAYUGA RD. SUITE 421,CHEEKTOWAGA,,14225,NY,ADMIN@ACCOUNTSINTERCHANGEGROUP.COM,ACCOUNTS INTERCHANGE GROUP LLC,Foreign,,2021-02-01,NY,NY,False,False,False,False,False,2021-11-10 00:05:57.4066667,Collection Agencies (561440),"485 CAYUGA RD. SUITE 421, CHEEKTOWAGA, NY, 14225,",485 CAYUGA RD. SUITE 421,CHEEKTOWAGA,NY,14225,"485 CAYUGA RD. SUITE 421, CHEEKTOWAGA, NY, 14225,",485 CAYUGA RD. SUITE 421,CHEEKTOWAGA,NY,14225,,,,,,,,,
"LESLEY FINCH DESIGNS, LLC",LLC,Active,1376049,2022-03-31,,130 OLD TOLL ROAD,MADISON,United States,06443,CT,LESLEYFINCH46@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:08.2033333,All Other Personal Services (812990),,,,,,,,,,,,,,,,,,,
BART KALINOWSKI ENTERPRISES LLC,LLC,Active,1376045,2022-03-31,2021-02-15,2 FALLSVIEW LN,BREWSTER,United States,10509,NY,BARTK1976@GMAIL.COM,BART KALINOWSKI ENTERPRISES LLC,Foreign,United States,2021-02-01,NY,NY,False,False,False,False,False,2021-11-10 00:06:08.8133333,Residential Remodelers (236118),"2 FALLSVIEW LN, BREWSTER, NY, 10509, United States",2 FALLSVIEW LN,BREWSTER,NY,10509,"2 FALLSVIEW LN, BREWSTER, NY, 10509, United States",2 FALLSVIEW LN,BREWSTER,NY,10509,United States,United States,,,,,,,
"ADA ARCHITECTS, INC.",Stock,Active,1377557,2022-02-01,2021-03-01,17710 DETROIT AVE.,LAKEWOOD,,44107-3451,OH,MSTRELAU@ADAARCHITECTS.CC,"ADA ARCHITECTS, INC.",Foreign,,2021-02-01,OH,OH,False,False,False,False,False,2021-11-10 00:06:10.6700000,Architectural Services (541310),,,,,,,,,,,,,,,,,,,
LA MANSION TETEO RECORDS LLC,LLC,Active,1376047,2022-03-31,,104 PALMER AVENUE APT 2 06902,STAMFORD,United States,06902,CT,FAJARDOJC126@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:07.4833333,Record Production and Distribution (512250),,,,,,,,,,,,,,,,,,,
EVERBRITE LLC,LLC,Active,1376176,2022-03-31,,142 ARTHUR ST,BRIDGEPORT,United States,06605,CT,EFILE1234@INCFILE.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:13.2200000,,,,,,,,,,,,,,,,,,,,
AGREED TRANSPORTS LLC,LLC,Active,1376173,2022-03-31,,48 WILLIAMSBURG RD,BRIDGEPORT,United States,06606,CT,EFILE1234@INCFILE.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:14.6866667,,,,,,,,,,,,,,,,,,,,
