name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,create_dt,dissolution_date,total_authorized_shares,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,sub_status,date_of_organization_meeting,billing_unit,reason_for_administrative,category_survey_email_address
RCA PROFESSIONAL HOME IMPROVEMENT LLC,LLC,Active,1380384,2022-03-31,53B WHALLEY AVENUE,NEW HAVEN,United States,06511,CT,RCAHOMEIMPROVEMENT@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,False,False,True,False,False,Residential Remodelers (236118),2021-11-10 00:06:01.5766667,,,,,,,,,,,,,,,,,,,,,,
"ABSTRACT OASIS, LLC",LLC,Active,1380129,2022-03-31,295 METACOMET DRIVE,BERLIN,United States,06037,CT,TONY.QUBE@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,Industrial Design Services (541420),2021-11-10 00:06:02.8100000,,,,,,,,,,,,,,,,,,,,,,
B.DESH ENTERPRISE LLC,LLC,Active,1380130,2022-03-31,1075 NEWFIELD ST.,MIDDLETOWN,United States,06457,CT,SUMANMJ2016@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,Gasoline Stations with Convenience Stores (447110),2021-11-10 00:05:58.3433333,,,,,,,,,,,,,,,,,,,,,,
ABACUS HEALTH SOLUTIONS LLC,LLC,Dissolved,1380473,2022-03-31,177 W PUTNAM AVE,GREENWICH,United States,06830,CT,MICHAEL.FOLLICK@THEABACUSGROUP.ORG,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,Offices of Physicians (except Mental Health Specialists) (621111),2021-11-10 00:05:56.2166667,2021-10-15T00:00:00.000,,,,,,,,,,,,,,,,,,,,,
ARMANDO HANDY MAN MAINTENANCE LLC,LLC,Active,1380085,2022-03-31,115 DOGWOOD LANE,DANBURY,United States,06811,CT,ESTEVEZKATIUSCA@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,Finish Carpentry Contractors (238350),2021-11-10 00:05:55.4500000,,,,,,,,,,,,,,,,,,,,,,
ACF CARE LLC,LLC,Active,1380177,2022-03-31,93 UNION STREET,BRISTOL,United States,06010,CT,ACFCARELLC@YAHOO.COM,Domestic,2021-03-01,CT,Connecticut,True,False,True,False,False,Home Health Care Services (621610),2021-11-10 00:06:02.1233333,,,,,,,,,,,,,,,,,,,,,,
JACKSON CASTLE LLC,LLC,Dissolved,1380131,2022-03-31,109 MURRAY STREET,NORWALK,United States,06851,CT,JDKOIZIM@AOL.COM,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:06:02.1233333,2021-07-22T00:00:00.000,,,,,,,,,,,,,,,,,,,,,
B & B HARDWARES FOR HOUSE IMPROVEMENTS LLC,LLC,Active,1380178,2022-03-31,49 ENGLISH LN,SHELTON,United States,06484,CT,JALVARADO@ROHUER.COM,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),2021-11-10 00:05:52.2766667,,,,,,,,,,,,,,,,,,,,,,
OUR UNBOX SHOP LLC,LLC,Active,1380086,2022-03-31,341 EAST CENTER STREET #172,MANCHESTER,United States,06040-4445,CT,INFO@OURUNBOXSHOP.COM,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),2021-11-10 00:05:56.1400000,,,,,,,,,,,,,,,,,,,,,,
MAS LOGISTICS MANAGEMENT LLC,LLC,Active,1380474,2022-03-31,47 ENSIGN STREET,EAST HARFORD,United States,06118,CT,MYA.SMALL@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Long-Distance, Less Than Truckload (484122)",2021-11-10 00:06:02.7800000,,,,,,,,,,,,,,,,,,,,,,
