name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,create_dt,naics_code,sub_status,date_of_organization_meeting,dissolution_date,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,total_authorized_shares,billing_unit,mailing_international_address,mailing_address,category_survey_email_address
ALPHA GROUP CONSULTING L.L.C.,LLC,Active,1385513,2022-03-31,22 EAST ST.,GRANBY,United States,06035,CT,COACHKALUNA@GMAIL.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:54.8100000,,,,,,,,,,,,,,,,,,,,,,,,
SHAKESPEARE IN SHARON LLC,LLC,Active,1385517,2022-03-31,82 ROUTE 55 W,SHERMAN,United States,06784,CT,JOHN.TAYLOR464@YAHOO.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:51.5100000,,,,,,,,,,,,,,,,,,,,,,,,
BEAVER 14 LLC,LLC,Active,1386446,2022-03-31,182 EAST AURORA STREET,WATERBURY,,06708,CT,GUY@PLATTABONIA.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:02.1400000,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,
RJH ELECTRIC LLC,LLC,Active,1385612,2022-03-31,1081 NEW HAVEN ROAD 9A,NAUGATUCK,United States,06770,CT,RJH7236@ICLOUD.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:54.8266667,Electrical Contractors and Other Wiring Installation Contractors (238210),,,,,,,,,,,,,,,,,,,,,,,
"SALON BELLA SOL, LLC",LLC,Active,1385516,2022-03-31,890 MAPLEWOOD AVENUE,BRIDGEPORT,United States,06605,CT,HOME4EVER1@GMAIL.COM,Domestic,2021-04-01,CT,Connecticut,False,True,False,False,False,2021-11-10 00:06:00.2966667,Beauty Salons (812112),,,,,,,,,,,,,,,,,,,,,,,
PAGEZ OF ART LLC,LLC,Active,1385670,2022-03-31,71 LUDLOW STREET APT 1,STAMFORD,United States,,CT,PAGEZOFART@GMAIL.COM,Domestic,2021-04-01,CT,Connecticut,True,False,True,False,False,2021-11-10 00:06:02.7633333,"Independent Artists, Writers, and Performers (711510)",,,,,,,,,,,,,,,,,,,,,,,
HENDRICKS ENTERPRISES LLC,LLC,Active,1385514,2022-03-31,1423 QUINNIPIAC AVENUE 906,NEW HAVEN,United States,06513,CT,HENDRICKSENTERPRISES@AOL.COM,Domestic,2021-04-01,CT,Connecticut,False,False,True,False,False,2021-11-10 00:05:57.4666667,All Other General Merchandise Stores (452319),,,,,,,,,,,,,,,,,,,,,,,
"OBSESSED CLEANING DETAILERS (OCD), LLC",LLC,Active,1385611,2022-03-31,182 BELLEVUE STREET 2,HARTFORD,United States,06120,CT,ICEQUEEN1966@YAHOO.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:56.1400000,,,,,,,,,,,,,,,,,,,,,,,,
BRUSHED BEAUTI BAR LLC,LLC,Active,1385708,2022-03-31,1162 1/2 DIXWELL AVENUE,HAMDEN,United States,06514,CT,EFILE1234@INCFILE.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:59.5933333,"All Other Professional, Scientific, and Technical Services (541990)",,,,,,,,,,,,,,,,,,,,,,,
"NHDOCS: THE NEW HAVEN DOCUMENTARY FILM FESTIVAL, INC.",Non-Stock,Active,1386498,2022-08-02,205 Thorton Street,Hamden,United States,06517,CT,natalie.mackiel@prattwhitney.com,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:58.8433333,Motion Picture Theaters (except Drive-Ins) (512131),Annual report due,2021-06-28,,,,,,,,,,,,,,,,,,,,,
