name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,create_dt,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,date_of_organization_meeting,sub_status,dissolution_date,total_authorized_shares,billing_unit,reason_for_administrative,mailing_address,category_survey_email_address,office_jurisdiction_3
"23 ELM ST., LLC",LLC,Active,1390109,2022-03-31,2830 OLD DIXWELL AVENUE,HAMDEN,United States,06518,CT,ATTORNEYCALLAHAN@GMAIL.COM,Domestic,2021-05-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:00.9366667,,,,,,,,,,,,,,,,,,,,,,,,
"C.J.C., L.L.C",LLC,Active,1390108,2022-03-31,29 BEEKMAN PLACE,MADISON,United States,06443,CT,CJOPLINGCARPENTRY@GMAIL.COM,Domestic,2021-05-01,CT,Connecticut,False,False,False,False,False,Finish Carpentry Contractors (238350),2021-11-10 00:06:08.8733333,,,,,,,,,,,,,,,,,,,,,,,,
AM PAINTING SERVICES LLC,LLC,Active,1390106,2022-03-31,15 SLOCUM ST,NORWALK,United States,06851-6132,CT,AMPAINT503@GMAIL.COM,Domestic,2021-05-01,CT,Connecticut,False,False,False,False,False,Painting and Wall Covering Contractors (238320),2021-11-10 00:06:10.6566667,,,,,,,,,,,,,,,,,,,,,,,,
DUAL LANGUAGE CONNECTIONS LLC,LLC,Active,1390107,2022-03-31,85 MONTICELLO LANE,STORRS MANSFIELD,United States,06268,CT,DLTANDEMTEACHING@GMAIL.COM,Domestic,2021-05-01,CT,Connecticut,True,False,False,False,False,Professional and Management Development Training (611430),2021-11-10 00:06:05.5166667,,,,,,,,,,,,,,,,,,,,,,,,
PRJ OPERATIONS CONSULTING LLC,LLC,Active,1390121,2022-03-31,124 COALPIT HILL RD UNIT 81,DANBURY,United States,06810,CT,PRJONES.CONSULTING@GMAIL.COM,Domestic,2021-05-01,CT,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),2021-11-10 00:06:10.0300000,,,,,,,,,,,,,,,,,,,,,,,,
CARIBOU SMOKEHOUSE LLC,LLC,Active,1390119,2022-03-31,650 S MAIN STREET,MIDDLETOWN,United States,06457,CT,VALEN@CARIBOUSMOKEHOUSE.COM,Domestic,2021-05-01,CT,Connecticut,True,False,True,False,False,Full-Service Restaurants (722511),2021-11-10 00:06:22.7066667,,,,,,,,,,,,,,,,,,,,,,,,
WIGSDROBE LLC,LLC,Active,1390120,2022-03-31,218 HOUGH AVE,BRIDGEPORT,United States,06608,CT,WIGSDROBE@GMAIL.COM,Domestic,2021-05-01,CT,Connecticut,True,False,True,False,False,"Cosmetics, Beauty Supplies, and Perfume Stores (446120)",2021-11-10 00:06:23.4100000,,,,,,,,,,,,,,,,,,,,,,,,
BRAIDEDBYKE LLC,LLC,Active,1390116,2022-03-31,1 CIRCULAR AVE L-3,HAMDEN,United States,06514,CT,BRAIDEDBYKE@YAHOO.COM,Domestic,2021-05-01,CT,Connecticut,True,False,True,False,False,Beauty Salons (812112),2021-11-10 00:04:40.2200000,,,,,,,,,,,,,,,,,,,,,,,,
TRANSMAFER USA LLC,LLC,Active,1390115,2022-03-31,86 GREAT HILL RD,HARTFORD,United States,06108,CT,WENDY@DURANGOAGENCY.COM,Domestic,2021-05-01,CT,Connecticut,False,False,False,False,False,Janitorial Services (561720),2021-11-10 00:04:50.2366667,,,,,,,,,,,,,,,,,,,,,,,,
"CICCONE BROTHERS REAL ESTATE, LLC",LLC,Active,1390113,2022-03-31,2364-2374 FOXON ROAD,NORTH BRANFORD,United States,06471,CT,BRUNOCICCONE78@GMAIL.COM,Domestic,2021-05-01,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),2021-11-10 00:05:01.4200000,,,,,,,,,,,,,,,,,,,,,,,,
