name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,create_dt,naics_code,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,sub_status,date_of_organization_meeting,total_authorized_shares,dissolution_date,billing_unit,category_survey_email_address,reason_for_administrative,mailing_jurisdiction_3,office_jurisdiction_3,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,records_address_unit
"BPJ CONCRETE, LLC",LLC,Active,1394123,2022-03-31,151 FARROWS ST,PUTNAM,United States,06260,CT,BPJCONCRETELLC@GMAIL.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:51.4800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UNITED METHODIST CHURCH OF RESURRECTION, INC.",Religious,Active,1395222,2022-06-01,No information provided,,,,,,Domestic,2021-06-01,,Connecticut,False,False,False,False,False,2021-11-10 00:06:01.5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JMJ ENTERPRISES, LLC",LLC,Active,1394169,2022-03-31,97 CAROLINE ROAD,BOZRAH,United States,06334,CT,JMJAMES1000@YAHOO.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:51.4333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE PROPERTIES LANDSCAPING LLC,LLC,Active,1394382,2022-03-31,196 MILL ROCK ROAD,HAMDEN,United States,06517,CT,JOHN@TRUEPROPERTIESLANDSCAPING.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:56.7800000,Landscaping Services (561730),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AUSTIN SERVICES, LLC",LLC,Active,1394378,2022-03-31,230 MANSFIELD RD,ASHFORD,United States,06278,CT,NUTMEGPROPERTYSERVICE@GMAIL.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:52.2600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANYPETS INC.,Stock,Active,1395213,2022-06-01,251 LITTLE FALLS DRIVE,WILMINGTON,,19808,DE,STEVE.LONG@COUNTYBYMANY.COM,Foreign,2021-06-01,DE,DE,False,False,False,False,False,2021-11-10 00:06:10.0466667,Insurance Agencies and Brokerages (524210),2021-05-25,MANYPETS INC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 BROTHERS POND RD, LLC",LLC,Active,1394379,2022-03-31,149 LINDEN DRIVE,KENSINGTON,United States,06037,CT,DMANAFORT@MANAFORT.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:05.0000000,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIRCLE OF SUCCESS LLC,LLC,Active,1394346,2022-03-31,282 FERN STREET,WEST HARTFORD,United States,06119,CT,CIRCLEOFSUCCESSLLC@GMAIL.COM,Domestic,2021-06-01,CT,Connecticut,False,False,True,False,False,2021-11-10 00:06:14.0166667,All Other Personal Services (812990),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFFICEMADE LLC,LLC,Active,1394926,2022-03-31,58 STIRRUP LN.,RIVERSIDE,,06878,CT,OFFICE@CLCOLLINS.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:10.6400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRIME X SETTLEMENT SERVICES LLC,LLC,Active,1394171,2022-03-31,50 CHARLES LINDBERGH BLVD. SUITE 600,UNIONDALE,United States,11553,NY,REGULATORYCOMPLIANCE@AMTRUSTGROUP.COM,Foreign,2021-06-01,DE,DE,False,False,False,False,False,2021-11-10 00:06:11.3300000,Direct Title Insurance Carriers (524127),2021-06-01,PRIME X SETTLEMENT SERVICES LLC,United States,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,,,,,,,,,,,,,,,,
DARCEL JAVON ENTERPRISES LLC,LLC,Active,1394925,2022-03-31,149 PLAZA AVE,WATERBURY,,06710,CT,,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:07.4366667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RIDGELINE HOLDINGS, LLC",LLC,Active,1394168,2022-03-31,165 SOUTH STREET,MORRIS,United States,06763,CT,LITCHFIELDHILLS@ICLOUD.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:10.0300000,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAPA WHISKEY LLC,LLC,Active,1394380,2022-03-31,30 BIRCH ROAD,DARIEN,United States,06820,CT,AMATTUP@GMAIL.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:14.5633333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMPOWERING YOU LLC,LLC,Active,1394400,2022-03-31,106 WILTON ROAD,FAIRFIELD,United States,06824,CT,STEFIR18@GMAIL.COM,Domestic,2021-06-01,CT,Connecticut,True,False,False,False,False,2021-11-10 00:06:06.7500000,All Other Personal Services (812990),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TONY JURASKA JR LLC,LLC,Active,1394399,2022-03-31,1139 SPINDLE HILL RD,WOLCOTT,United States,06716,CT,TONYJURASKAJR@GMAIL.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:08.8600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJB PROPERTY MAINTENANCE LLC,LLC,Active,1394345,2022-03-31,12 BRIDGEVIEW RD,NORTH HAVEN,United States,06473,CT,EFILE1234@INCFILE.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:19.0033333,Other Personal and Household Goods Repair and Maintenance (811490),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REJUVENATEWSTELLA LLC,LLC,Active,1394138,2022-03-31,130 WOODGLEN DR,WATERBURY,United States,06705,CT,AMYSERR1993@GMAIL.COM,Domestic,2021-06-01,CT,Connecticut,True,False,True,False,False,2021-11-10 00:06:22.7233333,Beauty Salons (812112),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS BUSINESS CORP,Stock,Active,1394381,2022-07-12,310 Music Mountain Rd,Falls Village,United States,06031-1712,CT,SZILVIABARNETT@HOTMAIL.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:17.2800000,Electrical Contractors and Other Wiring Installation Contractors (238210),,,,,,,,,,,,,,,,Annual report due,2021-07-01,200.0,,,,,,,,,,,,,
