name,business_type,status,accountnumber,began_transacting_in_ct,billingstreet,billing_unit,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,business_name_in_state_country,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,create_dt,annual_report_due_date,country_formation,category_survey_email_address,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction_3,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction_3,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,date_of_organization_meeting,total_authorized_shares,sub_status,mailing_international_address,dissolution_date,mail_jurisdiction,record_address,records_address_street,records_address_state,records_address_zip_code,records_address_country,records_address_city
JM Contracting & Custom Carpentry Corp. PC,Stock,Rejected,2310895,2021-09-02,45 Columbus pl,15,Stamford,United States,06907,CT,jm@jmcontractingcorp.com,JM Contracting & Custom Carpentry Corp.,Foreign,2021-09-01,NEW YORK,NEW YORK,False,False,False,False,False,New Single-Family Housing Construction (except For-Sale Builders) (236115),2021-11-10 00:06:35.7133333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"STRATEGIC IMPACT, LLC",LLC,Active,2320487,,50 Brookfield St,,South Windsor,United States,06074-1202,CT,strategicimpact@cox.net,,Domestic,2021-09-01,Connecticut,Connecticut,True,False,False,False,False,Temporary Help Services (561320),2021-11-10 00:06:37.6800000,2022-03-31,United States,adam@lmrblaw.com,,,,,,,,,,,,,,,,,,,,,,,,,,
"ConstructSecure, Inc.",Stock,Rejected,2322023,2021-05-17,700 District Ave,,Burlington,United States,01803,MA,ryan_doyle@constructsecure.com,"ConstructSecure, Inc.",Foreign,2021-09-01,MASSACHUSETTS,MASSACHUSETTS,False,False,False,False,False,Software Publishers (511210),2021-11-10 00:06:38.6800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inox Group LLC,LLC,Rejected,2324324,2021-04-01,31 Viaduct Rd,,Stamford,United States,06907-2719,CT,curvin@inoxgrp.com,Inox Group,Foreign,2021-09-01,NEW YORK,NEW YORK,False,False,False,False,False,All Other Specialty Trade Contractors (238990),2021-11-10 00:06:30.6333333,,,,"30 South Pearl Street, 901, Albany, NY, 12207, United States",30 South Pearl Street,901,Albany,NY,12207,United States,"30 South Pearl Street, Suite 901, Albany, NY, 12207, United States",30 South Pearl Street,Suite 901,Albany,NY,12207,United States,,,,,,,,,,,,
"Janel Opeka, LLC",LLC,Active,2331055,,2389  Main St. STE 100,,Glastonbury,United States,06033,CT,janelopeka@gmail.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,All Other Personal Services (812990),2021-11-10 00:06:32.7133333,2022-03-31,United States,sonya@globalparalegalnetwork.com,,,,,,,,,,,,,,,,,,,,,,,,,,
SHARP EAGLE LLC,LLC,Active,2332320,,107 SOUTH ST,,BETHEL,United States,06801,CT,wakilizzat1@gmail.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,True,False,False,Electronic Shopping and Mail-Order Houses (454110),2021-11-10 00:06:32.8066667,2022-03-31,United States,clarataxservices@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,
Kano ventures LLC,LLC,Active,2334212,,124 Rachel Rd,B,Manchester,United States,06042-2141,CT,meikanoyusif@yahoo.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,True,False,False,Gasoline Stations with Convenience Stores (447110),2021-11-10 00:06:39.2500000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logic Expressions LLC,LLC,Active,2335060,,231 Flatbush Ave,2nd Floor,Hartford,United States,06106-3725,CT,diana.maldonado.ct@gmail.com,,Domestic,2021-09-01,Connecticut,Connecticut,True,False,True,False,False,Clothing Accessories Stores (448150),2021-11-10 00:06:39.2500000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAN FAMILY LLC,LLC,Active,2335064,,936-938 ENFIELD ST,,ENFIELD,United States,06082,CT,panfamily936938@gmail.com,,Domestic,2021-09-01,Connecticut,Connecticut,True,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:39.2500000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTIMOVE INC.,Stock,Active,2335129,2021-08-31,18 w 18th ST,,NEW YORK,United States,10011,NY,corporate@pstein.com,OPTIMOVE INC.,Foreign,2021-09-01,DELAWARE,DELAWARE,False,False,False,False,False,Other Computer Related Services (541519),2021-11-10 00:06:39.2500000,2022-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DV21 LLC,LLC,Active,2335240,,c/o MHR Lewis (US) LLC 595 Summer Stre,2nd Floor,Stamford,United States,06901,CT,c.mangan@mhr-lewis.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,Full-Service Restaurants (722511),2021-11-10 00:06:39.2166667,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ACCREDITED TITLE AGENCY, INC.",Stock,Active,2335266,2021-09-01,225 S Plank Rd,,Newburgh,United States,12550-2693,NY,danielpennessi@gmail.com,"ACCREDITED TITLE AGENCY, INC.",Foreign,2021-09-01,NEW YORK,NEW YORK,False,False,False,False,False,Direct Title Insurance Carriers (524127),2021-11-10 00:06:39.2000000,2022-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RICHARD FRANK MD, PC",Stock,Active,2335309,,3 RENN LANE,,KENSINGTON,United States,06037,CT,richiefrank@comcast.net,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,Offices of Physicians (except Mental Health Specialists) (621111),2021-11-10 00:06:39.2333333,2022-09-02,United States,,,,,,,,,,,,,,,,2021-08-29,1000.0,,,,,,,,,,
J.BARBOSA PAINTINGS LLC,LLC,Active,2335413,,103 Graham Rd,,East Hartford,United States,06118-2130,CT,j.barbosapaintings@outlook.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,Painting and Wall Covering Contractors (238320),2021-11-10 00:06:38.6966667,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
96 Dracut Ave LLC,LLC,Active,2335554,,87-17 78 ST,,Woodhaven,United States,11421,NY,documents@incorp.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:06:38.6966667,2022-03-31,United States,processing@incorp.com,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORIYA INTERNATIONAL LLC,LLC,Active,2335667,2021-09-03,207 Eylandt St,,Staten Island,United States,10312-5337,NY,sales@vint.nyc,VICTORIYA INTERNATIONAL LLC,Foreign,2021-09-01,NEW YORK,NEW YORK,False,False,False,False,False,Residential Remodelers (236118),2021-11-10 00:06:39.1866667,2022-03-31,,,"207 Eylandt St, Staten Island, NY, 10312-5337, United States",207 Eylandt St,,Staten Island,NY,10312-5337,United States,"207 Eylandt St, Staten Island, NY, 10312-5337, United States",207 Eylandt St,,Staten Island,NY,10312-5337,United States,,,,,,,,,,,,
"Clear Life Counseling and Wellness, PLLC",LLC,Active,2335731,2021-09-03,222 Post Rd. 2nd Floor,,Fairfield,United States,06824,CT,dougc@clearlifecw.com,"Clear Life Counseling and Wellness, PLLC",Foreign,2021-09-01,NORTH CAROLINA,NORTH CAROLINA,False,False,False,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),2021-11-10 00:06:39.2966667,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top Lion Corp.,Stock,Active,2335833,,,,,,,,rll2@rcn.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,All Other Business Support Services (561499),2021-11-10 00:06:39.8266667,2021-11-30,United States,rll2@rcn.com,,,,,,,,,,,,,,,,15000.0,First report due,,,,,,,,,
Holkins LLC,LLC,Active,2335831,,212 Woodbury Cir,,Middletown,United States,06457-5651,CT,holkinsllc@gmail.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,True,False,False,Residential Property Managers (531311),2021-11-10 00:06:39.8266667,2022-03-31,United States,hollanded323@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,
Unforgettable Events LLC,LLC,Active,2335836,,527 Clubhouse Rd,,Lebanon,United States,06249-2005,CT,briana.padewski@gmail.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,All Other Personal Services (812990),2021-11-10 00:06:39.8100000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernadel Investments LLC,LLC,Active,2335837,,107 Mohawk Street,,Stratford,United States,06615,CT,jonbernadel@outlook.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,Nonresidential Property Managers (531312),2021-11-10 00:06:39.3100000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naked Penguin LLC,LLC,Active,2335839,,22 Ashbee Lane,,Ridgefield,United States,06877,CT,trevorpotts3@gmail.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,Investment Advice (523930),2021-11-10 00:06:39.2966667,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
YardisSport Limited Liability Company,LLC,Active,2335841,,51 Forest Avenue,82,Old Greenwich,United States,06870,CT,mickeyyardis@yahoo.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,"Promoters of Performing Arts, Sports, and Similar Events with Facilities (711310)",2021-11-10 00:06:39.2966667,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB Dependability Company,Stock,Active,2335840,,100 Mark Ln,Apt D4,Waterbury,United States,06704-2442,CT,tripplebbb.kb@gmail.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,All Other Support Activities for Transportation (488999),2021-11-10 00:06:39.8266667,2022-09-28,United States,,,,,,,,,,,,,,,,2021-09-01,10000.0,,,,,,,,,,
ProDrivewaysCT LLC,LLC,Active,2335851,,182 canal street,3,Westerly,United States,02891,RI,prodrivewaysct@gmail.com,,Domestic,2021-09-01,Connecticut,Connecticut,True,False,False,False,False,All Other Specialty Trade Contractors (238990),2021-11-10 00:06:39.8100000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSL Trust Company LLC,LLC,Active,2335856,,237 Brook St,,New Britain,United States,06051-3346,CT,jsgomees@gmail.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,True,False,False,,2021-11-10 00:06:39.3100000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
