name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,country_formation,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,category_survey_email_address,naics_code,create_dt,billing_unit,began_transacting_in_ct,business_name_in_state_country,sub_status,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,mailing_jurisdiction_3,office_jurisdiction_3,date_of_organization_meeting,total_authorized_shares,mail_jurisdiction,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,dissolution_date,mailing_international_address,records_address_unit
SelfmadebyLina LLC,LLC,Active,2291251,2022-03-31,40 Charlotte St,Hartford,United States,06120,CT,selfmadebylina@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,filings@swyftfilings.com,Electronic Shopping and Mail-Order Houses (454110),2021-11-10 00:04:00.9933333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roots Dispensary LLC,LLC,Active,2317755,2022-03-31,273 Derby Ave,Derby,United States,06418,CT,rondiquemclean91@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,True,False,False,,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),2021-11-10 00:06:37.0566667,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Business Sales and Services Corporation,Stock,Active,2347787,2022-10-01,7 Mallard Drive,Avon,United States,06001,CT,brian.bickel@ibsscorp.com,Foreign,,2021-10-01,MARYLAND,MARYLAND,False,False,False,False,False,,"All Other Professional, Scientific, and Technical Services (541990)",2021-11-10 00:06:45.3100000,,2021-06-29,International Business Sales and Services Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OLIVE AI, INC.",Stock,Active,2350385,2022-10-01,99 E. Main Street,Columbus,United States,43215,OH,professional@harborcompliance.com,Foreign,,2021-10-01,DELAWARE,DELAWARE,False,False,False,False,False,,"All Other Professional, Scientific, and Technical Services (541990)",2021-11-10 00:06:46.3266667,,2021-09-23,"OLIVE AI, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,
American Psychological Association Inc.,Non-Stock,Active,2351816,2022-10-01,750 1st St NE,Washington,United States,20002-4241,DC,kbransky@apa.org,Foreign,,2021-10-01,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,False,False,False,False,False,,Professional Organizations (813920),2021-11-10 00:06:47.0000000,,2021-10-01,American Psychological Association,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Friends of the Wallingford Animal Shelter Incorporated,Non-Stock,Active,2351827,2021-12-30,,,,,,wallingfordsheltervolunteers@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,,"Environment, Conservation and Wildlife Organizations (813312)",2021-11-10 00:06:46.4200000,,,,First report due,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Banks Properties LLC,LLC,Active,2354588,2022-03-31,70 Cranberry Lane,Cheshire,United States,06410,CT,amykorte@bluebanksproperties.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,True,False,False,False,False,,,2021-11-10 00:06:47.6233333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emme & Elle Travels LLC,LLC,Active,2354665,2022-03-31,30,West Hartford,United States,06107,CT,emme.elletravels@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,True,False,True,False,False,emilycariely@gmail.com,Travel Agencies (561510),2021-11-10 00:06:47.0933333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chimaera Holdings LLC,LLC,Active,2354852,2022-03-31,c/o Starling Physicians PC 2110 Silas Dean Hwy,Rocky Hill,United States,06067,CT,mstringfellow@garfunkelwild.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,,Other Activities Related to Real Estate (531390),2021-11-10 00:06:47.6400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norcell Wireless LLC,LLC,Active,2355460,2022-03-31,4511 Williams Valley Rd,Clayton,United States,99110,WA,sosteam@csilongwood.com,Foreign,,2021-10-01,WASHINGTON,WASHINGTON,False,False,False,False,False,,Wireless Telecommunications Carriers (except Satellite) (517312),2021-11-10 00:06:47.6566667,,2021-10-01,Norcell LLC,,"4511 Williams Valley Rd, Clayton, WA, 99110, United States",4511 Williams Valley Rd,Clayton,WA,99110,United States,"4511 Williams Valley Rd, Clayton, WA, 99110, United States",4511 Williams Valley Rd,Clayton,WA,99110,United States,,,,,,,,,,,,,,
Weybridge Operations LLC,LLC,Active,2355604,2022-03-31,515 MADISON AVEnue,New York,United States,10022,NY,finance@weybridge.capital,Foreign,,2021-10-01,DELAWARE,DELAWARE,False,False,False,False,False,,All Other Information Services (519190),2021-11-10 00:06:47.0933333,FL 8,2021-09-20,Weybridge Operations LLC,,"8 The Green, STE A, Dover, DE, 19901, United States",8 The Green,Dover,DE,19901,United States,"8 The Green, STE A, Dover, DE, 19901, United States",8 The Green,Dover,DE,19901,United States,STE A,STE A,,,,,,,,,,,,
"QP Global Family Offices, LLC",LLC,Active,2355623,2022-03-31,115 E Putnam Ave,Greenwich,United States,06830,CT,info@qp-global.com,Foreign,,2021-10-01,DELAWARE,DELAWARE,False,False,False,False,False,,Investment Advice (523930),2021-11-10 00:06:47.0600000,3rd floor,2021-10-01,"QP Global Family Offices, LLC",,"1209 N Orange St, Wilmington, DE, 19801-1120, United States",1209 N Orange St,Wilmington,DE,19801-1120,United States,"1209 N Orange St, Wilmington, DE, 19801-1120, United States",1209 N Orange St,Wilmington,DE,19801-1120,United States,,,,,,,,,,,,,,
