name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,citizenship,country_formation,date_registration,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,create_dt,business_email_address,formation_place,sub_status,total_authorized_shares,billing_unit,began_transacting_in_ct,business_name_in_state_country,category_survey_email_address,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,mailing_jurisdiction_3,office_jurisdiction_3,date_of_organization_meeting,record_address,records_address_street,records_address_unit,records_address_city,records_address_state,records_address_zip_code,records_address_country,mailing_international_address
GRACE JAMES AESTHETICS LLC,LLC,Active,2388754,2022-03-31,15 JEANETTI DR,DERBY,USA,06418,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,621399,2021-12-13 00:06:52.8233333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GORDON, MUIR AND FOLEY, LLC",LLC,Active,551018,2022-03-31,1344 SILAS DEANE HIGHWAY SUITE 501,ROCKY HILL,United States,06067,CT,Domestic,,2021-11-01,,False,False,False,False,False,,2021-12-13 00:10:54.5500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY Services LLC,LLC,Active,2374179,2022-03-31,145 Rosewood Ave,New Haven,United States,06513-3341,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,,2021-12-13 00:03:19.6300000,nyservices39@gmail.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KinFolk Kitchen Incorporated,Stock,Active,2373864,2022-01-30,,,,,,Domestic,United States,2021-11-01,Connecticut,True,False,True,False,False,Mobile Food Services (722330),2021-12-13 00:03:19.6600000,marcia.toliver@rev3sixty.com,Connecticut,First report due,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEW2LIVE CARIBBEAN AMERICAN FUSION LLC,LLC,Active,2374157,2022-03-31,131 Water St,Torrington,United States,06790-5339,CT,Domestic,United States,2021-11-01,Connecticut,True,False,True,False,False,Full-Service Restaurants (722511),2021-12-13 00:03:19.6466667,chew2livecaf@gmail.com,Connecticut,,,2nd Floor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Destinys Home Health Care Agency LLC,LLC,Active,2374162,2022-03-31,17 Colver St.,New London,United States,06320,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,Home Health Care Services (621610),2021-12-13 00:03:19.6300000,anaanderson479@gmail.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silva's Sunset Masonry LLC,LLC,Active,2374166,2022-03-31,21 Evergreen Ave,Hartford,United States,06105-3171,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,New Single-Family Housing Construction (except For-Sale Builders) (236115),2021-12-13 00:03:19.6300000,ssunsetmasonryllc@gmail.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoodComp L.L.C.,LLC,Active,2374167,2022-03-31,832 E Main St,Waterbury,United States,06705-1018,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,Electronic Computer Manufacturing (334111),2021-12-13 00:03:19.6300000,michaelmerkin@protonmail.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travel Couturier LLC,LLC,Active,2374169,2022-03-31,6 Hockanum Rd,Westport,United States,06880,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,,2021-12-13 00:03:19.6300000,sarahmbayer@gmail.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G & M Contracting CT LLC,LLC,Active,2374171,2022-03-31,73 Larchmont Ave,Waterbury,United States,06708,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,,2021-12-13 00:03:19.6466667,gandmcontractingct@gmail.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stateline Enterprises Inc.,Stock,Rejected,2374175,,78 Triangle St,Danbury,United States,06810,CT,Foreign,,2021-11-01,NEW YORK,False,False,False,False,False,,2021-12-13 00:03:19.6300000,rick@bullandbarrelbrewpub.com,NEW YORK,,,Suite 2,2022-01-15,Stateline Enterprises Inc.,,,,,,,,,,,,,,,,,,,,,,,,,
Face Candy Aesthetics LLC,LLC,Active,2374189,2022-03-31,109 Highland Road,Stamford,United States,06902,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,Offices of All Other Miscellaneous Health Practitioners (621399),2021-12-13 00:03:19.5833333,erin.anderson19@gmail.com,Connecticut,,,,,,onlinefilings@legalzoom.com,,,,,,,,,,,,,,,,,,,,,,,,
"Willetts Ave Associates, LLC",LLC,Active,2374200,2022-03-31,9 Ingham Hill Road,Essex,United States,06426,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-12-13 00:03:19.5833333,timothypickering@comcast.net,Connecticut,,,,,,timothypickering@comcast.net,,,,,,,,,,,,,,,,,,,,,,,,
"Prescribing Eden, PLLC",LLC,Active,2374195,2022-03-31,44 Abby Dr,Hebron,United States,06248,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,Offices of All Other Miscellaneous Health Practitioners (621399),2021-12-13 00:03:19.5833333,sarahphillips0310@gmail.com,Connecticut,,,,,,onlinefilings@legalzoom.com,,,,,,,,,,,,,,,,,,,,,,,,
DonG Cleaning LLC,LLC,Active,2374219,2022-03-31,97 Wethersfield Ave,Hartford,United States,06114-1122,CT,Domestic,United States,2021-11-01,Connecticut,False,False,True,False,False,Janitorial Services (561720),2021-12-13 00:03:19.5833333,ddmclen@aol.com,Connecticut,,,,,,ddmclen@aol.com,,,,,,,,,,,,,,,,,,,,,,,,
MPOWER@ET Corp,Non-Stock,Active,2374220,2022-01-30,,,,,,Domestic,United States,2021-11-01,Connecticut,True,False,True,False,False,,2021-12-13 00:03:19.5833333,mike-carter@att.net,Connecticut,First report due,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BADGER TRANSPORTATION LLC,LLC,Active,2374225,2022-03-31,4910 N COUNTY ROAD 900 E.,BROWNSBURG,USA,46112-8540,IN,Foreign,USA,2021-11-01,INDIANA,False,False,False,False,False,,2021-12-13 00:03:19.5833333,TAX-US@BADGERINC.COM,,,,,2022-01-01,BADGER TRANSPORTATION LLC,,"4910 N COUNTY ROAD 900 E., BROWNSBURG, IN, 46112-8540, United States",4910 N COUNTY ROAD 900 E.,BROWNSBURG,IN,46112-8540,United States,"4910 N COUNTY ROAD 900 E., BROWNSBURG, IN, 46112-8540, United States",4910 N COUNTY ROAD 900 E.,BROWNSBURG,IN,46112-8540,United States,,,,,,,,,,,,
"COMPLEXCARE SOLUTIONS OPS, LLC",LLC,Active,2374231,2022-03-31,"321 COLLINGTON ROAD, SUITE 100",BOWIE,USA,20716,MD,Foreign,USA,2021-11-01,DELAWARE,False,False,False,False,False,,2021-12-13 00:03:19.5833333,,,,,,2021-11-01,"COMPLEXCARE SOLUTIONS OPS, LC",,"1209 ORANGE STREET, WILMINGTON, DE, 19801, United States",1209 ORANGE STREET,WILMINGTON,DE,19801,United States,"1209 ORANGE STREET, WILMINGTON, DE, 19801, United States",1209 ORANGE STREET,WILMINGTON,DE,19801,United States,,,,,,,,,,,,
Coco Creations LLC,LLC,Active,2374236,2022-03-31,755 Woodruff Street,Southington,United States,06489,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,Site Preparation Contractors (238910),2021-12-13 00:03:19.5833333,zcoco124@gmail.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELBON PROPERTIES LLC,LLC,Active,2374237,2022-03-31,60 Lyon Ter,Bridgeport,United States,06604,CT,Domestic,United States,2021-11-01,Connecticut,False,False,True,False,False,,2021-12-13 00:03:19.5833333,info@jassbofinancial.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stonepeak Taurus Upper Holdings LLC,LLC,Active,2374255,2022-03-31,750 College Rd E,Princeton,United States,08540-6646,NJ,Foreign,,2021-11-01,DELAWARE,False,False,False,False,False,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing (532411)",2021-12-13 00:03:19.6000000,stwalker@tracintermodal.com,DELAWARE,,,,2020-04-01,Stonepeak Taurus Upper Holdings LLC,,,,,,,,,,,,,,,,,,,,,,,,,
Davinci Holdings LLC,LLC,Active,2374257,2022-03-31,112 Rowayton Avenue,Norwalk,United States,06853,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),2021-12-13 00:03:19.6000000,lynda@davinciwindow.com,Connecticut,,,Suite 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big R Consulting LLC,LLC,Active,2374243,2022-03-31,990 West River Street,Milford,United States,06461,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),2021-12-13 00:03:19.5833333,rvitale65@live.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Divine Nourishment LLC,LLC,Active,2374246,2022-03-31,75 Tresser Boulevard,Stamford,United States,06901,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,Other Individual and Family Services (624190),2021-12-13 00:03:19.5833333,dd@danielledelvecchio.com,Connecticut,,,#419,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HMA Group Holdings, LLC",LLC,Active,2374253,2022-03-31,2727 Grand Prairie Pkwy,Waukee,United States,50263-8844,IA,Foreign,,2021-11-01,IOWA,False,False,False,False,False,All Other Insurance Related Activities (524298),2021-12-13 00:03:19.6000000,jbenson@holmesmurphy.com,IOWA,,,,2021-11-01,"HMA Group Holdings, LLC",,,,,,,,,,,,,,,,,,,,,,,,,
Equitable Partners LLC,LLC,Active,2374260,2022-03-31,165 Farm Hill Road,Middletown,United States,06457,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-12-13 00:03:19.5833333,masonpsaunders@gmail.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tranquility Aesthetics and Wellness Center LLC,LLC,Active,2374321,2022-03-31,6 Storrs Rd,Willimantic,United States,06226-4006,CT,Domestic,United States,2021-11-01,Connecticut,True,False,False,False,False,Offices of All Other Miscellaneous Health Practitioners (621399),2021-12-13 00:03:18.9900000,reneetranquilityaesthetics@gmail.com,Connecticut,,,,,,reneetranquilityaesthetics@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,
Lena�s Squeaky Clean Touch LLC,LLC,Active,2374266,2022-03-31,62 Elmer St,Hartford,United States,06120-2017,CT,Domestic,United States,2021-11-01,Connecticut,True,False,True,False,False,Private Households (814110),2021-12-13 00:03:19.5833333,arlenam79@gmail.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U NAILS & SPA LLC,LLC,Active,2374309,2022-03-31,12 COOGAN BLVD,MYSTIC,United States,06355,CT,Domestic,United States,2021-11-01,Connecticut,True,False,True,False,False,Nail Salons (812113),2021-12-13 00:03:18.9900000,yhptax@gmail.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUZMAN ARAGON PAINTING LLC,LLC,Active,2374279,2022-03-31,70 LINCOLN AVE,STAMFORD,United States,06902,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,Painting and Wall Covering Contractors (238320),2021-12-13 00:03:19.0066667,mariaservices13@gmail.com,Connecticut,,,FL1,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUTURE ON MAIN LLC,LLC,Active,2374289,2022-03-31,34 Sullivan Farm Rd,Broad Brook,United States,06016-9667,CT,Domestic,United States,2021-11-01,Connecticut,True,False,False,False,False,Beauty Salons (812112),2021-12-13 00:03:18.9900000,ginacouture24@gmail.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RE Fund II Hamden LLC,LLC,Active,2374274,2022-03-31,399 Whalley Ave,New Haven,United States,06511,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-12-13 00:03:19.0066667,leibi@mandymanagement.com,Connecticut,,,,,,yborenstein@weismanlawoffices.com,,,,,,,,,,,,,,,,,,,,,,,,
"RxDataScience, Inc.",Stock,Active,2374275,2022-11-01,1030 Sync Street,Morrisville,United States,27560,NC,Foreign,,2021-11-01,DELAWARE,False,False,False,False,False,,2021-12-13 00:03:19.0066667,govdocs@unitedagentgroup.com,DELAWARE,,,,2021-11-01,"RxDataScience, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,
Citrus Tree Finance LLC,LLC,Active,2374277,2022-03-31,90 Park Avenue,New York,United States,10016,NY,Foreign,,2021-11-01,DELAWARE,False,False,False,False,False,Miscellaneous Financial Investment Activities (523999),2021-12-13 00:03:19.0066667,legal_notices@pagaya.com,DELAWARE,,,31st Floor,2021-11-01,Citrus Tree Finance LLC,,,,,,,,,,,,,,,,,,,,,,,,,
George Reid Food LLC,LLC,Active,2374285,2022-03-31,112 lawn avenue,Stamford,United States,06902,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,,2021-12-13 00:03:18.9900000,eastern@registeredagentsinc.com,Connecticut,,,,,,ne@registeredagentsinc.com,,,,,,,,,,,,,,,,,,,,,,,,
Mark24 Plumbing Services LLC,LLC,Active,2374287,2022-03-31,25 Sanford Place,Bridgeport,United States,06604,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,,2021-12-13 00:03:19.0066667,plumbermark1@aol.com,Connecticut,,,,,,plumbermark1@aol.com,,,,,,,,,,,,,,,,,,,,,,,,
marlborough development LLC,LLC,Active,2374298,2022-03-31,210 Flood Rd,Marlborough,United States,06447-1512,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,Lessors of Miniwarehouses and Self-Storage Units (531130),2021-12-13 00:03:19.0066667,soft2cam1@gmail.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe's Furniture Assembly LLC,LLC,Active,2374311,2022-03-31,2389 Main St.,Glastonbury,United States,06033,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,,2021-12-13 00:03:19.0066667,eastern@northwestregisteredagent.com,Connecticut,,,STE 100,,,,,,,,,,,,,,,,,,,,,,,,,,,
"White Mountain Realty, LLC",LLC,Active,2374304,2022-03-31,76 Dominican Rd,Branford,United States,06405-4009,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-12-13 00:03:18.9900000,riversiderealestatenh@gmail.com,Connecticut,,,,,,dparnoff@setteparnoff.com,,,,,,,,,,,,,,,,,,,,,,,,
Deep Blue One LLC,LLC,Active,2374310,2022-03-31,190 North Street,Greenwich,United States,06830,CT,Foreign,,2021-11-01,DELAWARE,False,False,False,False,False,,2021-12-13 00:03:18.9900000,andrew_ulmer@yahoo.com,DELAWARE,,,,2021-07-21,Deep Blue One LLC,,,,,,,,,,,,,,,,,,,,,,,,,
Roomi Distributors LLC D/B/A FUEL PLUS,LLC,Active,2374318,2022-03-31,708 WASHINGTON STREET,MIDDLETOWN,United States,06457,CT,Domestic,United States,2021-11-01,Connecticut,False,False,True,False,False,,2021-12-13 00:03:18.9900000,mayaz522017@gmail.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MARTINAJ GROUP INVESTMENTS, LLC",LLC,Active,2374320,2022-03-31,12 Powder Mill Ln,North Granby,United States,06060-1216,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-12-13 00:03:19.0066667,amartinaj14@gmail.com,Connecticut,,,,,,adam@lmrblaw.com,,,,,,,,,,,,,,,,,,,,,,,,
Eyez on Miyagi LLC,LLC,Active,2374328,2022-03-31,815 Paddock Avenue,Meriden,United States,06450-7021,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,Other Clothing Stores (448190),2021-12-13 00:03:19.0066667,tacara.robinson@yahoo.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VIVA INVESTMENTS, LLC",LLC,Active,2374329,2022-03-31,12 Powder Mill Ln,North Granby,United States,06060-1216,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-12-13 00:03:19.0066667,vlashi@vivahelicopters.com,Connecticut,,,,,,adam@lmrblaw.com,,,,,,,,,,,,,,,,,,,,,,,,
SS DISTRIBUTORS LLC,LLC,Active,2374344,2022-03-31,172 HAWTHORNE DR,NEW LONDON,United States,06320,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),2021-12-13 00:03:18.9900000,shahid1902@gmail.com,Connecticut,,,21E,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT BIN WASH LLC,LLC,Active,2374332,2022-03-31,22B Allen Oneill Dr,Darien,United States,06820-4207,CT,Domestic,United States,2021-11-01,Connecticut,False,True,True,False,False,Other Services to Buildings and Dwellings (561790),2021-12-13 00:03:19.0066667,ctbinwash@gmail.com,Connecticut,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nit Noi Greenwich LLC,LLC,Active,2374339,2022-03-31,1 Surf Rd,Westport,United States,06880-6732,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,Perishable Prepared Food Manufacturing (311991),2021-12-13 00:03:19.0066667,north@nitnoiprovisions.com,Connecticut,,,,,,mlb@thebarocaslawfirm.com,,,,,,,,,,,,,,,,,,,,,,,,
SCRUBS + (PLUS) Limited Liability Company,LLC,Active,2374337,2022-03-31,14 Thill St,West Haven,United States,06516-2833,CT,Domestic,United States,2021-11-01,Connecticut,True,False,False,False,False,Other Clothing Stores (448190),2021-12-13 00:03:19.0066667,plus.scrubs@gmail.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASS Transportation Services Limited Liability Co.,LLC,Active,2374340,2022-03-31,8 MC DERMOTT ST,DANBURY,United States,06810,CT,Domestic,United States,2021-11-01,Connecticut,True,False,False,False,False,All Other Support Activities for Transportation (488999),2021-12-13 00:03:19.0066667,ann@masstransportationservices.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PrettyGirlHairCollections Limited Liability Company,LLC,Active,2374363,2022-03-31,2 Jaybee Dr,Bloomfield,United States,06002-2707,CT,Domestic,United States,2021-11-01,Connecticut,True,False,True,False,False,Other Personal Care Services (812199),2021-12-13 00:03:18.9900000,prettygirlhaircollections@gmail.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Magueyitos Taqueria LLC,LLC,Active,2374346,2022-03-31,1176 Fairfield Ave,Bridgeport,United States,06605-1118,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,Business Associations (813910),2021-12-13 00:03:19.0066667,romanprofessionals@gmail.com,Connecticut,,,,,,romanprofessionals@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,
Carolyn Kelly Interiors LLC,LLC,Active,2374351,2022-03-31,18 Rings End Rd,Darien,United States,06820-5822,CT,Domestic,United States,2021-11-01,Connecticut,True,False,False,False,False,Interior Design Services (541410),2021-12-13 00:03:18.9900000,carolyn@carolynkellyinteriors.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boofah Loofah, LLC",LLC,Active,2374356,2022-03-31,540 Goose Ln,Guilford,United States,06437-2163,CT,Domestic,United States,2021-11-01,Connecticut,True,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),2021-12-13 00:03:18.9900000,schusky@sbcglobal.net,Connecticut,,,,,,john@ferrantilaw.com,,,,,,,,,,,,,,,,,,,,,,,,
Vibes Fragrance Oil LLC,LLC,Active,2374360,2022-03-31,11 Fawn Meadow Dr,Naugatuck,United States,06770-3577,CT,Domestic,United States,2021-11-01,Connecticut,True,False,True,False,False,,2021-12-13 00:03:18.9900000,vibesfragranceoil@gmail.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choice Painting LLC,LLC,Active,2374385,2022-03-31,383 Davis Street,Oakville,United States,06779-2205,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,Painting and Wall Covering Contractors (238320),2021-12-13 00:03:19.5533333,tom_calzone@yahoo.com,Connecticut,,,Unit 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohegan Smoke Shop Norwalk LLC,LLC,Active,2374373,2022-03-31,255 Westport Ave,Norwalk,United States,06851-4310,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,Tobacco Stores (453991),2021-12-13 00:03:18.9900000,max@summertax.com,Connecticut,,,,,,max@summertax.com,,,,,,,,,,,,,,,,,,,,,,,,
Hoefer Construction LLC,LLC,Active,2374377,2022-03-31,109 Long Mountain Rd,New Milford,United States,06776-2341,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,Residential Remodelers (236118),2021-12-13 00:03:18.9900000,hoeferconstructionllc@gmail.com,Connecticut,,,,,,seanhoefer@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,
"RYDER TRANSPORTATION SOLUTIONS, LLC",LLC,Active,2374393,2022-03-31,11690 N.W. 105th Street,Miami,United States,33178,FL,Foreign,,2021-11-01,DELAWARE,False,False,False,False,False,"General Freight Trucking, Long-Distance, Truckload (484121)",2021-12-13 00:06:31.7233333,govdocs@corpcreations.com,DELAWARE,,,,2021-11-01,"RYDER TRANSPORTATION SOLUTIONS, LLC",,"3411 SILVERSIDE ROAD TATNALL BUILDING STE 104, WILMINGTON, DE, 19810, United States",3411 SILVERSIDE ROAD TATNALL BUILDING STE 104,WILMINGTON,DE,19810,United States,"3411 SILVERSIDE ROAD TATNALL BUILDING STE 104, WILMINGTON, DE, 19810, United States",3411 SILVERSIDE ROAD TATNALL BUILDING STE 104,WILMINGTON,DE,19810,United States,,,,,,,,,,,,
