name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,country_formation,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,create_dt,billing_unit,category_survey_email_address,sub_status,total_authorized_shares,began_transacting_in_ct,business_name_in_state_country,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,mailing_jurisdiction_3,office_jurisdiction_3,date_of_organization_meeting,dissolution_date,mailing_international_address,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,records_address_unit
Swipestorm LLC,LLC,Active,2412975,2023-03-31,25 N Branford Rd,Wallingford,United States,06492-2711,CT,contact@swipestorm.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,False,False,False,False,False,Custom Computer Programming Services (541511),2022-02-07 00:07:03.3400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT & Ro LLC,LLC,Active,2412981,2023-03-31,3 Linden Pl,Vernon Rockville,United States,06066-3570,CT,ctandrollc@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,True,False,True,False,False,Internet Publishing and Broadcasting and Web Search Portals (519130),2022-02-07 00:07:03.3533333,Apt 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berradas LLC,LLC,Active,2412982,2023-03-31,32 Sepunnomo Ln,Higganum,United States,06441-4494,CT,meryemberrada28@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),2022-02-07 00:07:03.3533333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNM Ventures LLC,LLC,Active,2412983,2023-03-31,212 Parsonage Hill Rd,Northford,United States,06472-1445,CT,morgantimbermill@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,False,False,False,False,False,Land Subdivision (237210),2022-02-07 00:07:03.3533333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toothrive LLC,LLC,Active,2412991,2023-03-31,115 Technology Dr,Trumbull,United States,06611-6337,CT,kdhuza@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,True,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),2022-02-07 00:07:03.3533333,C-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROYAL TOUCH SERVICES LLC,LLC,Active,2412994,2023-03-31,33 Roosevelt Dr,Derby,United States,06418-1674,CT,royaltouchllc40@yahoo.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,False,False,True,False,False,All Other Specialty Trade Contractors (238990),2022-02-07 00:07:03.3533333,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wheel Farm LLC,LLC,Active,2412997,2023-03-31,35 Hickory Rd,Marlborough,United States,06447,CT,thewheelfarm@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,False,False,False,False,False,Dried and Dehydrated Food Manufacturing (311423),2022-02-07 00:07:03.3533333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSVP Enventory LLC,LLC,Active,2412992,2023-03-31,49 Milldale Avenue,Plantsville,United States,06479,CT,aprilshowerz23@yahoo.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,False,False,True,False,False,All Other Consumer Goods Rental (532289),2022-02-07 00:07:03.3533333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evette Services LLC,LLC,Active,2412996,2023-03-31,64 Tamarack Rd,New Milford,United States,06776-5018,CT,piercec@evetteservices.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,True,False,False,False,True,,2022-02-07 00:07:03.3533333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gift Of Vision Productions LLC,LLC,Active,2412998,2023-03-31,450 High Ridge Dr,Bridgeport,United States,06606-4952,CT,artisticfuture.com@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,False,False,False,False,False,Motion Picture and Video Production (512110),2022-02-07 00:07:03.3533333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
