name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billing_unit,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,country_formation,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,create_dt,category_survey_email_address,sub_status,total_authorized_shares,began_transacting_in_ct,business_name_in_state_country,date_of_organization_meeting,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,mailing_jurisdiction_3,office_jurisdiction_3,dissolution_date,mailing_international_address,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,records_address_unit
TMD Transportation & Logistics LLC,LLC,Active,2544992,2023-03-31,544 Straits Turnpike STE 3,# 1012,watertown,United States,06795,CT,tmdglobalsolutions@icloud.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,True,False,True,False,False,"General Freight Trucking, Long-Distance, Truckload (484121)",2022-06-13 00:16:27.1433333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boris Enowitch MS, LCSW,  LLC",LLC,Active,2547531,2023-03-31,8 SYCAMORE RD,,WEST HARTFORD,United States,06117,CT,bie@comcast.net,Domestic,United States,2022-05-01,Connecticut,Connecticut,False,False,False,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),2022-06-13 00:16:27.8166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lashfully esthetics LLC,LLC,Active,2549416,2023-03-31,32 Farragut St,13,Waterbury,United States,06705,CT,geigelnacharlie@gmail.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,True,False,False,False,False,Beauty Salons (812112),2022-06-13 00:16:29.1766667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wetherbee Farm LLC,LLC,Active,2549424,2023-03-31,34 East Main St,,Plainfield,United States,06332,CT,kevin.wetherbeefarm@gmail.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,False,False,False,False,False,,2022-06-13 00:16:29.1133333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIM109 LLC,LLC,Active,2549433,2023-03-31,40 Zurko Farm Rd,,Milford,United States,06461-3064,CT,dryicemike109@gmail.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,False,False,False,False,False,Car Washes (811192),2022-06-13 00:16:29.1766667,mjlandino@me.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSJB Consulting LLC,LLC,Active,2549438,2023-03-31,85 High Gate Rd Apt A3,,Newington,United States,06111-5256,CT,dsjb427@hotmail.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,False,False,False,False,False,,2022-06-13 00:16:29.1766667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Helpful Touch LLC,LLC,Active,2549435,2023-03-31,116 lane st,,Shelton,United States,06484,CT,melissaf@ahelpfultouch.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,True,False,True,False,False,,2022-06-13 00:16:29.7233333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motivated Maven LLC,LLC,Active,2549436,2023-03-31,9 Concord Street Apt B3,,West Hartford,United States,06119,CT,jmilbk47@gmail.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,False,False,False,False,False,,2022-06-13 00:16:29.7233333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compass MedTech Consulting Group Limited Liability Company,LLC,Active,2549440,2023-03-31,40 Bridle Path Ln,,Madison,United States,06443-1654,CT,arthur.pangaio@gmail.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,False,False,False,False,False,,2022-06-13 00:16:29.1766667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT Seamless Solutions LLC,LLC,Active,2549442,2023-03-31,89 Myrtle St # 1,,Meriden,United States,06450-4354,CT,andymeeks0512@gmail.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,False,False,False,False,False,,2022-06-13 00:16:29.1766667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
