name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,citizenship,date_registration,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,total_authorized_shares,create_dt,billing_unit,business_email_address,country_formation,formation_place,state_or_territory_formation,category_survey_email_address,naics_code,began_transacting_in_ct,business_name_in_state_country,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,sub_status,date_of_organization_meeting,mailing_jurisdiction_3,office_jurisdiction_3,mailing_international_address,dissolution_date,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,records_address_unit
"APPLE CONTRACTING, LLC",LLC,Active,1173105,2023-03-31,16 BEAVER BOG ROAD,NEW FAIRFIELD,United States,06812,CT,Domestic,2022-06-01,False,False,False,False,False,100.0,2022-07-06 00:13:27.1733333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HomeStory Real Estate Services Connecticut, LLC",LLC,Active,2548414,2023-03-31,13359 N Highway 183,Austin,United States,78750-7153,TX,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:35.6966667,Suite 406 #2044,brokers@homestoryrewards.com,United States,Connecticut,Connecticut,tina.erales@jonesspross.com,Offices of Real Estate Agents and Brokers (531210),,,,,,,,,,,,,,,,,,,,,,,,,,,
"BAKKT, LLC",LLC,Active,2570429,2023-03-31,"10000 Avalon Boulevard, Suite 1000",Alpharetta,United States,30009,GA,Foreign,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:28.9133333,,govdocs@unitedagentgroup.com,,DELAWARE,DELAWARE,,"Financial Transactions Processing, Reserve, and Clearinghouse Activities (522320)",2022-06-01,"BAKKT, LLC","3411 Silverside Road Tatnall Building #104, Wilmington, DE, 19810, United States",3411 Silverside Road Tatnall Building #104,Wilmington,DE,19810,United States,"3411 Silverside Road Tatnall Building #104, Wilmington, DE, 19810, United States",3411 Silverside Road Tatnall Building #104,Wilmington,DE,19810,United States,,,,,,,,,,,,,
"The Civil Therapist, LLC",LLC,Active,2573101,2023-03-31,569 Wintergreen Ave,Hamden,United States,06514-3232,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:30.2266667,,cagreen2271@sbcglobal.net,United States,Connecticut,Connecticut,umeugoand.associates@snet.net,Other Individual and Family Services (624190),,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zoe Schlanger Psychotherapy, LLC",LLC,Active,2573372,2023-03-31,129 Livingston St,New Haven,United States,06511-2470,CT,Domestic,2022-06-01,True,False,False,False,True,,2022-07-06 00:16:30.3200000,1,zoe.schlanger.therapy@gmail.com,United States,Connecticut,Connecticut,,Offices of Mental Health Practitioners (except Physicians) (621330),,,,,,,,,,,,,,,,,,,,,,,,,,,
"RQBNN, LLC",LLC,Active,2573404,2023-03-31,50 South Main Street,Essex,United States,06426,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:29.6800000,,jdeschenes@unfi.com,United States,Connecticut,Connecticut,,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,,,,,,,,,
RE One LLC,LLC,Active,2573788,2023-03-31,2389 Main St,Glastonbury,United States,06033-4617,CT,Foreign,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:30.3200000,Suite 100,reonecali@gmail.com,,CALIFORNIA,CALIFORNIA,,Other Activities Related to Real Estate (531390),2020-12-17,RE One LLC,,,,,,,,,,,,,,,,,,,,,,,,,
OTC Consulting LLC,LLC,Active,2573796,2023-03-31,26 Knobb Hill Rd,Milford,United States,06460-7245,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:07:43.8000000,,ohthatschill@gmail.com,United States,Connecticut,Connecticut,ohthatschill@gmail.com,Administrative Management and General Management Consulting Services (541611),,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxure Artistry Ltd. Liability Co.,LLC,Active,2573801,2023-03-31,140 Glastonbury Blvd,Glastonbury,United States,06033-4402,CT,Domestic,2022-06-01,True,False,True,False,False,,2022-07-06 00:16:29.6666667,Studio 19,luxurebeautyco@protonmail.com,United States,Connecticut,Connecticut,samanthacontreras2233@gmail.com,Beauty Salons (812112),,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eppo Data, Inc.",Stock,Active,2573807,2023-06-01,435 Brannan St,San Francisco,United States,94107,CA,Foreign,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:30.2733333,Suite 200,che@geteppo.com,,DELAWARE,DELAWARE,,,2022-05-02,"Eppo Data, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,
