name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billing_unit,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,country_formation,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,create_dt,began_transacting_in_ct,business_name_in_state_country,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction_3,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction_3,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,category_survey_email_address,sub_status,total_authorized_shares,date_of_organization_meeting,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,dissolution_date,mail_jurisdiction,mailing_international_address,records_address_unit
Lucky Sevenn L.L.C.,LLC,Active,2583994,2023-03-31,390 Capitol Ave,212,Hartford,United States,06106-1448,CT,luckysevennllc@gmail.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,True,False,True,False,False,"Promoters of Performing Arts, Sports, and Similar Events without Facilities (711320)",2022-08-31 00:16:32.3400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leveling Up LLC,LLC,Active,2590120,2023-03-31,106 Westchester Rd,,Colchester,United States,06415-2420,CT,akoropatkin@gmail.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,Other Individual and Family Services (624190),2022-08-31 00:16:34.2900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plan North PLLC,LLC,Active,2591486,2023-03-31,250 W Bobwhite Ct,103,Boise,United States,83706,ID,amy@plan-north.com,Foreign,,2022-07-01,IDAHO,IDAHO,False,False,False,False,False,Engineering Services (541330),2022-08-31 00:16:34.9000000,2022-07-01,Plan North PLLC,"250 W Bobwhite Ct, 103, Boise, ID, 83706, United States",250 W Bobwhite Ct,103,Boise,ID,83706,United States,"250 W Bobwhite Ct, 103, Boise, ID, 83706, United States",250 W Bobwhite Ct,103,Boise,ID,83706,United States,,,,,,,,,,,,,,
Atlas Real Estate LLC,LLC,Active,2592309,2023-03-31,680 E MAIN ST,730,STAMFORD,United States,06901,CT,atlasre@yahoo.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,,2022-08-31 00:16:34.8866667,,,,,,,,,,,,,,,,,s.a.fields87@gmail.com,,,,,,,,,,,,,
Lien Ren L.L.C.,LLC,Active,2592310,2023-03-31,6 Edgewood Dr,,Wallingford,United States,06492-2133,CT,daynap@lienren.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,True,False,True,False,False,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),2022-08-31 00:16:34.9333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HBM Partners LLP,LLP,Active,2592344,,127 Whisconier Rd,,Brookfield,United States,06804-3438,CT,sw06371@yahoo.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2022-08-31 00:16:34.9000000,,,,,,,,,,,,,,,,,sw06371@yahoo.com,,,,,,,,,,,,,
"1436 Shepard Ave, LLC",LLC,Active,2592365,2023-03-31,140 North Wood Court,,Cheshire,United States,06410,CT,edcq@aol.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,,2022-08-31 00:16:34.9000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARM Ltd. Liability Company,LLC,Active,2592349,2023-03-31,52 Summerset Dr,,East Hartford,United States,06118-1346,CT,aarmltdlc@gmail.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,Residential Remodelers (236118),2022-08-31 00:16:34.8700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MJC Investments LLC,LLC,Active,2592371,2023-03-31,40 Wiltshire Ln,,West Hartford,United States,06117-2746,CT,mjcinvestcorps@gmail.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,True,False,False,False,False,Administrative Management and General Management Consulting Services (541611),2022-08-31 00:16:34.8700000,,,,,,,,,,,,,,,,,happilycamperseverafter@gmail.com,,,,,,,,,,,,,
northeast spray foam insulation llc,LLC,Active,2592360,2023-03-31,2 Farview Rd,,Brookfield,United States,06804-1832,CT,northeastspray@gmail.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,True,False,False,Drywall and Insulation Contractors (238310),2022-08-31 00:16:34.9333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zadok Production Professional Limited Liability Company,LLC,Active,2592367,2023-03-31,660 Mix Ave,Apt 4B,Hamden,United States,06514-2381,CT,zadok.pro@gmail.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,Record Production and Distribution (512250),2022-08-31 00:16:34.9166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
