name,business_type,status,accountnumber,annual_report_due_date,began_transacting_in_ct,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_name_in_state_country,citizenship,date_registration,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,create_dt,business_email_address,naics_code,total_authorized_shares,country_formation,formation_place,category_survey_email_address,billing_unit,sub_status,date_of_organization_meeting,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction_3,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction_3,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,records_address_unit,mail_jurisdiction,mailing_international_address
"Danbury A, LLC",LLC,Active,2624928,2023-03-31,2022-08-31,25 Sugar Hollow Rd.,Danbury,UNITED STATES,06810,CT,"Danbury A, LLC",Foreign,2022-09-01,DE,False,False,False,False,False,2022-10-04 00:17:58.3766667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PMC-STS, INC.",Stock,Active,1091580,2023-09-30,,11 OLD SUGAR HOLLOW RD,DANBURY,United States,06810,CT,,Domestic,2022-09-01,,False,False,False,False,False,2022-10-04 00:12:05.9466667,CRADLOFF@BLUEWIN.CH,334512,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahatta LLC,LLC,Active,2620131,2023-03-31,,1245 Old Academy Rd,Fairfield,United States,06824-2031,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:56.4366667,bahattahats@gmail.com,Clothing Accessories Stores (448150),,United States,Connecticut,fulfillment+formations@zenbusiness.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MCMILLEN JACOBS ASSOCIATES, INC",Stock,Active,2621567,2023-09-01,2022-08-25,1011 Western Ave Ste 706,Seattle,United States,98104-3634,WA,"MCMILLEN JACOBS ASSOCIATES, INC",Foreign,2022-09-01,CALIFORNIA,False,False,False,False,False,2022-10-04 00:17:56.5200000,rodine@mcmjac.com,Engineering Services (541330),,,CALIFORNIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairfield County Lactation Collective LLC,LLC,Active,2622911,2023-03-31,,382 Knapps Highway,Fairfield,United States,06825,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:57.1033333,tinadh99@aol.com,Offices of All Other Miscellaneous Health Practitioners (621399),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlugSoFyre LLC,LLC,Active,2623432,2023-03-31,,240 Hallett St,Bridgeport,United States,06608,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:57.0500000,plugsofyre@outlook.com,Clothing Accessories Stores (448150),,United States,Connecticut,,1a,,,,,,,,,,,,,,,,,,,,,,,,,,
JAP ENTERPRISES LLC,LLC,Active,2624760,2023-03-31,,4 CLOVERDALE DRIVE,EAST HARTFORD,UNITED STATES,06118,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:57.8133333,JOS428@YAHOO.COM,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unity Conscious Biologics Inc.,Non-Stock,Active,2623832,2022-11-30,,,,,,,,Domestic,2022-09-01,Connecticut,True,False,True,True,True,2022-10-04 00:17:58.3433333,unityconsciousbiologics@gmail.com,,,United States,Connecticut,,,First report due,,,,,,,,,,,,,,,,,,,,,,,,,
Drago LLC,LLC,Active,2624819,2023-03-31,,39 Deerfield Dr,Easton,United States,06612-1144,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:58.3433333,dragollc@outlook.com,,,United States,Connecticut,dragollc@outlook.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Far Horizon Homeowners Association, Inc.",Non-Stock,Active,2624210,2023-09-01,,3130 Wilshire Blvd,Santa Monica,United States,90403-2346,CA,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:57.7666667,debra.diez@providentfm.com,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) (813990)",,United States,Connecticut,,,,2022-09-01,,,,,,,,,,,,,,,,,,,,,,,,
"AVIAX, INC.",Non-Stock,Active,2624626,2022-11-30,,,,,,,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:57.8000000,abbyjust@yhaoo.com,,,United States,Connecticut,,,First report due,,,,,,,,,,,,,,,,,,,,,,,,,
NIKKI ESTEPHAN L.L.C.,LLC,Active,2624647,2023-03-31,,209 BAILEY RD,MIDDLETOWN,United States,06457,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:57.8133333,efile1234@incfile.com,"Photography Studios, Portrait (541921)",,United States,Connecticut,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
connecticut beer company LLC,LLC,Active,2624559,2023-03-31,,151 Dayton Rd,South Glastonbury,United States,06073,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:57.7800000,ctbeercompany@gmail.com,Breweries (312120),,United States,Connecticut,ctbeercompany@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
4Mation Volleyball Co.,Non-Stock,Active,2624560,2022-11-30,,,,,,,,Domestic,2022-09-01,Connecticut,True,False,True,True,True,2022-10-04 00:17:57.7800000,4mationvolleyball@gmail.com,All Other Amusement and Recreation Industries (713990),,United States,Connecticut,,,First report due,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut Snowplowing L.L.C.,LLC,Active,2624572,2023-03-31,,24 Norwill Dr.,North Branford,United States,06471,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:58.3766667,tedkarbowski@yahoo.com,Landscaping Services (561730),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J&K Wireless Corp,Stock,Active,2624575,2022-11-30,,,,,,,,Domestic,2022-09-01,Connecticut,False,False,True,False,False,2022-10-04 00:17:58.3166667,sales@jkwirelesscorp.com,,200.0,United States,Connecticut,,,First report due,,,,,,,,,,,,,,,,,,,,,,,,,
Bellevue Home Solutions Inc.,Stock,Rejected,2624576,,,,,,,,,Domestic,2022-09-01,Connecticut,True,False,True,False,False,2022-10-04 00:17:58.3166667,rgonzalez@bellevueglobal.com,Residential Remodelers (236118),20000.0,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBS CLEANING SERVICES LLC,LLC,Active,2624577,2023-03-31,,71 Westphal St,West Hartford,United States,06110-1176,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:58.3300000,sirleanebritobezerra175@gmail.com,Remediation Services (562910),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mallery Education Group LLC,LLC,Active,2624579,2023-03-31,,144 Blue Hills Ave,Hartford,United States,06112-1818,CT,,Domestic,2022-09-01,Connecticut,False,False,True,False,False,2022-10-04 00:17:58.3300000,info@malleryeducationgroup.com,Professional and Management Development Training (611430),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAVIER EUSEBIO SERVICES LLC,LLC,Active,2624580,2023-03-31,,60 newtown rd,danbury,United States,06810,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:58.3300000,multiservice@7statect.com,All Other Support Services (561990),,United States,Connecticut,,#154,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTION FLOOR DESIGN  L.L.C.,LLC,Active,2624583,2023-03-31,,160 Broadway,Bridgeport,United States,06606-3757,CT,,Domestic,2022-09-01,Connecticut,False,False,True,False,False,2022-10-04 00:17:58.3100000,cat21new@hotmail.com,Flooring Contractors (238330),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamedbytay L.L.C.,LLC,Active,2624584,2023-03-31,,436 Willard Ave,Newington,United States,06111-2399,CT,,Domestic,2022-09-01,Connecticut,True,False,True,False,False,2022-10-04 00:17:58.3100000,lbenjamin84552@gmail.com,Beauty Salons (812112),,United States,Connecticut,prosts1@gmail.com,A2,,,,,,,,,,,,,,,,,,,,,,,,,,
"SLB Communications, Inc.",Stock,Rejected,2624591,,,,,,,,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:58.3000000,stephanie4berman@gmail.com,,1000.0,United States,Connecticut,onlinefilings@legalzoom.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haria Logistic LLC,LLC,Active,2624592,2023-03-31,,6 Kings Hwy,Bloomfield,United States,06002-2837,CT,,Domestic,2022-09-01,Connecticut,False,False,True,False,False,2022-10-04 00:17:58.3100000,hariafreight@gmail.com,"General Freight Trucking, Long-Distance, Truckload (484121)",,United States,Connecticut,prosts1@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Construction Services L.L.C.,LLC,Active,2624598,2023-03-31,,84 Cleveland Ave,Hartford,United States,06120-1302,CT,,Domestic,2022-09-01,Connecticut,False,False,True,False,False,2022-10-04 00:17:58.3166667,steviegardner234@gmail.com,Residential Remodelers (236118),,United States,Connecticut,prosts1@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
