name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billing_unit,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,country_formation,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,create_dt,category_survey_email_address,naics_code,geo_location,began_transacting_in_ct,business_name_in_state_country,date_of_organization_meeting,total_authorized_shares,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,mailing_jurisdiction_3,office_jurisdiction_3,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,mailing_international_address,records_address_unit
S&K Logistics LLC,LLC,Active,Annual report due,2639336,2023-03-31,360 Main st,107,Hartford,United States,06106,CT,s.kmoving2022@gmail.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.1666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernice Bova Nurse Consultant LLC,LLC,Active,Annual report due,2626056,2023-03-31,44 Vielie St,,Stratford,United States,06614-3810,CT,bbovaconsulting@hotmail.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,True,False,False,False,False,2022-12-13 00:18:28.4266667,redidbull@hotmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JS Studio LLC,LLC,Active,Annual report due,2639275,2023-03-31,295 Court D,,Bridgeport,United States,06610-3336,CT,jeimilys@live.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,True,False,True,False,False,2022-12-13 00:18:11.1100000,,Other Specialized Design Services (541490),,,,,,,,,,,,,,,,,,,,,,,,,,,,
High-Rise Logistics LLC,LLC,Rejected,,2639281,,2335 Dixwell Ave,STE 2,Hamden,United States,06514-2100,CT,adriangammage@highrise-logistics.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,False,True,True,False,False,2022-12-13 00:18:09.9333333,adrian_gammage@aol.com,"General Freight Trucking, Long-Distance, Truckload (484121)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Artists' Ensemble Productions, Inc.",Non-Stock,Active,First report due,2639288,2022-12-30,,,,,,,jackrushen5@gmail.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,False,False,False,True,False,2022-12-13 00:18:11.1566667,,"Independent Artists, Writers, and Performers (711510)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Executive Transportation LLC,LLC,Active,Annual report due,2639289,2023-03-31,27 Anna St,,Shelton,United States,06484-4501,CT,executivetransportation22@gmail.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.1800000,,Limousine Service (485320),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cindy Zheng LLC,LLC,Active,Annual report due,2639291,2023-03-31,66 Colonial Dr,,Waterford,United States,06385-3332,CT,theofficialcindyz@gmail.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:10.5266667,,Marketing Consulting Services (541613),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juanita's Deli LLC,LLC,Active,Annual report due,2639294,2023-03-31,511 West Main St,31,Stamford,United States,06902,CT,xxmargaritajxx@gmail.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,True,False,True,False,False,2022-12-13 00:18:10.5266667,,,"{'type': 'Point', 'coordinates': [-73.56007, 41.04875]}",,,,,,,,,,,,,,,,,,,,,,,,,,,
ZeroZeroStartCT LLC,LLC,Active,Annual report due,2639299,2023-03-31,34 Soundview Ave,,Shelton,United States,06484-2745,CT,zerozerostartct@gmail.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:10.0100000,winoppel@gmail.com,"Promoters of Performing Arts, Sports, and Similar Events without Facilities (711320)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wethersfield Police Union Co.,Non-Stock,Active,First report due,2639301,2022-12-30,,,,,,,wethersfieldpoliceunion@gmail.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:10.0100000,wethersfieldpoliceunion@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clevi Services LLC,LLC,Active,Annual report due,2639303,2023-03-31,6 Quien St,Lower,Danbury,United States,06810-6418,CT,ceodaddy@gmail.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:10.0100000,,Janitorial Services (561720),"{'type': 'Point', 'coordinates': [-73.46194, 41.3905]}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"AM&T Apparel, Cosmetics, and Accessories LLC",LLC,Active,Annual report due,2639315,2023-03-31,43 Linsley Ave,,Meriden,United States,06451-4010,CT,office@amandt.store,Domestic,United States,2022-10-01,Connecticut,Connecticut,False,False,True,False,False,2022-12-13 00:18:09.9566667,,Clothing Accessories Stores (448150),"{'type': 'Point', 'coordinates': [-72.80944, 41.53763]}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cameo's Consulting, LLC",LLC,Active,Annual report due,2639324,2023-03-31,9 Winthrop Ter,,Meriden,United States,06451-7636,CT,thornec76@gmail.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,True,False,False,False,False,2022-12-13 00:18:09.9566667,,Human Resources Consulting Services (541612),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink Flamingo Properties LLC,LLC,Active,Annual report due,2639331,2023-03-31,102 Center St,,Southington,United States,06489-3108,CT,lrevjen98@yahoo.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,True,False,False,False,False,2022-12-13 00:18:09.9566667,kristen@gblawgroup.com,Lessors of Other Real Estate Property (531190),,,,,,,,,,,,,,,,,,,,,,,,,,,,
East-Bridge Entertainment LLC,LLC,Active,Annual report due,2639328,2023-03-31,19 Keller Ave,,Enfield,United States,06082-3417,CT,angie.mack979@yahoo.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,False,False,True,False,False,2022-12-13 00:18:11.1666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP Liquid Assets LLC,LLC,Active,Annual report due,2639333,2023-03-31,6 Rhodora Ter,,Windsor,United States,06095-4721,CT,bankwirewatches@gmail.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.1666667,,Jewelry Stores (448310),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eco Insulators LLC,LLC,Active,Annual report due,2639344,2023-03-31,35 Patriot Way,,Uxbridge,United States,01569-2912,MA,info@ecoinsulators.org,Foreign,,2022-10-01,MASSACHUSETTS,MASSACHUSETTS,False,False,False,False,False,2022-12-13 00:18:11.1666667,,Residential Remodelers (236118),,2022-10-01,Eco Insulators LLC,,,,,,,,,,,,,,,,,,,,,,,,,
MACcreate LLC,LLC,Active,Annual report due,2639345,2023-03-31,130 Upper Whittemore Rd,,Middlebury,United States,06762,CT,maccreatellc@gmail.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,True,True,True,False,False,2022-12-13 00:18:10.5600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinetra Enterprises LLC,LLC,Active,Annual report due,2639352,2023-03-31,269 N Frontage Rd,,New London,United States,06320-2642,CT,kapoor.gurnam@gmail.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,False,False,True,False,False,2022-12-13 00:18:10.5600000,,Other Accounting Services (541219),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healthy Options Vending LLC,LLC,Active,Annual report due,2639354,2023-03-31,12 Pritten Hill Rd,,Brookfield,United States,06804-3527,CT,micgro@gmail.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:10.5600000,,Vending Machine Operators (454210),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakdale Elementary School PTO Inc.,Non-Stock,Active,Annual report due,2639363,2023-10-07,30 Indiana Cir,,Oakdale,United States,06370-1628,CT,oakdalectpto@gmail.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:10.5600000,,Civic and Social Organizations (813410),,,,2022-08-23,,,,,,,,,,,,,,,,,,,,,,,,
"Palmer Tutoring, LLC",LLC,Active,Annual report due,2639365,2023-03-31,467 Glen St,2N,New Britain,United States,06051-3453,CT,palmertutoringllc@gmail.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,True,False,True,False,False,2022-12-13 00:18:10.5600000,palmertutoringllc@gmail.com,Exam Preparation and Tutoring (611691),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intipa LLC,LLC,Active,Annual report due,2639368,2023-03-31,43 Moody Rd,,Enfield,United States,06082-3101,CT,intipacorporation@gmail.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,True,False,True,False,False,2022-12-13 00:18:10.5600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIP LOGISTICS LLC,LLC,Active,Annual report due,2639367,2023-03-31,113 Division St,1fl,Waterbury,United States,06704,CT,carlosmoreta835@gmail.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.1666667,,"Specialized Freight (except Used Goods) Trucking, Long-Distance (484230)","{'type': 'Point', 'coordinates': [-73.02662, 41.56311]}",,,,,,,,,,,,,,,,,,,,,,,,,,,
CB LANDSCAPING LLC,LLC,Active,Annual report due,2639378,2023-03-31,48 Douglas Ave,,Waterbury,United States,06708-2727,CT,cblandscaping@gmail.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.1666667,,Landscaping Services (561730),"{'type': 'Point', 'coordinates': [-73.06712, 41.55103]}",,,,,,,,,,,,,,,,,,,,,,,,,,,
MT_Survivor LLC,LLC,Active,Annual report due,2639379,2023-03-31,4 Suburban Dr,,Norwalk,United States,06851-1612,CT,marc.terry1942@gmail.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:09.9766667,,"Independent Artists, Writers, and Performers (711510)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIY Vinyl Decal LLC,LLC,Active,Annual report due,2639402,2023-03-31,109 Winthrop Ave,1r,New Haven,United States,06519-5536,CT,jtjaj627@gmail.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:10.6133333,jtjaj627@gmail.com,Electronic Shopping and Mail-Order Houses (454110),,,,,,,,,,,,,,,,,,,,,,,,,,,,
D&I Cleaning Services LLC,LLC,Active,Annual report due,2639403,2023-03-31,64 FAWN HILL RD,,WESTBROOK,United States,06498,CT,ir54931@gmail.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,True,False,True,False,False,2022-12-13 00:18:11.1100000,,Janitorial Services (561720),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1st Impressions CT LLC,LLC,Active,Annual report due,2639406,2023-03-31,36 Glendale Ave,,Bridgeport,United States,06606-2705,CT,1stimpressionsct@gmail.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,True,False,True,False,False,2022-12-13 00:18:11.1100000,,"Cosmetics, Beauty Supplies, and Perfume Stores (446120)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
