name,business_type,status,sub_status,accountnumber,annual_report_due_date,began_transacting_in_ct,billingstreet,billing_unit,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,business_name_in_state_country,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,create_dt,geo_location,country_formation,naics_code,total_authorized_shares,date_of_organization_meeting,category_survey_email_address,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,mailing_jurisdiction_3,office_jurisdiction_3,dissolution_date,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,mailing_international_address,mail_jurisdiction,records_address_unit
"THE BOUKLIS GROUP, INC.",Stock,Active,Annual report due,2603146,2023-11-01,2022-12-01,65 Broadway,502,New York,United States,10006,NY,tom@bouklisgroup.com,"THE BOUKLIS GROUP, INC.",Foreign,2022-11-01,NEW YORK,NEW YORK,False,False,False,False,False,2022-12-13 00:17:58.7133333,"{'type': 'Point', 'coordinates': [-74.012311, 40.707146]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Healthcare2UNJ Network, PC",Stock,Active,Annual report due,2646607,2023-11-01,2022-11-01,6101 W. Courtyard Drive,Suite 210,Austin,United States,78730,TX,al.gaston@healthc2u.com,"Healthcare2UNJ Network, PC",Foreign,2022-11-01,NEW JERSEY,NEW JERSEY,False,False,False,False,False,2022-12-13 00:18:14.5566667,"{'type': 'Point', 'coordinates': [-97.7977, 30.35636]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three Bs LLC,LLC,Rejected,,2646873,,,496 Dogwood Rd,,Orange,United States,06477-2614,CT,importexport91735@gmail.com,,Domestic,2022-11-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:13.9133333,,United States,Freight Transportation Arrangement (488510),,,,,,,,,,,,,,,,,,,,,,,,,,,
"TRAVELERS NYC, INCORPORATED",Stock,Rejected,,2648831,,2022-10-21,112 Glenveiw terr,,New Haven,United States,06515,CT,autopaul1971@yahoo.com,Travelers NYC Inc,Domestic,2022-11-01,Connecticut,Connecticut,False,False,True,False,False,2022-12-13 00:18:15.2300000,,United States,"General Freight Trucking, Long-Distance, Less Than Truckload (484122)",20000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"Healthcare Realty Services, LLC",LLC,Active,Annual report due,2649845,2023-03-31,2022-11-01,3310 West End Avenue,Suite 700,Nashville,United States,37203,TN,rhiggins@healthcarerealty.com,"Healthcare Realty Services, LLC",Foreign,2022-11-01,TENNESSEE,TENNESSEE,False,False,False,False,False,2022-12-13 00:18:15.1900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nine Ledges LLC,LLC,Active,Annual report due,2651286,2023-03-31,,5 Stuart Dr.,,Newtown,United States,06470,CT,info@nineledges.com,,Domestic,2022-11-01,Connecticut,Connecticut,True,False,False,True,False,2022-12-13 00:18:15.8633333,,United States,All Other Personal Services (812990),,,,,,,,,,,,,,,,,,,,,,,,,,,
"Juxto, LLC",LLC,Active,Annual report due,2652365,2023-03-31,2022-11-01,10372 Crawford Canyon Rd,,Santa Ana,United States,92705-1414,CA,ro@juxto.com,"Juxto, LLC",Foreign,2022-11-01,CALIFORNIA,CALIFORNIA,False,False,False,False,False,2022-12-13 00:18:20.2833333,,,All Other Telecommunications (517919),,,,,,,,,,,,,,,,,,,,,,,,,,,
Legacy Management LLC,LLC,Active,Annual report due,2652568,2023-03-31,,62 Chapel,,South Windsor,United States,06074,CT,legacyfinancial99@gmail.com,,Domestic,2022-11-01,Connecticut,Connecticut,True,False,True,False,False,2022-12-13 00:18:18.4400000,,United States,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,,,,,
SMS Construction LLC,LLC,Active,Annual report due,2653379,2023-03-31,2022-02-15,4007 Dean Martin Dr,,Las Vegas,United States,89103-4137,NV,legal@patriotholdings.com,SMS Construction LLC,Foreign,2022-11-01,NEVADA,NEVADA,False,False,False,False,False,2022-12-13 00:18:21.7000000,,,Commercial and Institutional Building Construction (236220),,,,,,,,,,,,,,,,,,,,,,,,,,,
MSO Metro LLC,LLC,Active,Annual report due,2653388,2023-03-31,2022-10-01,800 E Gate Blvd,,Garden City,United States,11530,NY,michaelm@metropt.com,MSO Metro LLC,Foreign,2022-11-01,NEW YORK,NEW YORK,False,False,False,False,False,2022-12-13 00:18:16.5000000,,,"Corporate, Subsidiary, and Regional Managing Offices (551114)",,,,,,,,,,,,,,,,,,,,,,,,,,,
