name,business_type,status,sub_status,accountnumber,annual_report_due_date,began_transacting_in_ct,billingstreet,billing_unit,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,business_name_in_state_country,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,create_dt,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,naics_code,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction_3,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,country_formation,category_survey_email_address,date_of_organization_meeting,total_authorized_shares,dissolution_date,mailing_jurisdiction_3,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,geo_location,mailing_international_address,records_address_unit
"WaveAerospace, Inc.",Stock,Active,Annual report due,2659310,2023-12-01,2023-01-01,9 W Broad St,Suite 320,Stamford,United States,06902,CT,sbofill@waveaerospace.com,"WaveAerospace, Inc.",Foreign,2022-12-01,DELAWARE,DELAWARE,False,False,False,False,False,2023-01-04 00:18:34.2500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overnightinsuranceservices.com LLC,LLC,Active,Annual report due,2661844,2023-03-31,2022-12-01,21800 Burbank Blvd,100,Woodland Hills,United States,91367-6470,CA,olivia@overnightinsurance.com,Overnightinsuranceservices.com LLC,Foreign,2022-12-01,CALIFORNIA,CALIFORNIA,False,False,False,False,False,2023-01-04 00:18:34.3233333,"21800 Burbank Blvd, Woodland Hills, CA, 91367-6470, United States",21800 Burbank Blvd,Woodland Hills,CA,91367-6470,United States,Insurance Agencies and Brokerages (524210),"21800 Burbank Blvd, 100, Woodland Hills, CA, 91367-6470, United States",21800 Burbank Blvd,100,Woodland Hills,CA,91367-6470,United States,,,,,,,,,,,,,,,
"PROCTORU, Inc.",Stock,Active,Annual report due,2663273,2023-12-01,2022-06-27,"2200 Riverchase Center, Suite 600",,Birmingham,United States,35244,AL,ar@meazurelearning.com,"PROCTORU,",Foreign,2022-12-01,Delaware,Delaware,False,False,False,False,False,2023-01-04 00:18:32.2600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSCT Management LLC,LLC,Active,Annual report due,2663219,2023-03-31,,17 Faye Ln,,Mount Pleasant,United States,29464-6626,SC,blucas@sweetspotfarms.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:18:31.7400000,,,,,,,Administrative Management and General Management Consulting Services (541611),,,,,,,,United States,,,,,,,,,,,,,,
BCH Home LLC,LLC,Active,Annual report due,2665122,2023-03-31,,29 Jackson Rd,,Sharon,United States,06069-2137,CT,hcagneymorrison@gmail.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:18:32.3633333,,,,,,,Offices of Real Estate Agents and Brokers (531210),,,,,,,,United States,,,,,,,,,,,,,,
"DJM Enterprises, LLC",LLC,Active,Annual report due,2665962,2023-03-31,,12 Brookwood Road,,New Fairfield,United States,06812,CT,nfdanmurtagh@gmail.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:18:32.2600000,,,,,,,Lessors of Other Real Estate Property (531190),,,,,,,,United States,,,,,,,,,,,,,,
"KEY TO HOME SOLUTIONS, LLC",LLC,Active,Annual report due,2666720,2023-03-31,2022-12-01,100 Cold Spring Rd #A102,,Rocky Hill,United States,06067,CT,shaq4u2nv@aol.com,"KEY TO HOME SOLUTIONS, LLC",Foreign,2022-12-01,NEVADA,NEVADA,False,False,False,False,False,2023-01-04 00:18:34.9600000,,,,,,,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,
Creative Mortgage Solutions Corp,Stock,Active,Annual report due,2669360,2023-12-01,2022-12-05,5210 River Park Villas Dr,,Saint Augustine,United States,32092-1402,FL,renaldo@creativemsc.com,Creative Mortgage Solutions Corp,Foreign,2022-12-01,FLORIDA,FLORIDA,False,False,False,False,False,2023-01-04 00:08:23.3400000,,,,,,,Mortgage and Nonmortgage Loan Brokers (522310),,,,,,,,,,,,,,,,,,,,,,
McKnight Entrepreneurs LLC,LLC,Active,Annual report due,2669993,2023-03-31,,29 Deforest Ave,,Bridgeport,United States,06607-2412,CT,mcknightentrepreneurs@gmail.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:22.7100000,,,,,,,,,,,,,,,United States,,,,,,,,,,,,,,
CT 163 SHEFFIELD LLC,LLC,Active,Annual report due,2670430,2023-03-31,,3801 N 66th Ave,,Hollywood,United States,33024-1933,FL,rovashct@gmail.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:22.6533333,,,,,,,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,United States,,,,,,,,,,,,,,
CT 167 WEST LLC,LLC,Active,Annual report due,2670380,2023-03-31,,3801 N 66th Ave,,Hollywood,United States,33024-1933,FL,rovashct@gmail.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:23.2433333,,,,,,,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,United States,,,,,,,,,,,,,,
CT 230 FILLMORE LLC,LLC,Active,Annual report due,2670413,2023-03-31,,3801 N 66th Ave,,Hollywood,United States,33024-1933,FL,rovashct@gmail.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:23.3566667,,,,,,,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,United States,,,,,,,,,,,,,,
The Archon Agency LLC,LLC,Active,Annual report due,2670978,2023-03-31,,465 Buckland Hills Dr,26333,Manchester,United States,06042-9100,CT,mattgflan@gmail.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:20.7733333,,,,,,,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures (711410)",,,,,,,,United States,mattgflan@gmail.com,,,,,,,,,,,,,
Slayedbykorii LLC,LLC,Active,Annual report due,2670988,2023-03-31,,49 Jennifer Way,,Manchester,United States,06042-1984,CT,shakorip@gmail.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:23.3566667,,,,,,,Other Personal Care Services (812199),,,,,,,,United States,,,,,,,,,,,,,,
