stereo-stereo amba,Reventlowsgade 14, 3. tv1651 København V,København V,null,43717219,nicolai@podpeople.dk,4009489961,virksomhed,false,false,false,false,900300 Kunstnerisk skaben,,1651,null,true,2022-11-01,NORMAL,25688882,Andelsselskab (-forening) med begrænset ansvar,false
CFS Invest Holding Aps,Gøgevang 632970 Hørsholm,Hørsholm,null,41750758,null,4008602266,virksomhed,false,false,false,false,642020 Ikke-finansielle holdingselskaber,,2970,null,true,2020-10-09,NORMAL,null,Anpartsselskab,false
7773 Vinbar ApS,Dronninggårdvej 119400 Nørresundby,Nørresundby,null,43676792,erik.kovacs@yahoo.com,4009464286,virksomhed,false,false,false,false,563000 Cafeér, værtshuse, diskoteker mv.,,9400,null,true,2022-11-30,NORMAL,50169498,Anpartsselskab,false
Jesper Strømgaard Holding ApS,C/O Søren StrømgaardFerren 579492 Blokhus,Blokhus,C/O Søren Strømgaard,37184160,jesper.stromgaard@gmail.com,4006311074,virksomhed,false,false,false,false,620900 Anden it-servicevirksomhed,,9492,null,true,2015-10-27,NORMAL,null,Anpartsselskab,false
Circular Parts ApS,Halkjærvej 18A9200 Aalborg SV,Aalborg SV,null,43523112,null,4009385803,virksomhed,false,false,false,false,453100 Engroshandel med reservedele og tilbehør til motorkøretøjer,,9200,null,true,2022-09-12,NORMAL,null,Anpartsselskab,false
PRÆSTESKOV KLEINSMEDIE ApS,Bækkeviggårdsvej 34270 Høng,Høng,null,36077832,null,4002044460,virksomhed,false,false,false,false,255000 Smedning, presning, sænksmedning og valsning af metal: pulvermetallurgi,,4270,null,false,2014-08-28,NORMAL,null,Anpartsselskab,false
RJ leasing, salg og service ApS,Klogborgvej 5Sir7500 Holstebro,Holstebro,null,36683368,null,4005937083,virksomhed,false,false,false,false,771100 Udlejning og leasing af biler og lette motorkøretøjer,,7500,null,false,2015-03-13,NORMAL,null,Anpartsselskab,false
KVEEM Holding ApS,Horsensgade 1, 3. tv2100 København Ø,København Ø,null,41461144,null,4008486418,virksomhed,false,false,false,false,642020 Ikke-finansielle holdingselskaber,,2100,null,true,2020-06-15,NORMAL,93917581,Anpartsselskab,false
SIMA Invest Holding ApS,C/O Henrik JensenSvenstrupvej 984400 Kalundborg,Kalundborg,C/O Henrik Jensen,40374183,null,4008024145,virksomhed,false,false,false,false,642020 Ikke-finansielle holdingselskaber,,4400,null,true,2019-03-25,NORMAL,null,Anpartsselskab,false
LHA Denmark ApS,Store Kongensgade 62A, st.1264 København K,København K,null,44054086,null,4009668428,virksomhed,false,false,false,false,642020 Ikke-finansielle holdingselskaber,,1264,null,false,2023-05-12,NORMAL,null,Anpartsselskab,false
TRYGVE HOLDING ApS,Voldbygårdvej 168653 Them,Them,null,34896135,null,5753095,virksomhed,false,false,false,false,642020 Ikke-finansielle holdingselskaber,,8653,null,true,2013-01-02,NORMAL,null,Anpartsselskab,false
Ingeniørbyg ApS,C/O magnus tondevoldMaglebjergvej 62800 Kongens Lyngby,Kongens Lyngby,C/O magnus tondevold,42627720,magnus.tondevold@ingeniorbyg.dk,4008982806,virksomhed,false,false,false,false,412000 Opførelse af bygninger,,2800,null,true,2021-08-26,NORMAL,22911457,Anpartsselskab,false
Troldeloppen ApS,Tjørnevej 34960 Holeby,Holeby,null,41248963,null,4008396451,virksomhed,false,false,false,false,477900 Detailhandel med brugte varer i forretninger,,4960,null,true,2020-03-18,NORMAL,null,Anpartsselskab,false
AK PLANNING ApS,Tyrolsgade 3, 4. th2300 København S,København S,null,36483032,buddyeventsdk@gmail.com,4003841705,virksomhed,false,false,false,false,932990 Andre forlystelser og fritidsaktiviteter,,2300,null,true,2015-01-07,NORMAL,null,Anpartsselskab,false
Kontorfællesskabet på Vesterbrogade 111 ApS,Vesterbrogade 111, st.1620 København V,København V,null,42233390,null,4008807531,virksomhed,false,false,false,false,855900 Anden undervisning i.a.n.,,1620,null,true,2021-03-16,NORMAL,null,Anpartsselskab,false
Future Fortune ApS,C/O Anders Egholm JensenÅvang 633400 Hillerød,Hillerød,C/O Anders Egholm Jensen,37899380,egholm78@gmail.com,4006606680,virksomhed,false,false,false,false,702200 Virksomhedsrådgivning og anden rådgivning om driftsledelse,,3400,null,true,2016-07-29,NORMAL,null,Anpartsselskab,false
SPIFUS Holding ApS,C/O Poul BodeholtAkacievej 134683 Rønnede,Rønnede,C/O Poul Bodeholt,38312286,null,4006763810,virksomhed,false,false,false,false,642020 Ikke-finansielle holdingselskaber,,4683,null,true,2017-01-04,NORMAL,null,Anpartsselskab,false
RYTTERVEJ 4 ApS,Ryttervej 45700 Svendborg,Svendborg,null,29845522,mhe@tranberg.dk,4001590749,virksomhed,false,false,false,false,682040 Udlejning af erhvervsejendomme,,5700,null,true,2006-09-07,NORMAL,62172140,Anpartsselskab,false
Jannie Øehl Holding ApS,Grønlandsvej 74200 Slagelse,Slagelse,null,43676520,null,4009464104,virksomhed,false,false,false,false,642020 Ikke-finansielle holdingselskaber,,4200,null,true,2022-11-30,NORMAL,null,Anpartsselskab,false
Mads Egmose Holding ApS,Kildevældet 5, 3. 39000 Aalborg,Aalborg,null,43477544,null,4009364928,virksomhed,false,false,false,false,642020 Ikke-finansielle holdingselskaber,,9000,null,true,2022-08-31,NORMAL,null,Anpartsselskab,false
ERLING KURT ANDERSEN HOLDING ApS,C/O Vemmelev Tømrerforretning ApSIndustrivej 94241 Vemmelev,Vemmelev,C/O Vemmelev Tømrerforretning ApS,31173000,null,5189910,virksomhed,false,false,false,false,642020 Ikke-finansielle holdingselskaber,,4241,null,false,2007-12-28,NORMAL,null,Anpartsselskab,false
KBH Ejendomme 2022 ApS,Åbrinken 586900 Skjern,Skjern,null,43355228,null,4009309365,virksomhed,false,false,false,false,682030 Anden udlejning af boliger,,6900,null,false,2022-06-28,NORMAL,null,Anpartsselskab,false
Destillatoriet ApS,Emilievej 169900 Frederikshavn,Frederikshavn,null,42354015,null,4008863047,virksomhed,false,false,false,false,110100 Destillation, rektifikation og blanding af alkohol,,9900,null,true,2021-05-03,NORMAL,null,Anpartsselskab,false
RAUNEA ApS,Lundemosen 322670 Greve,Greve,null,43487299,null,4009368834,virksomhed,false,false,false,false,581900 Anden udgivervirksomhed,,2670,null,true,2022-09-05,NORMAL,null,Anpartsselskab,false
