2,,Name,Number,State,RegisteredDate
3,,KANDHOODHOO COOPERATIVE SOCIETY,CS-0031/2011,Registered,15-Dec-2011
4,,BIZVILLE MALDIVES COOPERATIVE SOCIETY,CS-0002/2011,Registered,20-Apr-2011
5,,FEEALI DEVELOPMENT COOPERATIVE SOCIETY,CS-0003/2011,Registered,24-Apr-2011
6,,BODUTHILADHUNMATHI COOPERATIVE SOCIETY,CS-0001/2011,Registered,22-Feb-2011
7,,UNITED REGIONAL COOPORATIVE SOCIETY,CS-0006/2009,Registered,16-Nov-2009
8,,ADDU MEEDHOO COOPERATIVE SOCIETY,CS-0006/2010,Registered,29-Nov-2010
9,,FIYOAREE KURI COOPERATIVE SOCIETY,CS-0025/2011,Registered,22-Nov-2011
10,,THULHAADHOO COOPERATIVE SOCIETY,CS-0005/2010,Registered,23-Nov-2010
11,,SH. BILEIYFAHEE ZUVAANUNGE CORPORATIVE SOCIETY,CS-0004/2010,Registered,09-Aug-2010
12,,TH. GURAIDHOO RAYYITHUNGE COOPORATIVE SOCIETY,CS-0003/2010,Registered,22-Jul-2010
13,,SOUTHERN HOSPITALITY SERVICES COOPERATIVE SOCIETY,CS-0021/2011,Registered,13-Sep-2011
14,,FAADIPPOLHU COOPERATIVE SOCIETY,CS-0018/2011,Registered,24-Aug-2011
15,,KAASHIDHOO GREEN COOPERATIVE SOCIETY,CS-0016/2011,Registered,21-Aug-2011
16,,MALDIVES AUTHENTIC CRAFTS (MACCS) COOPERATIVE SOCIETY,CS-0017/2011,Registered,24-Aug-2011
17,,THENADHOO DEVELOPMENT COOPERATIVE SOCIETY,CS-0015/2011,Registered,17-Aug-2011
18,,ADDU TRADE COOPERATIVE SOCIETY,CS-0013/2011,Registered,07-Jul-2011
19,,FUNADHOO COOPERATIVE SOCIETY,CS-0012/2011,Registered,05-Jul-2011
20,,FUNAADU DEVELOPMENT COOPERATIVE SOCIETY,CS-0011/2011,Registered,30-Jun-2011
21,,SOUTHERN FARMERS COOPERATIVE SOCIETY,CS-0009/2011,Registered,26-Jun-2011
22,,HOADANDU FRESH COOPERATIVE SOCIETY,CS-0019/2011,Registered,24-Aug-2011
23,,KUDARIKILU COOPERATIVE SOCIETY,CS-0007/2012,Registered,14-May-2012
24,,VAADHOO FARMERS COOPERATIVE SOCIETIES,CS-0010/2011,Registered,27-Jun-2011
25,,MASHE COOPERATIVE SOCIETY,CS-0014/2011,Registered,10-Jul-2011
26,,GADHDHOO COOPERATIVE SOCIETY,CS-0008/2011,Registered,15-Jun-2011
27,,ADDU COOPERATIVE ENTERTAINMENT SOCIETY,CS-0007/2011,Registered,07-Jun-2011
28,,FUVAHMULAH COOPERATIVE SOCIETY,CS-0006/2011,Registered,29-May-2011
29,,BAARAH COOPERATIVE SOCIETY,CS-0004/2011,Registered,10-May-2011
30,,A ELEVEN COOPERATIVE SOCIETY,CS-0005/2011,Registered,10-May-2011
31,,VEYMANDOO WOMENS COOPERATIVE  SOCIETY,CS-0005/2012,Registered,06-May-2012
