2,,Name,Number,ManagingPartner,State,RegisteredDate
3,,VAKAALAATH CHAMBERS L.L.P,P-0002/2010,ANAS ABDUL SATTAR,Registered,04-May-2010
4,,"MOHAMED, JAMEEL & CO. UNITED FOOD SUPPLIERS & PARTNERS",P-0003/2010,AHMED ZAID,Registered,17-Jun-2010
5,,NASHEED & CO,P-0004/2010,MOHAMED NASHEED,Registered,28-Sep-2010
6,,"SHAH, HUSSAIN & CO. BARRISTERS AND ATTORNEYS",P-0120/1999,HUSSAIN SHIHAM,Registered,08-Jun-1999
7,,ERNST & YOUNG,P-0192/1995,HECTOR MANIL ANTHONY JAYESINGHE,Registered,31-Aug-1995
8,,M.S.H TRADE & SERVICE PARTNERS,P-0006/2010,SHAHID ABDUL RAHEEM,Registered,28-Nov-2010
9,,AEQUITAS LEGAL CONSULTANTS L.L.P,P-0004/2005,HASSAN LATHEEF,Registered,29-Dec-2005
10,,ZRS SEMBLANCE,P-0001/2011,FATHIMATH ZIMNA,Registered,17-Jan-2011
11,,CROWE MALDIVES,P-0002/2008,HASSAN MOHAMED,Registered,25-Dec-2008
12,,PRICE WATER HOUSE COOPERS,P-0689/1980,THURAIAPPAH PADAMANATHAN,Registered,18-Dec-1980
13,,A.A.A & TRADING COMPANY,P-0514/1979,ABDULLAH ALI,Registered,28-Mar-1979
14,,EMMJAY ASSOCIATES (PARTNERSHIP),P-0001/2007,Dr. Ibrahim Mahfooz,Registered,07-Aug-2007
15,,S & A LAWYERS,P-0178/2002,MOHAMED SHAHDY ANWAR,Registered,25-Jun-2002
16,,FJS ASSOCIATES,P-0001/2010,FAREEHA SHAREEF,Registered,07-Apr-2010
17,,M3 AND COMPANY,P-0001/2004,WIMALACHANDRA ARACHCHIGE DON SUSIL WIMALACHANDRA,Registered,21-Oct-2004
18,,URBAN STITCH ( PARTNERSHIP ),P-0001/2009,ARSHAD JAMEEL,Registered,09-Feb-2009
19,,CHANNEL TWO A BUSINESS PARTNERSHIP (PARTNERSHIP),P-0003/2005,ALI NASEEM,Registered,10-Nov-2005
20,,MAXIME CHAMBERS,P-0003/2009,NADEEM IBRAHIM,Registered,09-Aug-2009
21,,FIBRENET EYDHAFUSHEE CABLE NETWORK (PARTNETSHIP),P-0002/2003,IBRAHIM RASHEED,Registered,24-Feb-2003
22,,HALEEM & CO,P-0001/2005,Fathimath Haleem,Registered,15-Mar-2005
23,,DAAF STORE NO.1 DEVELOPMENT & MANAGEMENT PARTNER,P-0002/2009,MOHAMED JALEEL,Registered,07-May-2009
24,,SHAFEEQ & PARTNERS LAW FIRM,P-0236/1999,AHMED SHAFEEG,Registered,14-Oct-1999
25,,HASHIM HEYMAA  TRADING,P-0267/1999,HASHIM MOHAMED,Registered,05-Dec-1999
26,,MAZLAN AND MURAD LAW ASSOCIATES,P-0001/2006,MAZLAN RASHEED,Registered,25-Jul-2006
27,,RAAJJE CHAMBERS,P-0002/2007,,Registered,02-Sep-2007
