Sr. No.,CUIN,Company Name,Incorporation Date / Registration Date,CRO Name
1,0025155,BROTHERS NETWORK (PRIVATE) LIMITED.,9/18/91,Islamabad
2,0022334,FINE CONTROL SYSTEM (PVT.)LIMITED,8/27/90,Islamabad
3,0028413,FLYWAY TRAVEL (PRIVATE) LIMITED,9/20/92,Islamabad
4,0068005,RAWAIL BUILDERS (PVT.) LIMITED,11/5/08,Islamabad
5,0008296,PETRO CHEMICAL (PRIVATE) LIMITED,1/6/81,Islamabad
6,0040553,AWM (PRIVATE) LIMITED,9/25/99,Islamabad
7,0029770,AIM SPORTS (PRIVATE)LIMITED,3/1/93,Islamabad
8,0022395,A.H. FIBRE GLASS INDUSTRIES (PRIVATE) LIMITED.,9/9/90,Islamabad
9,0031919,AGRIC FIELDS INTERNATIONAL (PRIVATE) LIMITED,1/23/94,Islamabad
10,0041227,ANA COMPANY (PRIVATE) LIMITED,5/10/00,Islamabad
11,0019662,CARSON TEA (PRIVATE) LIMITED,5/25/89,Islamabad
12,0013665,ASIAN DE ENTERPRISE (PRIVATE) LIMITED,10/29/85,Islamabad
13,0021439,ARTISTIC  ENTERPRISES (PRIVATE ) LIMITED,4/5/90,Islamabad
14,0027667,BRAINWAVES INTERNATIONAL (PRIVATE) LIMITED,6/29/92,Islamabad
15,0037775,BAREELA INFORMATION TECHNOLOGY (PRIVATE) LIMITED,3/20/97,Islamabad
16,0030039,BELL TRADE (PRIVATE) LIMITED,4/6/93,Islamabad
17,0034218,AGMA EAST (PRIVATE) LIMITED,2/6/95,Islamabad
18,0014380,AQUA INTERNATIONAL (PRIVATE) LIMITED,4/23/86,Islamabad
19,0035605,ASIAN NEWESPAPERS (PRIVATE) LIMITED,10/19/95,Islamabad
20,0032613,AL-SYED &COMPANY  EXPORTERS AND INDENTORS(PRIVATE)LIMITED,5/19/94,Islamabad
21,0073565,ERC GLOBAL (PVT.) LIMITED,9/15/10,Karachi
22,0032612,ADVERTISING  RESOURCE TECHNIQUE  (PRIVATE)LIMITED,5/19/94,Islamabad
23,0032099,AL-KHAIR CONSULTANTS (PRIVATE) LIMITED,2/24/94,Islamabad
24,0035005,ALLIED PAPER INDUSTRIES (PRIVATE) LIMITED,6/19/95,Islamabad
25,0019569,FIBERCRAFTS (PRIVATE) LIMITED,5/2/89,Islamabad
26,0010939,AGROTECH (PAKISTAN)  PRIVATE LIMITED,11/22/83,Islamabad
27,0022622,ATIQ & COMPANY (PRIVATE) LIMITED,10/18/90,Islamabad
28,0033476,CRESCENT MAPLE (PRIVATE) LIMITED,10/14/94,Islamabad
29,0031568,CONTACT (PRIVATE) LIMITED,11/23/93,Islamabad
30,0063237,FACILITIES SYSTEMS AND MANAGEMENT (PRIVATE) LIMITED,10/25/07,Karachi
31,0011155,HALCYON AVIA (PRIVATE) LIMITED,1/23/84,Islamabad
32,0002380,F & I INDUSTRIES (PVT.) LIMITED,10/19/66,Islamabad
33,0026219,HOTEL AL-KIAN INTENATIONAL (PRIVATE) LIMITED,1/19/92,Islamabad
34,0031724,AMERICAN TRAVEL INTERNATIONAL (PRIVATE) LIMITED,12/22/93,Islamabad
35,0032478,AMMANN & WHITNEY PAKISTAN (PRIVATE) LIMITED,4/30/94,Islamabad
36,0041186,ATTOCK SECURITY COMPANY (PRIVATE) LIMITED,4/28/00,Islamabad
37,0034348,COMBINE MULTI ENGINEERING (PRIVATE)LIMITED,2/27/95,Islamabad
38,0031181,BIZLINK POWER & COMMUNICATION (PRIVATE)LIMITED,9/18/93,Islamabad
39,0021809,BAGRANI BROTHERS (PRIVATE) LIMITED.,5/27/90,Islamabad
40,0010502,BULDING PDODUCTS (PRIVATE)LIMITED,6/25/83,Islamabad
41,0022612,CHEM-SYSTEMS (PRIVATE)LIMITED,10/16/90,Islamabad
42,0013599,ASSOCIATED DRILLERS (PRIVATE) LIMITED,10/14/85,Islamabad
43,0034743,EASTERN SALT RANGE MINING (PRIVATE) LIMITED,5/8/95,Islamabad
44,0022972,FARAH  ELAHI (PRIVATE)LIMITED,12/24/90,Islamabad
45,0025826,A. M. TEXTILE MILLS (PRIVATE) LIMITED.,12/2/91,Islamabad
46,0034079,AL- SHIFA TRADERS (PRIVATE) LIMITED,1/17/95,Islamabad
47,0036820,COPLOMATIC ENGINEER (PRIVATE) LIMITED,7/7/96,Islamabad
48,0062409,ALTVIA (PVT.) LIMITED,8/3/07,Lahore
49,0031149,BUSINESS BASE INTERNATIONAL (PRIVATE ) LIMITED.,9/14/93,Islamabad
50,0021457,AKHWAN SOAP INDUSTRIES (PRIVATE) LIMITED,4/7/90,Islamabad
51,0063239,SPINX TRADERS (PVT.) LIMITED,10/25/07,Lahore
52,0038316,AUTOGRAPHICS PAKISTAN (PRIVATE) LIMITED,9/15/97,Islamabad
53,0068082,PIES SCHOOL & COLLEGE (PVT.) LIMITED,11/13/08,Islamabad
54,0032670,ASKARI  COMMUNICATIONS (PRIVATE) LIMITED,6/1/94,Islamabad
55,0034996,ASRAR INTERNATIONAL (PRIVATE)  LIMITED,6/18/95,Islamabad
56,0032343,AL-HASNAIN HATCHERY (PRIVATE) LIMITED,4/11/94,Islamabad
57,0030539,BUSINESS  CONNECTORS INTERNATIONAL (PRIVATE)LIMITED,6/13/93,Islamabad
58,0020961,ABU-ER-RUBB ENGINEERING (PRIVATE) LIMITED,1/17/90,Islamabad
59,0035637,EASTERN WING (PRIVATE) LIMITED,10/25/95,Islamabad
60,0022749,FOUNDATION STEEL (PRIVATE) LIMITED .,11/14/90,Islamabad
61,0040359,CLASSIFIED ENGINEERING (PRIVATE)LIMITED,7/23/99,Islamabad
62,0063343,FOCUS INTERNATIONAL (PVT.) LIMITED,11/5/07,Islamabad
63,0039793,AND OR LOGIC  PAKISTAN (PRIVATE) LIMITED,1/12/99,Islamabad
64,0031281,ANIMAL HEALTH PRODUCTS (PRIVATE ) LIMITED.,10/4/93,Islamabad
65,0066764,TILLO PHARM (PRIVATE) LIMITED,7/2/08,Karachi
66,0012229,AGICHEM (PRIVATE) LIMITED,10/4/84,Islamabad
67,0013766,BROTHERS BUSINESS (PRIVATE) LIMITED,11/24/85,Islamabad
68,0033446,CAPITAL  CORPORATE SERVICES (PRIVATE) LIMITED,10/10/94,Islamabad
69,0040845,AAA INTERNATIONAL  (PRIVATE)LIMITED,1/4/00,Islamabad
70,0003112,HUSSAINI ENGINEERING COMPANY (PRIVATE) LIMITED,4/15/70,Islamabad
71,0014016,HAFEEZ PROUDCTION INDUSTRIES (PRIVATE) LIMITED,1/27/86,Islamabad
72,0023016,HATTAR TOWEL INDUSTRIES (PRIVATE)  LIMITED,1/1/91,Islamabad
73,0022940,ACME COMMUNICATIONS (PRIVATE) LIMITED,12/16/90,Islamabad
74,0063240,HUSSAINS CONSULTANTS (PVT.) LIMITED,10/25/07,Islamabad
75,0011770,ALIPUR NOON (PRIVATE) LIMITED,6/11/84,Islamabad
76,0031179,ASAD RAMEEZ ASSOCIATES (PRIVATE) LIMITED.,9/18/93,Islamabad
77,0037856,ARTYCOM   (PRIVATE)LIMITED,4/22/97,Islamabad
78,0005015,CONTOURS  ASSOCIATES (PRIVATE) LIMITED,11/25/75,Islamabad
79,0004526,EAST WEST TRADING COMPANY (PRIVATE)LIMITED,7/31/74,Islamabad
80,0011704,INTERNATIONAL MECHANIZED DAIRY & FARM PRODUCTS LIMITED,5/26/84,Islamabad
81,0033717,AL-ABBAS COAL AND SALT COMPANY (PRIVATE) LIMITED.,11/24/94,Islamabad
82,0030519,AL-ZUKHRUF INDUSTRIES (PRIVATE) LIMITED.,6/10/93,Islamabad
83,0008195,CHINESE BRICKS (PRIVATE) LIMITED,11/29/80,Islamabad
84,0034793,COMPANY OF AIR PORT SERVICES (PRIVATE)LIMITED,5/21/95,Islamabad
85,0021614,ASIANICS AGRO DEVELOPMENT INTERNATIONAL (PRIVATE) LIMITED,4/25/90,Islamabad
86,0029601,GOLDEN CASTLE  INTERNATIONAL (PRIVATE) LIMITED,2/10/93,Islamabad
87,0063278,DELTA ZONE (PRIVATE) LIMITED,10/30/07,Karachi
88,0030596,ALI BABA INN (PRIVATE) LIMITED,6/22/93,Islamabad
89,0030735,ACORN INTERNATIONAL (PRIVATE) LIMITED,7/12/93,Islamabad
90,0036435,ADAPTIVE SOLUTIONS  (PRIVATE)LIMITED,4/11/96,Islamabad
91,0035983,BELEX (PRIVATE) LIMITED,1/3/96,Islamabad
92,0029090,BMH ASSOCIATES (PRIVATE) LIMITED,12/7/92,Islamabad
93,0037731,AL-HUSNAIN  (PRIVATE)LIMITED,3/4/97,Islamabad
94,0040702,GENERAL GAS COMPANY (PRIVATE) LIMITED,11/12/99,Islamabad
95,0039225,ARMOR FIBRE  GLASS (PRIVATE) LIMITED,6/24/98,Islamabad
96,0017738,ACCESS (PRIVATE) LIMITED,3/31/88,Islamabad
97,0025368,GILANI HOUSING CORPORATION INTERNATIONAL (PRIVATE) LIMITED,10/9/91,Islamabad
98,0030364,FIVE STAR GAS INDUSTRY (PRIVATE) LIMITED,5/19/93,Islamabad
99,0016512,AL-SAYED HOSPITAL (PRIVATE) LIMITED,8/4/87,Islamabad
100,0028525,AGS   TRAVELS  AND   TOURISM(PRIVATE)  LIMITED,10/3/92,Islamabad
101,0039910,I&R CONSULTANTS (PRIVATE) LIMITED,3/2/99,Islamabad
102,0029220,COMMUMNICATIONS ELECTRONICS & TECHNOLOGY (PRIVATE) LIMITED,12/26/92,Islamabad
103,0024353,AL-SHAFQAT  (PRIVATE) LIMITED,6/18/91,Islamabad
104,0011416,ALI DISTRIBUTORS (PRIVATE) LIMITED,3/19/84,Islamabad
105,0005608,ABBASI ASSOCIATES INTERNATIONAL (PRIVATE) LIMITED,1/19/77,Islamabad
106,0007453,ARCKONS (PRIVATE) LIMITED,1/23/80,Islamabad
107,0031126,CELCOTT (PRIVATE) LIMITED.,9/12/93,Islamabad
108,0002887,AKHTAR AND HOFMANN (PRIVATE) LIMITED,5/17/69,Islamabad
109,0025491,AL-BILAL STEEL INDUSTRIES (PRIVATE) LIMITED,10/21/91,Islamabad
110,0024434,APPLE JOHAN  PHARMA (PRIVATE) LIMITED,6/29/91,Islamabad
111,0011761,AL- HAQ CORPORATION (PRIVATE) LIMITED,6/9/84,Islamabad
112,0029835,ANGLES (PRIVATE) LIMITED,3/9/93,Islamabad
