Sr.No.,CRO Name,CUIN,Company Name,Date of Incorporation,Date of Revocation of Licence,Reasons for revocation of Licence
1,Karachi,3053,ABDUL FOUNDATION,26-Jan-70,9-Jul-15,Failed to apply for renewal of its license 
2,Lahore,38918,AGRO-FORESTRY FOUNDATION FOR POVERTY ALLEVIATION,19-Mar-98,1-Feb-16,Failed to comply with the requirements of the license
3,Islamabad,3264,AKBAR ZUBAIDAH GHANI FOUNDATION,20-Oct-70,9-Jul-15,Failed to apply for renewal of its license 
4,Lahore,55067,AKHTAR A. AWAN FOUNDATION,20-Apr-06,6-Apr-15,Dormant 
5,Quetta,33271,AL-KHALIQ FOUNDATION,7-Sep-94,6-Apr-15,Dormant 
6,Lahore,12431,ALL PAKISTAN KITE FLYING ASSOCIATION,27-Nov-84,9-Jul-15,Failed to apply for renewal of its license 
7,Karachi,12274,ALLIED FOUNDATION,16-Oct-84,9-Jul-15,Failed to apply for renewal of its license 
8,Islamabad,58139,ANSARI WELFARE FOUNDATION OF PAKISTAN,2-Oct-06,9-Jul-15,Failed to apply for renewal of its license 
9,Islamabad,52017,ASIAN HUMAN RIGHTS DEVELOPMENT ORGANIZATION,10-Aug-05,6-Apr-15,Dormant 
10,Islamabad,45908,ASSOCIATION FOR FAIR TRADE IN PAKISTAN,20-Aug-03,6-Apr-15,Dormant 
11,Islamabad,59201,ASSOCIATION OF CHINESE ENTERPRISES IN PAKISTAN,19-Jan-07,6-Apr-15,Dormant 
12,Islamabad,62796,AVERROES FOUNDATION,6-Sep-07,6-Apr-15,Dormant 
13,Islamabad,35887,BILAWAL FOUNDATION,14-Dec-95,9-Jul-15,Failed to apply for renewal of its license 
14,Islamabad,46959,CENTRE FOR POLICY ALTERNATIVES,5-Mar-04,9-Jul-15,Failed to apply for renewal of its license 
15,Islamabad,11046,CHAUDHRI MOHAMMAD ALI FOUNDATION,24-Dec-83,9-Jul-15,Failed to apply for renewal of its license 
16,Lahore,67716,CINEMA OWNERS FOUNDATION,25-Sep-08,6-Apr-15,Dormant 
17,Peshawar,57800,CITIZEN COMMUNITY COORDINATION FOR DEVELOPMENT,25-Aug-06,9-Jul-15,Failed to apply for renewal of its license 
18,Lahore,58390,CLAY PIGEON SHOOTING ASSOCIATION OF PAKISTAN,1-Nov-06,9-Jul-15,Failed to apply for renewal of its license 
19,Lahore,9684,CLIMAX FOUNDATION,18-Aug-82,6-Apr-15,Dormant 
20,Islamabad,58843,COMMUNITY LIFE NETWORK,14-Dec-06,6-Apr-15,Dormant 
21,Islamabad,55945,COMPREHENSIVE DISASTER RESPONSE SERVICES,18-May-06,6-Apr-15,Dormant 
22,Karachi,51779,CUPOLA CARES FOUNDATION,25-Jul-05,1-Feb-16,Failed to comply with the requirements of the license
23,Peshawar,43548,DA RORR LASS,9-Apr-02,6-Apr-15,Dormant 
24,Lahore,27537,DAR-UL-ISLAM AL-KHAIRYIA FOUNDATION,17-Jun-92,6-Apr-15,Dormant 
25,Islamabad,61869,DEVELOPMENT ASSISTANCE NETWORK,28-Jun-07,6-Apr-15,Dormant 
26,Islamabad,69613,DHAI EDUCATION FOUNDATION,1-Jun-09,9-Jul-15,Failed to apply for renewal of its license 
27,Peshawar,55946,DOSTI DEVELOPMENT FOUNDATION,18-May-06,6-Apr-15,Dormant 
28,Islamabad,47105,DR. SHAUKAT HAROON FOUNDATION,26-Mar-04,6-Apr-15,Dormant 
29,Lahore,42073,EARLSFIELD FOUNDATION,2-Feb-01,6-Apr-15,Dormant 
30,Islamabad,50025,EDUCACY FOUNDATION,8-Apr-05,9-Jul-15,Failed to apply for renewal of its license 
31,Islamabad,75168,ENGINEERS' FOUNDATION,30-Sep-86,9-Jul-15,Failed to apply for renewal of its license 
32,Islamabad,31359,ENVIRONMENT WATCH,19-Oct-93,6-Apr-15,Dormant 
33,Islamabad,53734,FOCUS PAKISTAN FOUNDATION,27-Jan-06,29-Jan-16,Failed to comply with the requirements of the license
34,Islamabad,49594,"FOUNDATION FOR INTELLECTUAL PROPERTY, AWARENESS & RESEARCH",22-Feb-05,9-Jul-15,Failed to apply for renewal of its license 
35,Islamabad,53910,FOUNDATION FOR SOCIOECONOMIC EMPOWERMENT AND DEVELOPMENT,14-Feb-06,9-Jul-15,Failed to apply for renewal of its license 
36,Lahore,43299,FRIENDS HUMANITY TRUST,31-Jan-02,9-Jul-15,Failed to apply for renewal of its license 
37,Islamabad,57379,FUNDS FOR INCLUSION OF PEOPLE WITH DISABILITIES,14-Jul-06,9-Jul-15,Failed to apply for renewal of its license 
38,Peshawar,32954,GADOON AMAZAI RURAL AREA SUPPORT PROGRAM,11-Jul-94,6-Apr-15,Dormant 
39,Multan,53335,GLOBAL ORGANIZATION FOR HUMAN EMPOWERMENT AND RIGHTS,16-Dec-05,9-Jul-15,Failed to apply for renewal of its license 
40,Islamabad,70324,GLOBAL RESEARCH FOUNDATION,28-Aug-09,6-Apr-15,Dormant 
41,Peshawar,61075,GLOBAL RESOURCES FOR SOCIAL DEVELOPMENT,17-May-07,6-Apr-15,Dormant 
42,Lahore,9767,GOLF PLAYERS ASSOCIATION,19-Sep-82,6-Apr-15,Dormant 
43,Karachi,42497,GREEN VIEW FOUNDATION,30-May-01,9-Jul-15,Failed to apply for renewal of its license 
44,Karachi,2737,HABIB FOUNDATION,2-Sep-68,9-Jul-15,Failed to apply for renewal of its license 
45,Lahore,43975,HAZRAT KHADIJAH SADIA EDUCATIONAL FOUNDATION,24-Jun-02,6-Apr-15,Dormant 
46,Lahore,63541,HELMS FOUNDATION,23-Nov-07,6-Apr-15,Dormant 
47,Islamabad,70671,HELPCOUNTS FOUNDATION,15-Oct-09,6-Apr-15,Dormant 
48,Islamabad,53715,"HINA AND NAYHA DISASTER SERVICES, PAKISTAN",26-Jan-06,9-Jul-15,Failed to apply for renewal of its license 
49,Lahore,44434,HOSPITAL WASTE MANAGEMENT,23-Sep-02,9-Jul-15,Failed to apply for renewal of its license 
50,Lahore,68569,HUM LOGE,23-Jan-09,9-Jul-15,Failed to apply for renewal of its license 
51,Islamabad,61612,HUMAN AID FOCUS,14-Jun-07,6-Apr-15,Dormant 
52,Islamabad,49149,HUMAN INFRASTRUCTURE DEVELOPMENT PROGRAM,27-Dec-04,6-Apr-15,Dormant 
53,Islamabad,57986,HUMAN RELIEF ORGANIZATION,14-Sep-06,29-Jan-16,Failed to comply with the requirements of the license
54,Lahore,68256,HUMAN RIGHTS FOUNDATION,4-Dec-08,6-Apr-15,Dormant 
55,Sukkur,59424,HUMAN SAFETY FOUNDATION,9-Feb-07,9-Jul-15,Failed to apply for renewal of its license 
56,Lahore,44246,HUMANITY CARE STIFTUNG,19-Aug-02,6-Apr-15,Dormant 
57,Islamabad,67262,HUM-QADAM FOUNDATION,15-Aug-08,6-Apr-15,Dormant 
58,Lahore,9222,IDARAH TAAMIR E MILLAT,8-Feb-82,6-Apr-15,Dormant 
59,Peshawar,59110,IDRAK,11-Jan-07,9-Jul-15,Failed to apply for renewal of its license 
60,Islamabad,49860,IKI HUMAN WELFARE FOUNDATION,22-Mar-05,9-Jul-15,Failed to apply for renewal of its license 
61,Karachi,21285,INSTITUTE OF CHARTERED SECRETARIES & MANAGERS,10-Mar-90,24-Aug-15,Dormant 
62,Karachi,14773,INSTITUTE OF MARKETING MANAGEMENT,31-Jul-86,24-Aug-15,Dormant 
