CUIN,Company Name,CRO Name,Company Kind,Auditor Name,Auditor Appointment Date
50998,KARWAN-E-HAJJ (PRIVATE) LIMITED,Quetta,Private Companies,WAQAS AND COMPANY,28-Oct-19
965,(COLONY) THAL TEXTILE MILLS LIMITED,Multan,Public Unlisted Companies,RAHMAN SARFARAZ RAHIM IQBAL RAFIQ CA,29-Oct-11
75064,(GSU) GLOBAL SPOT UTILITIES (PVT.) LIMITED,Lahore,Private Companies,Hamza Khan,12-Dec-11
46816,01 CONCEPTS (PVT.) LIMITED,Lahore,Private Companies,MUSTAFA ALI OF EXCELSIOR CONSULTING SERVICES,31-Oct-15
58162,02 HEALTH CONCERN (PVT.) LIMITED,Lahore,Private Companies,S. R. HUSSAIN AND CO.,9-Oct-06
48463,1 LINK (PRIVATE) LIMITED,Karachi,Private Companies,KPMG Taseer Hadi And Co,1-Jul-19
90405,1 MACHINE SOFTWARE (SMC-PVT.) LIMITED,Lahore,Single Member Companies,KAMRAN AND CO,28-Oct-19
61662,1 O 1 GROUP (PVT.) LIMITED,Lahore,Private Companies,YUSAF SAEED AND COMPANY,31-Oct-15
61398,1 O 1 INVESTMENT (PVT.) LIMITED,Lahore,Private Companies,UZAIR HAMMAD FAISAL AND COMPANY,31-Oct-15
75363,1 TO N (PVT.) LIMITED,Islamabad,Private Companies,TAHIR SHAH AND CO,25-Oct-17
79407,100 CARE SERVICE (PVT.) LIMITED,Islamabad,Private Companies,Qasim and Co,26-Oct-18
84936,100 RIFLES SECURITY SERVICES (PVT.) LIMITED,Islamabad,Private Companies,"Ali Zafar and Co, Cost and Management Accountants",31-Oct-15
76944,101 AGRITECH (PVT.) LIMITED,Lahore,Private Companies,YUSAF SAEED AND CO.,31-Oct-15
86826,101 BUSINESS SOLUTIONS (PVT.) LIMITED,Islamabad,Private Companies,Noman Mustafa,12-Feb-14
75430,101 MARKETING (PVT.) LIMITED,Lahore,Private Companies,Uzair Hammad Faisal,31-Oct-15
76716,101 OILS (PVT.) LIMITED,Lahore,Private Companies,HASSAN FAROOQ AND CO.,10-Aug-11
73731,101 POULTRIES (PVT.) LIMITED,Lahore,Private Companies,Uzair Hammad Faisal,31-Oct-13
