CUIN,Company Name,CRO Name,Company Kind,Auditor Name,Auditor Appointment Date
61617,M PAY (PRIVATE) LIMITED,Karachi,Private Companies,SAJID AND CO,31-Oct-17
103256,M & C AIR SERVICES PAKISTAN (PVT.) LIMITED,Karachi,Private Companies,AHMED USMAN SHABBIR AND CO,14-Jun-19
58834,M & C AVIATION PAKISTAN (PRIVATE) LIMITED.,Karachi,Private Companies,MEHMOOD IDRESS QAMAR AND CO,10-Feb-07
81911,M & C SAATCHI WORLD SERVICES PAKISTAN (PVT.) LIMITED,Karachi,Private Companies,Kabani and Company,17-Dec-12
12709,M & F COMMERCIAL CORPORATION (PRIVATE) LIMITED,Karachi,Private Companies,MAZARS M.F. AND CO,26-Oct-19
20486,M & H ENGINEERING INDUSTRIES (PVT.) LIMITED,Peshawar,Private Companies,SHAHID SAMI AND CO. (PSH),25-Apr-91
8547,M & J ENGINEERING (PRIVATE) LIMITED,Karachi,Private Companies,S. M. SUHAIL AND CO.,31-Oct-06
130927,M & J SHIPPING LINE (PRIVATE) LIMITED,Karachi,Private Companies,RAZA SIDDIQUI AND CO.(CHARTERED ACCOUNTANT),15-Apr-19
110565,M & K (PRIVATE) LIMITED,Karachi,Private Companies,Junaid and Co,28-Aug-17
21801,M & M CORPORATION (PRIVATE) LIMITED,Karachi,Private Companies,UMAR SIDDIQUI AND CO. CA,31-Dec-02
96853,M & M FISHERIES INTERNATIONAL (PVT.) LIMITED,Karachi,Private Companies,Mr. Maqsood Raza - Maqsood and Company,5-Jan-16
54907,M & M GLASS (PVT.) LIMITED,Lahore,Private Companies,BAKER TILLY MEHMOOD IDREES QAMAR C.A.,28-Oct-19
91182,M & M HARRIS PAKISTAN (PVT.) LIMITED,Karachi,Private Companies,IDRIS AND CO,27-Oct-17
87563,M & M INNOVATORS (PVT.) LIMITED,Islamabad,Private Companies,ILYAS SAEED AND CO,27-Oct-18
70430,M & M TECHNOLOGIES (PVT.) LIMITED,Faisalabad,Private Companies,PARKER RANDALL A.J.S.,31-Oct-11
102066,M & N CREATIVE CONCEPT (PVT.) LIMITED,Lahore,Private Companies,ASLAM MALIK AND CO CHARTERED ACCOUNTANTS,28-Oct-19
19972,M & O COMMODITIES (PRIVATE) LIMITED,Karachi,Private Companies,JALIS AHMED AND CO. CA,31-Oct-16
80790,M & P COMPANY (PVT.) LIMITED,Karachi,Private Companies,A.G. Habib and Co,17-Aug-12
11253,M & P MARKETING SERVICES (PRIVATE) LIMITED,Karachi,Private Companies,EY Ford Rhodes,31-Oct-16
81819,M & S AVIATORS (PVT.) LIMITED,Karachi,Private Companies,CLARKSON HYDE SAUD ANSARI,28-Oct-19
65744,M & S CONSTRUCTION CO. (PVT.) LIMITED,Lahore,Private Companies,IMRAN SAEED AND CO,20-May-08
82575,M & S DEVELOPERS AND BUILDERS (PVT.) LIMITED,Karachi,Private Companies,A.G HABIB AND CO.,31-Oct-13
73773,M & S FOOD AND BEVERAGES (PVT.) LIMITED,Islamabad,Private Companies,Iqbal Yasir Khalid and Co,14-Oct-10
68572,M & S MAINTENANCE AND SERVICES (PVT.) LIMITED,Lahore,Private Companies,S. HAIDER AND CO.,31-Oct-19
75718,M & Z RICE PROCESSING MILLS (PVT.) LIMITED,Karachi,Private Companies,MAQSOOD RAZA,28-Oct-17
89567,M - R LAW CHAMBERS (PVT.) LIMITED,Lahore,Private Companies,ATTA ULLAH AND CO CHARTERED ACCOUNTANT,31-Oct-16
133768,M A KAMIL FARMA (PRIVATE) LIMITED,Karachi,Private Companies,JALIS AHMAD AND COMPANY CHARTERED ACCOUNTANTS,15-May-19
77919,M A SERVICES (SMC-PVT.) LIMITED,Islamabad,Single Member Companies,IQBAL YASIR and CO,31-Oct-13
107279,M ABID CONSTRUCTION COMPANY (PRIVATE) LIMITED,Peshawar,Private Companies,MUSHTAQ AKBAR AND CO.(CHARTERED ACCOUNTANTS),25-Oct-19
145936,M AND B MANUFACTURING (PRIVATE) LIMITED,Lahore,Private Companies,Zaheer Babar and Co,15-Apr-20
89563,M AND S TRAVEL & TOURISM SERVICES (PVT.) LIMITED,Lahore,Private Companies,Izhar and Co.,26-Aug-14
89422,M ASLAM PLASTIC (PVT.) LIMITED,Lahore,Private Companies,Muhammad Awais,30-Oct-17
68474,M ASRAR DEVELOPERS (PRIVATE) LIMITED,Islamabad,Private Companies,FAIZ AND CO CHARTERED ACCOUNTANTS,26-Oct-18
136373,M AYAAN MARKETING ENTERPRISES (PRIVATE) LIMITED,Islamabad,Private Companies,SF Consulting,17-Jul-19
40064,M B SONS & SONS (PRIVATE) LIMITED,Karachi,Private Companies,A. R. KHAN AND CO. CA,31-Oct-05
135467,M F CO CONSTRUCTION (PRIVATE) LIMITED,Islamabad,Private Companies,Parker Randall-A.J.S Chartered Accountant,1-Aug-19
60351,M G APPARELS (PRIVATE) LIMITED,Karachi,Private Companies,"FARUQ ALI AND CO.,",11-Apr-07
101432,M H PIRZADA INTERNATIONAL TOURS & TRAVELS (PVT.) LIMITED,Karachi,Private Companies,Sajid and Co,31-Oct-17
55423,M H SECURITIES (PRIVATE) LIMITED,Karachi,Private Companies,NASIR JAVAID MAQSOOD IMRAN,28-Oct-19
105862,M IDEA (PRIVATE) LIMITED,Islamabad,Private Companies,SHAFIQ AND CO,29-May-17
130274,M K GENERAL ORDER SUPPLIERS (PRIVATE) LIMITED,Peshawar,Private Companies,ZUBAIR AND CO,15-Apr-19
83663,M KHAN SIAL CONSTRUCTION (PVT.) LIMITED,Islamabad,Private Companies,Shehzad Malik and Co,7-May-13
80193,M M MANAGEMENT CONSULTANTS (PVT.) LIMITED,Islamabad,Private Companies,M.A. CHAUDHARI AND CO.,31-Oct-16
16854,M O.S. TRADING (PVT.) LIMITED,Lahore,Private Companies,NAZIR CHAUDRY AND CO. CA,31-Oct-07
60866,M ONE HAJ & UMRAH SERVICES (PVT.) LIMITED,Islamabad,Private Companies,AGHA MUJEEB AND CO.,10-May-07
85491,M S MANUFACTURING & SALES ENTERPRISES (PVT.) LIMITED,Quetta,Private Companies,WAQAS AND COMPANY,22-Oct-13
69596,M SOLUTIONS (PVT.) LIMITED,Islamabad,Private Companies,Razi Mufti,29-May-09
91834,M STAR TRADING AND CO (PVT.) LIMITED,Islamabad,Private Companies,nasir javaid maqsood imran chartered accountant,17-Feb-15
46121,M SYSTEMS (PVT.) LIMITED,Lahore,Private Companies,ACCOUNTAX MANAGEMENT SYSTEMS,31-Oct-11
125843,M TAEK SERVICES (PRIVATE) LIMITED,Islamabad,Private Companies,WAQAS AND COMPANY,4-Dec-18
