sr,COMPANY NAME,STATUS,"DATE OF PERMIT TO SELL"
"1","Allied Care Experts (ACE) Medical Center-Cebu, Inc.",Approved,12-27-2018
"2","Allied Care Experts (ACE) Medical Center-Iloilo, Inc.",Approved,12-27-2018
"3","Allied Care Experts (ACE) Malolos  Doctors, Inc.",Approved,5-31-2019
"4","Allied Care Experts (ACE) Medical Center - Butuan, Inc.",Approved,6-24-2019
"5","Allied Care Experts (ACE) Medical Center Bohol, Inc.",Approved,6-28-2019
"6","Allied Care Experts (ACE) Medical Center – Gensan, Inc.",Approved,6-28-2019
"7","Allied Care Experts (ACE) Dumaguete Doctor, Inc.",Approved,6-28-2019
"8","Allied Care Experts (ACE) Medical Center – Tacloban, Inc.",Approved,9-27-2019
"9","Allied Care Experts (ACE) Medical Center – Legazpi, Inc.",In process
"10","Allied Care Experts (ACE) Medical Center – Cagayan de Oro, Inc.",In process
