sr,COMPANY NAME
1,Aboitiz Power Corporation
2,ABS-CBN Corporation
3,Ayala Corporation
4,"Ayala Land, Inc."
5,"Cebu Holdings, Incorporated"
6,"Century Properties Group, Inc."
7,"DMCI - Project Developers, Inc."
8,Energy Development Corporation
9,Filinvest Development Corporation
10,"Filinvest Land, Inc."
11,First Metro Investment Corporation
12,"Globe Telecom, Inc."
13,"GT Capital Holdings, Inc."
14,"JG Summit Holdings, Inc."
15,Manila Electric Company
16,Manila North Tollways Corp
17,Philippine Long Distance Telephone Company
18,"P-h-o-e-n-i-x Petroleum Philippines, Inc."
19,Robinsons Land Corporation
20,Rockwell Land Corporation
21,"San Miguel Brewery, Inc."
22,SM Investments Corporation
23,"SM Prime Holdings, Inc."
24,South Luzon Tollway Corporation
25,"Sta. Lucia Land, Inc."
26,"Vista Land & Lifescapes, Inc."
1,"BDO Leasing and Finance, Inc."
2,"City & Land Developers, Incorporated"
3,Cityland Development Corporation
4,"P-h-o-e-n-i-x Petroleum Philippines, Inc."
5,"SL Agritech Corporation"
