title,brand,price,ASIN,item_info
"GIGABYTE GeForce RTX 4060 WINDFORCE OC 8G Graphics Card, 2X WINDFORCE Fans, 8GB 128-bit GDDR6, GV-N4060WF2OC-8GD Video Card", GIGABYTE Store,,B0C8JZNLZL,"['Powered by NVIDIA DLSS 3, ultra-efficient Ada Lovelace architechture, and full ray tracing', '4th Generation Tensor Cores: Up to 4x performance with DLSS 3', '3rd Generation RT Cores: Up to 2x ray tracing performance', 'Powered by GeForce RTX 4060', 'Integrated with 8GB GDDR6 128-bit memory interface', 'WINDFORCE Cooling System, RGB Fusion, Dual BIOS, Protection metal back plate']"
"GIGABYTE GeForce RTX 4070 WINDFORCE OC 12G Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N4070WF3OC-12GD Video Card", GIGABYTE Store,,B0BZHCQ6PF,"['Powered by NVIDIA DLSS 3, ultra-efficient Ada Lovelace architechture, and full ray tracing', '4th Generation Tensor Cores: Up to 4x performance with DLSS 3', '3rd Generation RT Cores: Up to 2x ray tracing performance', 'Powered by GeForce RTX 4070', 'Integrated with 12GB GDDR6X 192-bit memory interface', 'WINDFORCE Cooling System, RGB Fusion, Dual BIOS, Protection metal back plate, Anti-Sag Bracket']"
GIGABYTE 2GB RAM DDR3 SDRAM Video Graphics Cards GV-N710D3-2GL REV2.0, GIGABYTE Store,$34.99,B01IEO05NU,"['Core Clock: 954 MHz', 'Low profile design', 'Features Dual-link DVI-D/D-Sub/HDMI', 'Form Factor: Low Profile.Avoid using unofficial software']"
MSI Geforce 210 1024 MB DDR3 PCI-Express 2.0 Graphics Card MD1G/D3, msi Store,$41.12,B003XM568I,['Not compliant with Win 11']
"ASUS Phoenix NVIDIA GeForce RTX 3050 Gaming Graphics Card - PCIe 4.0, 8GB GDDR6 Memory, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design, Protective Backplate, Dual Ball Fan Bearings, Auto-Extreme", ASUS Store,,B09SGR87JL,"['NVIDIA Ampere Streaming Multiprocessors: The all-new Ampere SM brings 2X the FP32 throughput and improved power efficiency.', '2nd Generation RT Cores: Experience 2X the throughput of 1st gen RT Cores, plus concurrent RT and shading for a whole new level of ray-tracing performance.', '3rd Generation Tensor Cores: Get up to 2X the throughput with structural sparsity and advanced AI algorithms such as DLSS. These cores deliver a massive boost in game performance and all-new AI capabilities.', 'Axial-tech fan design has been newly tuned with a reversed central fan direction for less turbulence.', 'Dual ball fan bearings can last up to twice as long as sleeve bearing designs.']"
"GALAX GeForce RTX™ 4070 EX Gamer White, ARGB Fan, Xtreme Tuner App Control, 12GB, GDDR6X, 192-bit, DP*3/HDMI 2.1/DLSS 3/Gaming Graphics Card (with ARGB Fans)", GALAX Store,,B0C4F7V27Z,"['【GPU Engine Specs】 CUDA Cores: 5888 / Boost Clock: 2475MHz / 1-Click OC Clock: 2490MHz (by installing Xtreme Tuner Plus Software and using 1-Click OC)', '【Memory Specs】 Memory Speed: 21 Gbps / Standard Memory Config: 12GB / Memory Interface Width 192-bit GDDR6X / Memory Bandwidth: 504 GB/sec', '【Feature Support】 PCI-E 4.0 / Windows 10/11 64-bit', '【Fan Feature】 2 * 92mm / WINGS with Fan stop @ Idle (All Fans)', '【Xtreme Tuner】1. To control RGB effect in-App, please make sure your device and PC are in the same WiFi network. For more information, please visit GALAX website. 2. The mobile device in the photo is for app reference only, it is not included with the product.']"
MSI GAMING GeForce GT 710 1GB GDRR3 64-bit HDCP Support DirectX 12 OpenGL 4.5 Heat Sink Low Profile Graphics Card (GT 710 1GD3H LP), msi Store,$54.56,B01AZHOWL0,"['NVIDIA GeForce GT 710 GPU', '1GB 64-bit DDR3 VRAM', '1 HDMI, 1 DL-DVI-D and 1 VGA (D-sub)', 'Low-profile Design', 'All Solid Capacitors', 'Fanless and Noise less GPU Heatsink', 'Afterburner Overclocking Utility']"
ZOTAC GeForce GT 730 Zone Edition 4GB DDR3 PCI Express 2.0 x16 (x8 lanes) Graphics Card (ZT-71115-20L), ZOTAC Store,$79.99,B00R5UW038,"['Memory Speed:19 Gbps.Digital Max Resolution:7680x4320', ""A great upgrade for your integrated graphics, the GeForce GT 730 accelerates the overall performance of your PC. The GeForce GT 730 packs powerful NVIDIA CUDA Cores and abundant amounts of memory that deliver a performance punch in all the latest 3D games and applications. You'll get super fast web browsing, incredible photo and video editing, and ultra detailed gaming. An array of NVIDIA innovations such as NVIDIA Surround, NVIDIA Adaptive Vertical Sync, and the new FXAA Anti Aliasing Mode offers more than one way to elevate your gaming experience. This card features a low profile design, and is pre configured with a full height bracket."", 'Two low profile brackets are included in the package for easy integration into HTPCs and other small form factor systems. The passive cooling solution enables a peaceful, zero noise computing experience.. NVIDIA GeForce GT 730 GPU. 384 processor cores. 4GB DDR3. 64-bit memory bus. Engine clock: 902 MHz. Memory clock: 1600 MHz. PCI Express 2.0 (x8 lanes)', '1 x DL-DVI-D. 1 x VGA. 1 x HDMI. Triple simultaneous display capable. HDCP compliant.. 300-watt power supply recomillimeterended. 25-watt max power consumption', 'HDTV READY : ED 480p. HD 720p. HD 1080i. Full HD 1080p. Quad Full HD (4K).', 'Package contents : ZOTAC GeForce GT 730. 1 x Low-profile bracket [VGA]. 1 x Low-profile bracket [DVI plus HDMI]. User manual.Driver disc', 'Extended warranty included with every graphics card purchase. User registration required on ZOTAC website']"
"ZOTAC GeForce GTX 1660 Super 6GB GDDR6 192-bit Gaming Graphics Card, Super Compact, ZT-T16620F-10L",,$282.34,B07Z8PWC6R,[]
ASRock Intel Arc A380 Low Profile 6GB OC GDDR6, ASRock Store,,B0CDM3YVQM,['ASRock Intel Arc A380 Low Profile 6GB OC GDDR6']
